,Tag.No,Old.No,T1,T2,X,Y,Family,genus,species,Old.Tree.Notes,D..2013.1,POM..2013.1,F1..2013.1,F2..2013.1,Height..2013.1,F5..2013.1,F3..2013.1,F4..2013.1,LI..2013.1,CI..2013.1,Census.Notes..2013.1,D..2014.2,POM..2014.2,F1,F2,Height..2014.2,F5,F3,F4,LI..2014.2,CI..2014.2,Tree.ID,D..2015.1,POM..2015.1,F1.1,F2.1,Height..2015.1,F5.1,F3.1,F4.1,LI..2015.1,CI..2015.1,Census.Notes,Tree.ID.1,New.Tag.No,D..2016.2,POM..2014.2.1,F1.2,F2.2,Height..2016.2,F5.2,F3.2,F4.2,LI..2014.2.1,CI..2014.2.1,D..2017.2,POM..2017.2,F1.3,F2.3,Height..2017.2,F5.3,F3.3,F4.3,LI..2014.2.2,CI..2014.2.2,tag,plot,DBH.1,DBH.2,DBH.3,DBH.4,DBH.5,DBH.1a,DBH.2a,DBH.3a,DBH.4a,DBH.5a,dbh_growth_yr,recruits,srink,missing,overgrown,value_replaced,,,
1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.8,1.4,NA,0.639235707,-1.8,NA,NA,NA,NA,NA,NA,12.61762187,1.4,NA,NA,-1.54,NA,NA,NA,NA,NA,NA,12.46158725,NA,NA,NA,-2.1,NA,NA,NA,NA,NA,NA,NA,NA,12.24881276,1.4,NA,NA,-1.6,NA,NA,NA,NA,NA,12.08669887,NA,NA,NA,-1.6,NA,NA,NA,NA,NA,6,ACJ-01,12.8,12.61762187,12.46158725,12.24881276,12.08669887,1.28,1.261762187,1.246158725,1.224881276,1.208669887,-0.076846195,ok,ok,ok,ok,NA,-0.00191977,-0.002026424,-0.002474122
2,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,1.4,NA,0.574563977,-0.7,NA,NA,NA,NA,NA,NA,16.92907517,1.4,NA,NA,0,NA,NA,NA,NA,NA,NA,16.92907517,NA,NA,NA,2.3,NA,NA,NA,NA,NA,NA,NA,NA,17.16211389,1.4,NA,NA,3.9,NA,NA,NA,NA,NA,17.55726651,NA,NA,NA,3.9,NA,NA,NA,NA,NA,10,ACJ-01,17,16.92907517,16.92907517,17.16211389,17.55726651,1.7,1.692907517,1.692907517,1.716211389,1.755726651,0.187312606,ok,ok,ok,ok,NA,-0.000746577,0,0.002709753
3,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,1.4,NA,0.639235707,1.2,NA,NA,NA,NA,NA,NA,21.12158542,1.4,NA,NA,1.25,NA,NA,NA,NA,NA,NA,21.2482369,NA,NA,NA,4.7,NA,NA,NA,NA,NA,NA,NA,NA,21.72444646,1.4,NA,NA,5.95,NA,NA,NA,NA,NA,22.32730751,NA,NA,NA,5.95,NA,NA,NA,NA,NA,17,ACJ-01,21,21.12158542,21.2482369,21.72444646,22.32730751,2.1,2.112158542,2.12482369,2.172444646,2.232730751,0.285771796,ok,ok,ok,ok,NA,0.001279847,0.001644824,0.00553732
4,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.6,1.4,NA,0.59980802,-1.9,NA,NA,NA,NA,NA,NA,25.40748975,1.4,NA,NA,1.4,NA,NA,NA,NA,NA,NA,25.54933941,NA,NA,NA,1.3,NA,NA,NA,NA,NA,NA,NA,NA,25.68105695,1.4,NA,NA,0.5,NA,NA,NA,NA,NA,25.73171754,NA,NA,NA,0.5,NA,NA,NA,NA,NA,20,ACJ-01,25.6,25.40748975,25.54933941,25.68105695,25.73171754,2.56,2.540748975,2.554933941,2.568105695,2.573171754,0.024014436,ok,ok,ok,ok,NA,-0.002026424,0.001842203,0.001531599
5,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.9,1.4,NA,0.540014578,-2.6,NA,NA,NA,NA,NA,NA,49.63656492,1.4,NA,NA,0.64,NA,NA,NA,NA,NA,NA,49.70141048,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,49.70141048,1.4,NA,NA,3.1,NA,NA,NA,NA,NA,50.01550615,NA,NA,NA,3.1,NA,NA,NA,NA,NA,23,ACJ-01,49.9,49.63656492,49.70141048,49.70141048,50.01550615,4.99,4.963656492,4.970141048,4.970141048,5.001550615,0.148889506,ok,ok,ok,ok,NA,-0.002773001,0.00084215,0
6,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.3,1.4,NA,0.540014578,-1,NA,NA,NA,NA,NA,NA,26.19867882,1.4,NA,NA,0,NA,NA,NA,NA,NA,NA,26.19867882,NA,NA,NA,1.8,NA,NA,NA,NA,NA,NA,NA,NA,26.38105695,1.4,NA,NA,3,NA,NA,NA,NA,NA,26.6850205,NA,NA,NA,3,NA,NA,NA,NA,NA,28,ACJ-01,26.3,26.19867882,26.19867882,26.38105695,26.6850205,2.63,2.619867882,2.619867882,2.638105695,2.66850205,0.144086618,ok,ok,ok,ok,NA,-0.001066539,0,0.002120676
7,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.4,1.4,NA,0.540014578,-1.8,NA,NA,NA,NA,NA,NA,15.21762187,1.4,NA,NA,0,NA,NA,NA,NA,NA,NA,15.21762187,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,15.21762187,1.4,NA,NA,1.9,NA,NA,NA,NA,NA,15.41013212,NA,NA,NA,1.9,NA,NA,NA,NA,NA,29,ACJ-01,15.4,15.21762187,15.21762187,15.21762187,15.41013212,1.54,1.521762187,1.521762187,1.521762187,1.541013212,0.091254859,ok,ok,ok,ok,NA,-0.00191977,0,0
8,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.8,1.4,NA,0.639235707,-1.1,NA,NA,NA,NA,NA,NA,41.6885467,1.4,NA,NA,0,NA,NA,NA,NA,NA,NA,41.6885467,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,41.6885467,1.4,NA,NA,2,NA,NA,NA,NA,NA,41.89118907,NA,NA,NA,2,NA,NA,NA,NA,NA,38,ACJ-01,41.8,41.6885467,41.6885467,41.6885467,41.89118907,4.18,4.16885467,4.16885467,4.16885467,4.189118907,0.096057747,ok,ok,ok,ok,NA,-0.001173193,0,0
9,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,1.4,NA,0.540014578,-1,NA,NA,NA,NA,NA,NA,17.89867882,1.4,NA,NA,0,NA,NA,NA,NA,NA,NA,17.89867882,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,17.89867882,1.4,NA,NA,0,NA,NA,NA,NA,NA,17.89867882,NA,NA,NA,0,NA,NA,NA,NA,NA,42,ACJ-01,18,17.89867882,17.89867882,17.89867882,17.89867882,1.8,1.789867882,1.789867882,1.789867882,1.789867882,0,ok,ok,ok,ok,NA,-0.001066539,0,0
10,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.3,1.4,NA,0.540014578,-0.1,NA,NA,NA,NA,NA,NA,18.28986788,1.4,NA,NA,0,NA,NA,NA,NA,NA,NA,18.28986788,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,18.28986788,1.4,NA,NA,1.35,NA,NA,NA,NA,NA,18.42665148,NA,NA,NA,1.35,NA,NA,NA,NA,NA,43,ACJ-01,18.3,18.28986788,18.28986788,18.28986788,18.42665148,1.83,1.828986788,1.828986788,1.828986788,1.842665148,0.064838979,ok,ok,ok,ok,NA,-0.000106654,0,0
