plot_code,sub_plot,tree_tag,year,month,day,dend_pom_height_m,dendrometer_reading_mm,dendrometer_reading_replaced_mm,comments,status_code_aintact_bmoved_cbroken,mortality_aalive_ddead
PAN-02,1,478,2013,6,21,1.85,0,,,,
PAN-02,1,479,2013,6,21,1.75,1.24,,,,
PAN-02,1,480,2013,6,21,1.65,NA,,,,
PAN-02,1,482,2013,6,21,1.65,NA,,,,
PAN-02,1,483,2013,6,21,1.2,NA,,,,
PAN-02,1,484,2013,6,21,1.3,NA,,,,
PAN-02,1,486,2013,6,21,1.35,-0.72,,,,
PAN-02,1,488,2013,6,21,1.4,1.08,,,,
PAN-02,1,490,2013,6,21,1.3,NA,,,,
PAN-02,1,491,2013,6,21,1.4,0,,,,
PAN-02,1,492,2013,6,21,1.7,NA,,,,
PAN-02,1,493,2013,6,21,1.4,-0.48,,,,
PAN-02,1,495,2013,6,21,1.4,NA,,,,
PAN-02,1,496,2013,6,21,1.4,-1.44,,,,
PAN-02,1,499,2013,6,21,1.5,0,,,,
PAN-02,1,500,2013,6,21,1.8,NA,,,,
PAN-02,1,501,2013,6,21,1.45,NA,,,,
PAN-02,1,503,2013,6,21,1.6,NA,,,,
PAN-02,1,504,2013,6,21,1.65,NA,,,,
PAN-02,1,504-2A,2013,6,21,1.36,0.74,,,,
PAN-02,1,505,2013,6,21,1.4,-0.42,,,,
PAN-02,1,506,2013,6,21,1.6,NA,,,,
PAN-02,2,507,2013,6,21,1.65,NA,,,,
PAN-02,2,509,2013,6,21,1.5,-0.44,,,,
PAN-02,2,511,2013,6,21,1.8,NA,,,,
PAN-02,2,512,2013,6,21,1.5,0.42,,,,
PAN-02,2,512.A,2013,6,21,1.8,NA,,,,
PAN-02,2,515,2013,6,21,1.6,NA,,,,
PAN-02,2,516,2013,6,21,1.65,-1.04,,,,
PAN-02,2,518,2013,6,21,1.8,2.08,,,,
PAN-02,2,520,2013,6,21,1.55,0.74,,,,
PAN-02,2,521.2.A,2013,6,21,1.4,NA,,,,
PAN-02,2,522,2013,6,21,1.4,-1.8,,,,
PAN-02,2,523,2013,6,21,1.6,NA,,,,
PAN-02,2,525,2013,6,21,1.6,0,,,,
PAN-02,2,526,2013,6,21,1.45,NA,,,,
PAN-02,2,528,2013,6,21,1.6,-0.48,,,,
PAN-02,2,530,2013,6,21,1.6,-1.46,,,,
PAN-02,2,531,2013,6,21,1.6,0.42,,,,
PAN-02,2,533,2013,6,21,1.6,NA,,,,
PAN-02,3,534,2013,6,21,1.4,0.52,,,,
PAN-02,3,535.2.A,2013,6,21,1.3,NA,,,,
PAN-02,3,536,2013,6,21,1.6,-0.34,,,,
PAN-02,3,539,2013,6,21,1.5,-0.46,,,,
PAN-02,3,540,2013,6,21,1.8,NA,,,,
PAN-02,3,542,2013,6,21,1.6,2.08,,,,
PAN-02,3,543,2013,6,21,1.55,0,,,,
PAN-02,3,544,2013,6,21,1.65,NA,,,,
PAN-02,3,546-A,2013,6,21,1.35,0.46,,,,
PAN-02,3,546.2.A,2013,6,21,1.35,NA,,,,
PAN-02,3,552,2013,6,21,1.6,0.44,,,,
