Year,Month,Day,totflfAs,totflfAsstd,seedsfAs,seedsfAsstd,leafflfAs,leafflfAsstd,fruitflfAs,fruitflfAsstd,flowerflfAs,flowerflfAsstd,branchflfAs,branchflfAsstd,date
2013,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15/01/13
2013,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15/02/13
2013,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15/03/13
2013,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15/04/13
2013,5,NA,0.435976378,0.041820603,NA,NA,0.349614173,0.030886041,0.060013123,0.039690035,0.008267717,NA,0.041755906,0.010096681,15/05/13
2013,6,NA,0.135755906,0.018391516,NA,NA,0.11815748,0.017313871,0.003681102,0.000877608,0.009366798,NA,0.010677165,0.003726097,15/06/13
2013,7,NA,0.260968504,0.02694418,NA,NA,0.219141732,0.019675819,0.021822272,0.004788791,0.021929134,NA,0.025094488,0.011048582,15/07/13
2013,8,NA,0.473645669,0.039130172,NA,NA,0.396692913,0.031563228,0.009295713,0.001312238,0.009074803,NA,0.068692913,0.016411273,15/08/13
2013,9,NA,0.386653543,0.032087025,NA,NA,0.348212598,0.029131083,0.010120426,0.003583625,0.004497274,NA,0.028047244,0.006375412,15/09/13
2013,10,NA,0.433488189,0.053040538,NA,NA,0.314944882,0.045676825,0.015884313,0.009156321,0.025826772,NA,0.085858268,0.027689184,15/10/13
2013,11,NA,0.438220472,0.033882788,NA,NA,0.309503937,0.026196221,0.019221035,0.006406391,0.034616142,NA,0.084070866,0.017676752,15/11/13
2013,12,NA,0.203984252,0.043253193,NA,NA,0.132511811,0.008975376,0.007349081,0.002304327,0.035170604,NA,0.05303937,0.043163265,15/12/13
2014,1,NA,0.32296063,0.038044035,NA,NA,0.174748031,0.012806216,0.008011811,0.001214751,0.013799213,NA,0.132448819,0.036054514,15/01/14
2014,2,NA,0.144700787,0.014214902,NA,NA,0.131559055,0.012617397,0.013652981,0.003365964,0.00440642,NA,0.002574803,0.00058549,15/02/14
2014,3,NA,0.316716535,0.037738317,NA,NA,0.25303937,0.031913207,0.009055118,0.004006796,0.005511811,NA,0.055062992,0.017839445,15/03/14
2014,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15/04/14
2014,5,NA,0.417047244,0.052095219,NA,NA,0.289748031,0.022145777,0.007677165,0.002241569,0.01148294,NA,0.115464567,0.040453114,15/05/14
2014,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15/06/14
2014,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15/07/14
2014,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15/08/14
2014,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15/09/14
2014,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15/10/14
2014,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15/11/14
2014,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15/12/14
Annual mean (MgC ha-1 yr-1),,,3.97011811,0.430642486,,,3.037874016,0.288901061,0.185784141,0.078948417,0.183949626,,0.702787402,0.23111981,
