plot_code,measurement_code,subplot,replica,year,egm_measurement,recno,day,month,hour,min,co2ref,InputD,time,atmp,probe_type
ACJ,STEM,1,1,13,1,1,28,5,10,20,464,0,0,675,8
ACJ,STEM,1,1,13,1,2,28,5,10,20,465,0,4,674,8
ACJ,STEM,1,1,13,1,3,28,5,10,21,465,0,9,675,8
ACJ,STEM,1,1,13,1,4,28,5,10,21,466,1,14,675,8
ACJ,STEM,1,1,13,1,5,28,5,10,21,466,2,19,675,8
ACJ,STEM,1,1,13,1,6,28,5,10,21,467,3,24,675,8
ACJ,STEM,1,1,13,1,7,28,5,10,21,468,4,28,675,8
ACJ,STEM,1,1,13,1,8,28,5,10,21,469,5,33,675,8
ACJ,STEM,1,1,13,1,9,28,5,10,21,470,5,38,675,8
ACJ,STEM,1,1,13,1,10,28,5,10,21,470,6,43,675,8
ACJ,STEM,1,1,13,1,11,28,5,10,21,472,7,48,675,8
ACJ,STEM,1,1,13,1,12,28,5,10,21,472,8,52,675,8
ACJ,STEM,1,1,13,1,13,28,5,10,21,473,9,57,675,8
ACJ,STEM,1,1,13,1,14,28,5,10,21,474,9,62,675,8
ACJ,STEM,1,1,13,1,15,28,5,10,22,474,10,67,675,8
ACJ,STEM,1,1,13,1,16,28,5,10,22,475,11,72,675,8
ACJ,STEM,1,1,13,1,17,28,5,10,22,475,11,76,675,8
ACJ,STEM,1,1,13,1,18,28,5,10,22,476,12,81,675,8
ACJ,STEM,1,1,13,1,19,28,5,10,22,477,13,86,675,8
ACJ,STEM,1,1,13,1,20,28,5,10,22,477,13,91,675,8
ACJ,STEM,1,1,13,1,21,28,5,10,22,478,14,96,675,8
ACJ,STEM,1,1,13,1,22,28,5,10,22,479,15,100,675,8
ACJ,STEM,1,1,13,1,23,28,5,10,22,479,15,105,675,8
ACJ,STEM,1,1,13,1,24,28,5,10,22,480,16,110,675,8
ACJ,STEM,1,1,13,1,25,28,5,10,22,480,16,115,675,8
ACJ,STEM,1,1,13,1,26,28,5,10,22,481,17,120,675,8
ACJ,STEM,1,1,13,1,27,28,5,10,22,482,18,124,675,8
ACJ,STEM,2,1,13,2,1,28,5,10,34,466,0,0,675,8
ACJ,STEM,2,1,13,2,2,28,5,10,34,466,0,4,675,8
ACJ,STEM,2,1,13,2,3,28,5,10,34,467,0,9,675,8
ACJ,STEM,2,1,13,2,4,28,5,10,35,467,1,14,675,8
ACJ,STEM,2,1,13,2,5,28,5,10,35,468,2,19,675,8
ACJ,STEM,2,1,13,2,6,28,5,10,35,468,2,24,675,8
ACJ,STEM,2,1,13,2,7,28,5,10,35,469,3,28,675,8
ACJ,STEM,2,1,13,2,8,28,5,10,35,469,3,33,675,8
ACJ,STEM,2,1,13,2,9,28,5,10,35,470,3,38,675,8
ACJ,STEM,2,1,13,2,10,28,5,10,35,470,4,43,675,8
ACJ,STEM,2,1,13,2,11,28,5,10,35,470,4,48,675,8
ACJ,STEM,2,1,13,2,12,28,5,10,35,471,5,52,675,8
ACJ,STEM,2,1,13,2,13,28,5,10,35,471,5,57,675,8
ACJ,STEM,2,1,13,2,14,28,5,10,35,472,6,62,675,8
ACJ,STEM,2,1,13,2,15,28,5,10,35,473,6,67,675,8
ACJ,STEM,2,1,13,2,16,28,5,10,36,473,7,72,675,8
ACJ,STEM,2,1,13,2,17,28,5,10,36,474,7,76,675,8
ACJ,STEM,2,1,13,2,18,28,5,10,36,474,8,81,675,8
ACJ,STEM,2,1,13,2,19,28,5,10,36,475,8,86,675,8
ACJ,STEM,2,1,13,2,20,28,5,10,36,475,9,91,675,8
ACJ,STEM,2,1,13,2,21,28,5,10,36,475,9,96,675,8
ACJ,STEM,2,1,13,2,22,28,5,10,36,475,9,100,675,8
ACJ,STEM,2,1,13,2,23,28,5,10,36,475,10,105,675,8
ACJ,STEM,2,1,13,2,24,28,5,10,36,476,10,110,675,8
ACJ,STEM,2,1,13,2,25,28,5,10,36,476,10,115,675,8
ACJ,STEM,2,1,13,2,26,28,5,10,36,476,11,120,675,8
ACJ,STEM,2,1,13,2,27,28,5,10,36,476,11,124,675,8
ACJ,STEM,3,1,13,3,1,28,5,13,42,462,0,0,676,8
ACJ,STEM,3,1,13,3,2,28,5,13,42,466,0,4,676,8
ACJ,STEM,3,1,13,3,3,28,5,13,42,470,0,9,676,8
ACJ,STEM,3,1,13,3,4,28,5,13,42,474,12,14,676,8
ACJ,STEM,3,1,13,3,5,28,5,13,42,476,14,19,676,8
ACJ,STEM,3,1,13,3,6,28,5,13,42,476,14,24,677,8
ACJ,STEM,3,1,13,3,7,28,5,13,42,478,15,28,676,8
ACJ,STEM,3,1,13,3,8,28,5,13,42,478,15,33,676,8
ACJ,STEM,3,1,13,3,9,28,5,13,42,478,16,38,676,8
ACJ,STEM,3,1,13,3,10,28,5,13,42,478,15,43,677,8
ACJ,STEM,3,1,13,3,11,28,5,13,42,479,15,48,676,8
ACJ,STEM,3,1,13,3,12,28,5,13,42,480,15,52,676,8
ACJ,STEM,3,1,13,3,13,28,5,13,43,479,15,57,677,8
ACJ,STEM,3,1,13,3,14,28,5,13,43,481,15,62,676,8
ACJ,STEM,3,1,13,3,15,28,5,13,43,481,15,67,676,8
ACJ,STEM,3,1,13,3,16,28,5,13,43,482,15,72,676,8
ACJ,STEM,3,1,13,3,17,28,5,13,43,481,15,76,676,8
ACJ,STEM,3,1,13,3,18,28,5,13,43,482,15,81,676,8
ACJ,STEM,3,1,13,3,19,28,5,13,43,482,15,86,676,8
ACJ,STEM,3,1,13,3,20,28,5,13,43,481,15,91,677,8
ACJ,STEM,3,1,13,3,21,28,5,13,43,483,15,96,676,8
ACJ,STEM,3,1,13,3,22,28,5,13,43,483,15,100,676,8
ACJ,STEM,3,1,13,3,23,28,5,13,43,483,15,105,676,8
ACJ,STEM,3,1,13,3,24,28,5,13,43,483,15,110,677,8
ACJ,STEM,3,1,13,3,25,28,5,13,44,485,15,115,676,8
