plot_code ,measurement_code ,sub_plot,replica,year,egm_measurement,recno,day,month,hour,min,co2ref_ppm,Input D,time,Input F,atmp_mb,probe_type,AirTemp,StemTemp,CoHeight
PAN02,STEM,1,1,13,1,1,22,6,14,38,447,0,0,0,945,8,24.3,23.6,7
PAN02,STEM,1,1,13,1,2,22,6,14,38,457,0,4,0,945,8,,,
PAN02,STEM,1,1,13,1,3,22,6,14,38,462,0,9,0,945,8,,,
PAN02,STEM,1,1,13,1,4,22,6,14,38,464,16,14,1.01,945,8,,,
PAN02,STEM,1,1,13,1,5,22,6,14,39,465,16,19,0.79,945,8,,,
PAN02,STEM,1,1,13,1,6,22,6,14,39,467,17,24,0.65,945,8,,,
PAN02,STEM,1,1,13,1,7,22,6,14,39,468,17,28,0.56,945,8,,,
PAN02,STEM,1,1,13,1,8,22,6,14,39,469,18,33,0.48,945,8,,,
PAN02,STEM,1,1,13,1,9,22,6,14,39,470,18,38,0.43,945,8,,,
PAN02,STEM,1,1,13,1,10,22,6,14,39,471,19,43,0.4,945,8,,,
PAN02,STEM,1,1,13,1,11,22,6,14,39,472,19,48,0.37,945,8,,,
PAN02,STEM,1,1,13,1,12,22,6,14,39,473,20,52,0.34,945,8,,,
PAN02,STEM,1,1,13,1,13,22,6,14,39,474,20,57,0.32,945,8,,,
PAN02,STEM,1,1,13,1,14,22,6,14,39,476,21,62,0.31,945,8,,,
PAN02,STEM,1,1,13,1,15,22,6,14,39,477,22,67,0.29,945,8,,,
PAN02,STEM,1,1,13,1,16,22,6,14,39,478,23,72,0.28,945,8,,,
PAN02,STEM,1,1,13,1,17,22,6,14,40,479,24,76,0.28,945,8,,,
PAN02,STEM,1,1,13,1,18,22,6,14,40,481,24,81,0.27,945,8,,,
PAN02,STEM,1,1,13,1,19,22,6,14,40,482,25,86,0.27,945,8,,,
PAN02,STEM,1,1,13,1,20,22,6,14,40,483,26,91,0.26,945,8,,,
PAN02,STEM,1,1,13,1,21,22,6,14,40,484,27,96,0.26,945,8,,,
PAN02,STEM,1,1,13,1,22,22,6,14,40,485,28,100,0.25,945,8,,,
PAN02,STEM,1,1,13,1,23,22,6,14,40,486,29,105,0.25,945,8,,,
PAN02,STEM,1,1,13,1,24,22,6,14,40,487,30,110,0.25,945,8,,,
PAN02,STEM,1,1,13,1,25,22,6,14,40,488,31,115,0.24,945,8,,,
PAN02,STEM,1,1,13,1,26,22,6,14,40,490,32,120,0.24,945,8,,,
PAN02,STEM,1,1,13,1,27,22,6,14,40,491,33,124,0.24,945,8,,,
PAN02,STEM,2,1,13,2,1,22,6,14,33,462,0,0,0,945,8,24.1,24.3,7
PAN02,STEM,2,1,13,2,2,22,6,14,33,463,0,4,0,945,8,,,
PAN02,STEM,2,1,13,2,3,22,6,14,33,463,0,9,0,945,8,,,
PAN02,STEM,2,1,13,2,4,22,6,14,33,464,2,14,0.12,945,8,,,
PAN02,STEM,2,1,13,2,5,22,6,14,33,465,2,19,0.12,945,8,,,
PAN02,STEM,2,1,13,2,6,22,6,14,33,465,3,24,0.11,945,8,,,
PAN02,STEM,2,1,13,2,7,22,6,14,33,466,3,28,0.1,945,8,,,
PAN02,STEM,2,1,13,2,8,22,6,14,33,466,4,33,0.1,945,8,,,
PAN02,STEM,2,1,13,2,9,22,6,14,33,467,4,38,0.1,945,8,,,
PAN02,STEM,2,1,13,2,10,22,6,14,33,468,5,43,0.1,945,8,,,
PAN02,STEM,2,1,13,2,11,22,6,14,33,468,5,48,0.1,945,8,,,
PAN02,STEM,2,1,13,2,12,22,6,14,34,469,6,52,0.1,945,8,,,
PAN02,STEM,2,1,13,2,13,22,6,14,34,469,6,57,0.1,945,8,,,
PAN02,STEM,2,1,13,2,14,22,6,14,34,470,7,62,0.1,945,8,,,
PAN02,STEM,2,1,13,2,15,22,6,14,34,470,8,67,0.1,945,8,,,
PAN02,STEM,2,1,13,2,16,22,6,14,34,471,8,72,0.1,945,8,,,
PAN02,STEM,2,1,13,2,17,22,6,14,34,471,9,76,0.1,945,8,,,
PAN02,STEM,2,1,13,2,18,22,6,14,34,472,9,81,0.1,945,8,,,
PAN02,STEM,2,1,13,2,19,22,6,14,34,472,10,86,0.1,945,8,,,
PAN02,STEM,2,1,13,2,20,22,6,14,34,473,10,91,0.1,945,8,,,
PAN02,STEM,2,1,13,2,21,22,6,14,34,474,11,96,0.1,945,8,,,
PAN02,STEM,2,1,13,2,22,22,6,14,34,474,11,100,0.1,945,8,,,
PAN02,STEM,2,1,13,2,23,22,6,14,34,475,12,105,0.1,945,8,,,
PAN02,STEM,2,1,13,2,24,22,6,14,34,475,12,110,0.1,945,8,,,
PAN02,STEM,2,1,13,2,25,22,6,14,35,476,13,115,0.1,945,8,,,
PAN02,STEM,2,1,13,2,26,22,6,14,35,476,13,120,0.1,945,8,,,
PAN02,STEM,2,1,13,2,27,22,6,14,35,477,14,124,0.1,945,8,,,
PAN02,STEM,3,1,13,3,9,22,6,14,27,440,0,0,0,945,8,24,24.1,7
PAN02,STEM,3,1,13,3,10,22,6,14,27,440,0,4,0,945,8,,,
PAN02,STEM,3,1,13,3,11,22,6,14,27,440,0,9,0,945,8,,,
PAN02,STEM,3,1,13,3,12,22,6,14,27,441,0,14,0.04,945,8,,,
PAN02,STEM,3,1,13,3,13,22,6,14,27,442,1,19,0.08,945,8,,,
PAN02,STEM,3,1,13,3,14,22,6,14,27,443,2,24,0.1,945,8,,,
PAN02,STEM,3,1,13,3,15,22,6,14,27,444,3,28,0.11,945,8,,,
PAN02,STEM,3,1,13,3,16,22,6,14,28,445,4,33,0.12,945,8,,,
PAN02,STEM,3,1,13,3,17,22,6,14,28,445,5,38,0.13,945,8,,,
PAN02,STEM,3,1,13,3,18,22,6,14,28,447,6,43,0.14,945,8,,,
PAN02,STEM,3,1,13,3,19,22,6,14,28,447,7,48,0.14,945,8,,,
PAN02,STEM,3,1,13,3,20,22,6,14,28,449,8,52,0.15,945,8,,,
PAN02,STEM,3,1,13,3,21,22,6,14,28,449,9,57,0.15,945,8,,,
PAN02,STEM,3,1,13,3,22,22,6,14,28,450,10,62,0.15,945,8,,,
PAN02,STEM,3,1,13,3,23,22,6,14,28,451,11,67,0.15,945,8,,,
PAN02,STEM,3,1,13,3,24,22,6,14,28,453,12,72,0.16,945,8,,,
PAN02,STEM,3,1,13,3,25,22,6,14,28,455,14,76,0.16,945,8,,,
PAN02,STEM,3,1,13,3,26,22,6,14,28,457,16,81,0.17,945,8,,,
PAN02,STEM,3,1,13,3,27,22,6,14,28,459,18,86,0.18,945,8,,,
PAN02,STEM,3,1,13,3,28,22,6,14,29,461,20,91,0.19,945,8,,,
PAN02,STEM,3,1,13,3,29,22,6,14,29,463,22,96,0.2,945,8,,,
PAN02,STEM,3,1,13,3,30,22,6,14,29,466,24,100,0.22,945,8,,,
PAN02,STEM,3,1,13,3,31,22,6,14,29,467,26,105,0.22,945,8,,,
PAN02,STEM,3,1,13,3,32,22,6,14,29,469,29,110,0.23,945,8,,,
PAN02,STEM,3,1,13,3,33,22,6,14,29,470,31,115,0.24,945,8,,,
PAN02,STEM,3,1,13,3,34,22,6,14,29,472,33,120,0.24,945,8,,,
PAN02,STEM,3,1,13,3,35,22,6,14,29,474,35,124,0.25,945,8,,,
PAN02,STEM,4,1,13,4,1,22,6,14,16,431,0,0,0,946,8,24,23.9,7
PAN02,STEM,4,1,13,4,2,22,6,14,16,432,0,4,0,946,8,,,
PAN02,STEM,4,1,13,4,3,22,6,14,16,435,0,9,0,946,8,,,
PAN02,STEM,4,1,13,4,4,22,6,14,16,437,5,14,0.36,946,8,,,
PAN02,STEM,4,1,13,4,5,22,6,14,16,438,7,19,0.35,946,8,,,
PAN02,STEM,4,1,13,4,6,22,6,14,16,440,9,24,0.34,946,8,,,
PAN02,STEM,4,1,13,4,7,22,6,14,17,442,11,28,0.34,946,8,,,
PAN02,STEM,4,1,13,4,8,22,6,14,17,443,12,33,0.33,946,8,,,
PAN02,STEM,4,1,13,4,9,22,6,14,17,445,14,38,0.33,946,8,,,
PAN02,STEM,4,1,13,4,10,22,6,14,17,446,15,43,0.32,946,8,,,
PAN02,STEM,4,1,13,4,11,22,6,14,17,448,17,48,0.32,946,8,,,
PAN02,STEM,4,1,13,4,12,22,6,14,17,449,18,52,0.31,946,8,,,
