plot_code,sub_plot,collar_number,replica,year,egm_measurement ,recno,day,month,hour,min,co2ref_ppm_sec,Input D,time,Input F,atmp_mb,probe_type,AirTemp,StemTemp,CoHeight
PAN-03,1,NA,1,13,1,1,19,6,14,22,427,0,0,0,919,8,21.8,21.5,7
PAN-03,1,NA,1,13,1,2,19,6,14,22,428,0,4,0,919,8,,,
PAN-03,1,NA,1,13,1,3,19,6,14,22,429,0,9,0,919,8,,,
PAN-03,1,NA,1,13,1,4,19,6,14,22,429,2,14,0.14,920,8,,,
PAN-03,1,NA,1,13,1,5,19,6,14,22,431,3,19,0.17,919,8,,,
PAN-03,1,NA,1,13,1,6,19,6,14,22,432,5,24,0.19,919,8,,,
PAN-03,1,NA,1,13,1,7,19,6,14,22,433,6,28,0.19,919,8,,,
PAN-03,1,NA,1,13,1,8,19,6,14,22,435,7,33,0.2,919,8,,,
PAN-03,1,NA,1,13,1,9,19,6,14,22,436,9,38,0.21,919,8,,,
PAN-03,1,NA,1,13,1,10,19,6,14,22,437,10,43,0.21,919,8,,,
PAN-03,1,NA,1,13,1,11,19,6,14,22,439,12,48,0.22,919,8,,,
PAN-03,1,NA,1,13,1,12,19,6,14,22,440,13,52,0.22,919,8,,,
PAN-03,1,NA,1,13,1,13,19,6,14,23,441,15,57,0.22,919,8,,,
PAN-03,1,NA,1,13,1,14,19,6,14,23,443,16,62,0.23,919,8,,,
PAN-03,1,NA,1,13,1,15,19,6,14,23,444,17,67,0.23,919,8,,,
PAN-03,1,NA,1,13,1,16,19,6,14,23,445,19,72,0.23,919,8,,,
PAN-03,1,NA,1,13,1,17,19,6,14,23,446,20,76,0.23,920,8,,,
PAN-03,1,NA,1,13,1,18,19,6,14,23,447,21,81,0.23,920,8,,,
PAN-03,1,NA,1,13,1,19,19,6,14,23,450,23,86,0.23,919,8,,,
PAN-03,1,NA,1,13,1,20,19,6,14,23,451,24,91,0.23,919,8,,,
PAN-03,1,NA,1,13,1,21,19,6,14,23,452,26,96,0.23,919,8,,,
PAN-03,1,NA,1,13,1,22,19,6,14,23,454,27,100,0.23,919,8,,,
PAN-03,1,NA,1,13,1,23,19,6,14,23,455,28,105,0.24,919,8,,,
PAN-03,1,NA,1,13,1,24,19,6,14,23,456,30,110,0.24,919,8,,,
