plot_code,measurement_code,subplot,replica,day,month,year,Id,soil_temp,air_temp,collar_depth
ACJ,STEM,1,1,28,5,13,ACJ_STEM_1_1_280513,8.9,9.7,7
ACJ,STEM,2,1,28,5,13,ACJ_STEM_2_1_280513,10.7,9.8,7
ACJ,STEM,3,1,28,5,13,ACJ_STEM_3_1_280513,11.5,10.5,7
ACJ,STEM,4,1,28,5,13,ACJ_STEM_4_1_280513,10.9,11.5,7
ACJ,STEM,5,1,28,5,13,ACJ_STEM_5_1_280513,10.5,10.2,7
ACJ,STEM,6,1,28,5,13,ACJ_STEM_6_1_280513,11,10.8,7
ACJ,STEM,7,1,28,5,13,ACJ_STEM_7_1_280513,9.7,9.4,7
ACJ,STEM,8,1,29,5,13,ACJ_STEM_8_1_290513,8.4,9.5,7
ACJ,STEM,9,1,29,5,13,ACJ_STEM_9_1_290513,7.3,9.1,7
ACJ,STEM,10,1,29,5,13,ACJ_STEM_10_1_290513,8.2,10.3,7
ACJ,STEM,11,1,29,5,13,ACJ_STEM_11_1_290513,8.7,10.6,7
ACJ,STEM,12,1,29,5,13,ACJ_STEM_12_1_290513,8.9,10.4,7
ACJ,STEM,13,1,28,5,13,ACJ_STEM_13_1_280513,9.9,10.2,7
ACJ,STEM,14,1,28,5,13,ACJ_STEM_14_1_280513,9.9,10.1,7
ACJ,STEM,15,1,28,5,13,ACJ_STEM_15_1_280513,9.8,9.9,7
ACJ,STEM,16,1,28,5,13,ACJ_STEM_16_1_280513,9.8,10.3,7
ACJ,STEM,17,1,28,5,13,ACJ_STEM_17_1_280513,10.3,10.2,7
ACJ,STEM,18,1,28,5,13,ACJ_STEM_18_1_280513,9.8,10.1,7
ACJ,STEM,19,1,29,5,13,ACJ_STEM_19_1_290513,9.7,9.9,7
ACJ,STEM,20,1,29,5,13,ACJ_STEM_20_1_290513,9.7,9.5,7
ACJ,STEM,21,1,29,5,13,ACJ_STEM_21_1_290513,9.9,12.8,7
ACJ,STEM,22,1,29,5,13,ACJ_STEM_22_1_290513,9.3,10.8,7
ACJ,STEM,23,1,28,5,13,ACJ_STEM_23_1_280513,9.9,9.4,7
ACJ,STEM,24,1,28,5,13,ACJ_STEM_24_1_280513,9.9,9.5,7
ACJ,STEM,25,1,28,5,13,ACJ_STEM_25_1_280513,9.9,9.4,7
ACJ,STEM,1,1,23,7,13,ACJ_STEM_1_1_230713,7.7,9.7,7
ACJ,STEM,2,1,23,7,13,ACJ_STEM_2_1_230713,7.6,7.5,7
ACJ,STEM,3,1,24,7,13,ACJ_STEM_3_1_240713,7.9,6.9,7
ACJ,STEM,4,1,24,7,13,ACJ_STEM_4_1_240713,8.3,6.5,7
ACJ,STEM,5,1,24,7,13,ACJ_STEM_5_1_240713,8.3,6.9,7
ACJ,STEM,6,1,24,7,13,ACJ_STEM_6_1_240713,7.9,7,7
