plot_code,measurement_code,sub_plot,replica,day,month,year,soil_temp,air_temp,collar_depth
TU4,STEM,1,1,27,5,13,10.6,11.2,7
TU4,STEM,2,1,27,5,13,10.5,10.9,7
TU4,STEM,3,1,27,5,13,10.5,10.7,7
TU4,STEM,4,1,27,5,13,11.2,11.3,7
TU4,STEM,5,1,27,5,13,10.9,11.2,7
TU4,STEM,6,1,27,5,13,11.1,11.5,7
TU4,STEM,7,1,27,5,13,11.3,12.2,7
TU4,STEM,8,1,27,5,13,12.7,13.2,7
TU4,STEM,9,1,27,5,13,12.7,12.8,7
TU4,STEM,10,1,27,5,13,12.7,12.8,7
TU4,STEM,11,1,27,5,13,11.7,12.2,7
TU4,STEM,12,1,27,5,13,12.4,12.9,7
TU4,STEM,13,1,27,5,13,12.4,13.6,7
TU4,STEM,14,1,27,5,13,12.4,13.5,7
TU4,STEM,15,1,26,5,13,12.4,12.1,7
TU4,STEM,16,1,26,5,13,12.5,11.9,7
TU4,STEM,17,1,26,5,13,12.7,13.2,7
TU4,STEM,18,1,26,5,13,12.8,13.4,7
TU4,STEM,19,1,26,5,13,12.7,13.2,7
TU4,STEM,20,1,26,5,13,12.7,13.3,7
TU4,STEM,21,1,26,5,13,12.7,13.3,7
TU4,STEM,22,1,26,5,13,12.7,13.2,7
TU4,STEM,23,1,26,5,13,12.7,13.1,7
TU4,STEM,24,1,26,5,13,12.7,13.2,7
TU4,STEM,25,1,26,5,13,12.7,12.6,7
TU4,STEM,1,1,22,7,13,12,11,7
TU4,STEM,2,1,22,7,13,12,10.9,7
TU4,STEM,3,1,22,7,13,11.4,11.3,7
TU4,STEM,4,1,22,7,13,11.8,11.9,7
TU4,STEM,5,1,22,7,13,11,12.1,7
TU4,STEM,6,1,22,7,13,11,12,7
TU4,STEM,7,1,22,7,13,12.1,12.4,7
TU4,STEM,8,1,22,7,13,11.7,11.5,7
TU4,STEM,9,1,22,7,13,11.7,12.6,7
TU4,STEM,10,1,22,7,13,11.8,12.6,7
TU4,STEM,11,1,22,7,13,11.7,12.6,7
TU4,STEM,12,1,23,7,13,11.5,12.4,7
TU4,STEM,13,1,23,7,13,11.5,12.6,7
TU4,STEM,14,1,23,7,13,12.3,12.1,7
TU4,STEM,15,1,23,7,13,11.5,12.1,7
TU4,STEM,16,1,23,7,13,12.4,12.2,7
TU4,STEM,17,1,23,7,13,12,11.9,7
TU4,STEM,18,1,23,7,13,12.1,11.8,7
TU4,STEM,19,1,23,7,13,12.1,11.9,7
TU4,STEM,20,1,23,7,13,11.9,12.1,7
TU4,STEM,21,1,23,7,13,11.9,12,7
TU4,STEM,22,1,23,7,13,11.8,11.5,7
TU4,STEM,23,1,23,7,13,11.8,11.3,7
TU4,STEM,24,1,23,7,13,11.5,11.3,7
TU4,STEM,25,1,23,7,13,11.5,11.3,7
TU4,STEM,1,1,23,9,13,12.2,12.9,7
TU4,STEM,2,1,23,9,13,12.7,13,7
TU4,STEM,3,1,23,9,13,12.3,13.4,7
TU4,STEM,4,1,23,9,13,14.2,13.5,7
TU4,STEM,5,1,23,9,13,12.5,12.7,7
TU4,STEM,6,1,23,9,13,13.8,14.9,7
TU4,STEM,7,1,23,9,13,13.8,13.4,7
TU4,STEM,8,1,23,9,13,13.8,13.3,7
TU4,STEM,9,1,23,9,13,15.7,14.6,7
TU4,STEM,10,1,23,9,13,12.2,13.5,7
TU4,STEM,11,1,23,9,13,12.2,13.5,7
TU4,STEM,12,1,23,9,13,12,13.3,7
TU4,STEM,13,1,23,9,13,12,13,7
TU4,STEM,14,1,23,9,13,12.5,12.6,7
TU4,STEM,15,1,23,9,13,13,13.4,7
TU4,STEM,16,1,23,9,13,12,12.6,7
TU4,STEM,17,1,23,9,13,12,11.7,7
TU4,STEM,18,1,23,9,13,11.3,11.7,7
TU4,STEM,19,1,23,9,13,11.3,11.6,7
TU4,STEM,20,1,23,9,13,11.3,11.7,7
TU4,STEM,21,1,23,9,13,11.5,11.6,7
TU4,STEM,22,1,23,9,13,11.5,11.7,7
TU4,STEM,23,1,23,9,13,11.7,11.8,7
TU4,STEM,24,1,23,9,13,11.7,11.8,7
TU4,STEM,25,1,23,9,13,11.9,11.7,7
TU4,STEM,1,1,18,11,13,12.8,12.8,7
TU4,STEM,2,1,18,11,13,13,12.9,7
TU4,STEM,3,1,18,11,13,12.2,12.4,7
TU4,STEM,4,1,18,11,13,12.4,12,7
TU4,STEM,5,1,18,11,13,12,12.7,7
TU4,STEM,6,1,18,11,13,12.6,13.1,7
TU4,STEM,7,1,18,11,13,NA,NA,7
TU4,STEM,8,1,18,11,13,12.6,13.1,7
TU4,STEM,9,1,18,11,13,12.5,13,7
TU4,STEM,10,1,18,11,13,12.5,12.8,7
TU4,STEM,11,1,19,11,13,12.5,12.8,7
TU4,STEM,12,1,19,11,13,NA,NA,7
TU4,STEM,13,1,18,11,13,12.6,13.1,7
TU4,STEM,14,1,19,11,13,12.6,13,7
TU4,STEM,15,1,19,11,13,12.3,12.8,7
TU4,STEM,16,1,19,11,13,12.3,12.7,7
TU4,STEM,17,1,19,11,13,12.4,12.8,7
TU4,STEM,18,1,19,11,13,12.3,12.6,7
TU4,STEM,19,1,19,11,13,12.4,12.6,7
TU4,STEM,20,1,19,11,13,12.5,12.6,7
TU4,STEM,21,1,19,11,13,12.4,12.7,7
TU4,STEM,22,1,19,11,13,12.4,12.7,7
TU4,STEM,23,1,19,11,13,12.5,12.7,7
TU4,STEM,24,1,19,11,13,12.3,12.7,7
TU4,STEM,25,1,19,11,13,12.4,12.7,7
TU4,STEM,1,1,10,1,14,13.3,13.4,7
TU4,STEM,2,1,10,1,14,13.3,13.3,7
TU4,STEM,3,1,10,1,14,13.2,13.3,7
TU4,STEM,4,1,10,1,14,13.1,13.3,7
TU4,STEM,5,1,10,1,14,13.3,13.3,7
TU4,STEM,6,1,10,1,14,13.1,13.3,7
TU4,STEM,7,1,10,1,14,13.5,13.2,7
TU4,STEM,8,1,10,1,14,12.3,13.3,7
TU4,STEM,9,1,10,1,14,12.3,13.3,7
TU4,STEM,10,1,10,1,14,13.3,13.4,7
TU4,STEM,11,1,11,1,14,13.1,13.6,7
TU4,STEM,12,1,11,1,14,13.2,13.5,7
TU4,STEM,13,1,11,1,14,13.3,13.5,7
TU4,STEM,14,1,11,1,14,13.1,13.5,7
TU4,STEM,15,1,11,1,14,13.1,13.4,7
TU4,STEM,16,1,11,1,14,13.1,13.4,7
TU4,STEM,17,1,11,1,14,13.1,13.3,7
TU4,STEM,18,1,11,1,14,13.1,13.3,7
