"","Year","Month","Day","totflfAs","totflfAsstd","seedsfAs","seedsfAsstd","leafflfAs","leafflfAsstd","fruitflfAs","fruitflfAsstd","flowerflfAs","flowerflfAsstd","branchflfAs","branchflfAsstd","date","yearmonth"
"1",2013,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013-01-15,ene 2013
"2",2013,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013-02-15,feb 2013
"3",2013,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013-03-15,mar 2013
"4",2013,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013-04-15,abr 2013
"5",2013,5,NA,0.388409448818898,0.0502085884068124,NA,NA,0.245322834645669,0.0413106724928316,NA,NA,NA,NA,0.275166565717747,0.0380016981881232,2013-05-15,may 2013
"6",2013,6,NA,0.284157480314961,0.0412271920059571,NA,NA,0.284157480314961,0.0412271920059571,NA,NA,NA,NA,NA,NA,2013-06-15,jun 2013
"7",2013,7,NA,0.328094488188976,0.0330921681799464,NA,NA,0.184834645669291,0.0308873353774915,NA,NA,NA,NA,0.27549969715324,0.031071933582755,2013-07-15,jul 2013
"8",2013,8,NA,0.416551181102362,0.0375461460617842,NA,NA,0.416551181102362,0.0375461460617842,NA,NA,NA,NA,NA,NA,2013-08-15,ago 2013
"9",2013,9,NA,0.391637795275591,0.0396863365825564,NA,NA,0.25051968503937,0.0370830038197871,NA,NA,NA,NA,0.271380981223501,0.0363968571935132,2013-09-15,sep 2013
"10",2013,10,NA,0.480929133858268,0.0697782310562284,NA,NA,0.480929133858268,0.0697782310562284,NA,NA,NA,NA,NA,NA,2013-10-15,oct 2013
"11",2013,11,NA,0.655937007874016,0.0808052521043292,NA,NA,0.499732283464567,0.0884358559284707,NA,NA,NA,NA,0.300393700787402,0.0265486115705552,2013-11-15,nov 2013
"12",2013,12,NA,0.430299212598425,0.0504260399023924,NA,NA,0.430299212598425,0.0504260399023924,NA,NA,NA,NA,NA,NA,2013-12-15,dic 2013
"13",2014,1,NA,0.658136482939633,0.0631926143038491,NA,NA,1.95992125984252,1.48894471412789,NA,NA,NA,NA,0.354542701393095,0.0454755099506842,2014-01-15,ene 2014
"14",2014,2,NA,0.509606299212598,0.0669807235168048,NA,NA,0.509606299212598,0.0669807235168048,NA,NA,NA,NA,NA,NA,2014-02-15,feb 2014
"15",2014,3,NA,0.752755905511811,0.101653566178935,NA,NA,0.58261154855643,0.0728797963874774,NA,NA,NA,NA,0.403018372703412,0.044403690582145,2014-03-15,mar 2014
"16",2014,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-04-15,abr 2014
"17",2014,5,NA,0.848409448818898,0.110293532345857,NA,NA,0.883759842519685,0.106721969259547,NA,NA,NA,NA,NA,NA,2014-05-15,may 2014
"18",2014,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-06-15,jun 2014
"19",2014,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-07-15,jul 2014
"20",2014,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-08-15,ago 2014
"21",2014,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-09-15,sep 2014
"22",2014,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-10-15,oct 2014
"23",2014,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-11-15,nov 2014
"24",2014,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-12-15,dic 2014
