Tag No,Old No,T1,T2,X,Y,Family,genus,species,Old Tree Notes,"D 2013.1","POM 2013.1","F1 2013.1","F2 2013.1","Height 2013.1","F5 2013.1","F3 2013.1","F4 2013.1","LI 2013.1","CI 2013.1","Census Notes 2013.1","D 2014.2","POM 2014.2",F1,F2,"Height 2014.2",F5,F3,F4,"LI 2014.2","CI 2014.2",Tree ID,"D 2015.1","POM 2015.1",F1,F2,"Height 2015.1",F5,F3,F4,"LI 2015.1","CI 2015.1",Census Notes,Tree ID,New Tag No
1,,1,,,,Symplocaceae,Symplocos,quitensis,,129,1300,a,1,8,4,0,0,0,1,,130,1300,a,1,,,0,0,,,1105383,132,1300,m,1,7000,,0,0,2,3b,,1105383,
2,,1,,,,Cunoniaceae,Weinmannia,cochensis,,234,1300,a,1,8.4,4,0,0,0,1,,234,1300,ah,1,,,0,0,,,1105384,268,1300,ah,1,7000,,0,0,0,3b,,1105384,
3,,1,2,,,Cunoniaceae,Weinmannia,cochensis,,119,1300,a,1,7,4,0,0,0,1,,112,1300,ah,1,,,0,0,,,1105385,115,1300,ah,1,7000,,0,0,0,3a,,1105385,
4,,1,,,,Cunoniaceae,Weinmannia,cochensis,,134,1300,a,1,8.5,4,0,0,0,1,,131,1300,c,1,,,0,0,,,1105386,130,1300,c,1,8000,,0,0,1,3a,,1105386,
5,,1,,,,Rosaceae,Polylepis,pauta,,312,1300,a,1,9,4,0,0,0,1,,317,1300,c,1,,,0,0,,,1105387,327,1300,c,1,10000,,0,0,0,3b,,1105387,
6,,1,,,,Cunoniaceae,Weinmannia,cochensis,,128,1300,a,1,7,4,0,0,0,1,,131,1300,c,1,,,0,0,,,1105388,131,1300,c,1,8000,,0,0,0,2a,,1105388,
7,,1,,,,Melastomataceae,Miconia,indet,,184,1300,a,1,7,4,0,0,0,1,,184,1300,c,1,,,0,0,,,1105389,186,1300,c,1,7000,,0,0,0,2b,,1105389,
8,,1,,,,Clethraceae,Clethra,indet,,96,1300,a,1,7,4,0,0,0,1,,100,1300,c,1,,,0,0,,,1105390,104,1300,c,1,9000,,0,0,0,1,,1105390,
9,,1,,,,Melastomataceae,Miconia,indet,,109,1300,a,1,6,4,0,0,0,1,,111,1300,a,1,,,0,0,,,1105391,112,1300,a,1,7000,,0,0,0,3a,,1105391,
10,,1,,,,Symplocaceae,Symplocos,quitensis,,170,1300,a,1,10,4,0,0,0,1,,174,1300,a,1,,,0,0,,,1105392,179,1300,a,1,9000,,0,0,1,2c,,1105392,
11,,1,,,,Cunoniaceae,Weinmannia,cochensis,,141,1300,a,1,4,4,0,0,0,1,,143,1300,c,1,,,0,0,,,1105393,143,1300,c,1,6000,,0,0,1,3a,,1105393,
12,,1,,,,Chloranthaceae,Hedyosmum,indet,,136,1300,a,1,6,4,0,0,0,1,,140,1300,c,1,,,0,0,,,1105394,142,1300,c,1,7000,,0,0,1,3a,,1105394,
13,,1,,,,Rosaceae,Polylepis,pauta,,495,1300,a,1,8.5,4,0,0,0,1,,500,1300,ah,1,,,0,0,,,1105395,509,1300,c,1,11000,,0,0,1,3b,,1105395,
14,,1,,,,Chloranthaceae,Hedyosmum,indet,,104,1300,a,1,7,4,0,0,0,1,,108,1300,a,1,,,0,0,,,1105396,113,1300,c,1,10000,,0,0,0,3b,,1105396,
15,,1,,,,Melastomataceae,Miconia,indet,,249,1300,a,1,7,4,0,0,0,1,,260,1300,a,1,,,0,0,,,1105397,251,1300,c,1,10000,,0,0,0,3b,,1105397,
16,,1,,,,Cunoniaceae,Weinmannia,cochensis,,172,1300,a,1,8,4,0,0,0,1,,171,1300,c,1,,,0,0,,,1105398,170,1300,c,1,9000,,0,0,0,3a,,1105398,
17,,1,,,,Cunoniaceae,Weinmannia,cochensis,,210,1300,a,1,8.5,4,0,0,0,1,,212,1300,a,1,,,0,0,,,1105399,215,1300,a,1,13000,,0,0,0,3b,,1105399,
18,,1,,,,Symplocaceae,Symplocos,baehnii,,208,1300,a,1,6,4,0,0,0,1,,208,1300,ah,1,,,0,0,,,1105400,210,1300,c,1,6000,,0,0,1,2c,,1105400,
19,,1,,,,Melastomataceae,Miconia,setulosa,,160,1300,a,1,9,4,0,0,0,1,,160,1300,c,1,,,0,0,,,1105401,168,1300,d,1,5000,,0,0,0,1,,1105401,
20,,1,,,,Melastomataceae,Miconia,setulosa,,256,1300,a,1,9.5,4,0,0,0,1,,258,1300,c,1,,,0,0,,,1105402,263,1300,c,1,9000,,0,0,0,3a,,1105402,
21,,1,,,,Melastomataceae,Miconia,setulosa,,162,1300,a,1,8,4,0,0,0,1,,164,1300,a,1,,,0,0,,,1105403,164,1300,a,1,7000,,0,0,0,3a,,1105403,
22,,1,,,,Melastomataceae,Miconia,setulosa,,223,1300,a,1,9,4,0,0,0,1,,225,1300,c,1,,,0,0,,,1105404,228,1300,c,1,9000,,0,0,0,2b,,1105404,
23,,1,,,,Clethraceae,Clethra,cuneata,,499,1300,a,1,12,4,0,0,0,1,,500,1300,a,1,,,0,0,,,1105405,507,1300,a,1,11000,,0,0,0,2c,,1105405,
24,,1,,,,Cunoniaceae,Weinmannia,fagaroides,,740,1300,a,1,5,4,0,0,0,1,,280,1300,a,1,,,0,0,,,1105406,759,1300,c,1,11000,,0,0,0,3b,,1105406,
25,,1,,,,Cunoniaceae,Weinmannia,fagaroides,,106,1300,a,1,10,4,0,0,0,1,,107,1300,c,1,,,0,0,,,1105407,114,1300,c,1,6000,,0,0,0,2c,,1105407,
26,,1,24,,,Cunoniaceae,Weinmannia,fagaroides,,122,1300,a,1,5,4,0,0,0,1,,120,1300,a,1,,,0,0,,,1105408,122,1300,a,1,6000,,0,0,0,1,,1105408,
27,,1,,,,Melastomataceae,Miconia,setulosa,,180,1300,a,1,6,4,0,0,0,1,,180,1300,ah,1,,,0,0,,,1105409,181,1300,bz,1,6000,,0,0,0,2c,b=6000,1105409,
28,,1,,,,Clethraceae,Clethra,indet,,263,1300,a,1,12,4,0,0,0,1,,264,1300,a,1,,,0,0,,,1105410,269,1300,a,1,11000,,0,0,0,4,,1105410,
29,,1,,,,Clethraceae,Clethra,indet,,154,1300,a,1,6,4,0,0,0,1,,155,1300,c,1,,,0,0,,,1105411,158,1300,c,1,7000,,0,0,1,2a,,1105411,
30,,1,,,,Cunoniaceae,Weinmannia,fagaroides,,115,1300,a,1,8,4,0,0,0,1,,116,1300,a,1,,,0,0,,,1105412,116,1300,a,1,8000,,0,0,0,1,,1105412,
31,,1,,,,Rosaceae,Polylepis,pauta,,355,1300,a,1,7,4,0,0,0,1,,355,1300,c,1,,,0,0,,,1105413,358,1300,c,1,9000,,0,0,1,3b,,1105413,
32,,1,,,,Clethraceae,Clethra,cuneata,,331,1300,a,1,11,4,0,0,0,1,,339,1300,a,1,,,0,0,,,1105414,340,1300,a,1,9000,,0,0,0,4,,1105414,
33,,1,,,,Cunoniaceae,Weinmannia,fagaroides,,240,1300,a,1,6,4,0,0,0,1,,240,1300,c,1,,,0,0,,,1105415,206,1300,cz,1,8000,,0,0,0,3b,,1105415,
34,,1,,,,Clethraceae,Clethra,indet,,137,1300,a,1,7,4,0,0,0,1,,140,1300,c,1,,,0,0,,,1105416,140,1300,c,1,8000,,0,0,0,3a,,1105416,
35,,1,,,,Clethraceae,Clethra,cuneata,,266,1300,a,1,9,4,0,0,0,1,,221,1300,a,1,,,0,0,,,1105417,275,1300,a,1,10000,,0,0,0,4,,1105417,
36,,1,,,,Cunoniaceae,Weinmannia,cochensis,,326,1300,a,1,12,4,0,0,0,1,,330,1300,a,1,,,0,0,,,1105418,344,1300,a,1,10000,,0,0,0,3b,,1105418,
37,,1,,,,Cunoniaceae,Weinmannia,cochensis,,166,1300,a,1,8,4,0,0,0,1,,166,1300,c,1,,,0,0,,,1105419,165,1300,a,1,9000,,0,0,0,2c,,1105419,
38,,1,,,,Cunoniaceae,Weinmannia,cochensis,,418,1300,a,1,9,4,0,0,0,1,,413,1300,c,1,,,0,0,,,1105420,415,1300,c,1,9000,,0,0,1,3b,,1105420,
39,,1,,,,Cunoniaceae,Weinmannia,cochensis,,186,1300,a,1,9,4,0,0,0,1,,189,1300,a,1,,,0,0,,,1105421,190,1300,a,1,7000,,0,0,1,4,,1105421,
40,,1,,,,Clethraceae,Clethra,cuneata,,320,1300,a,1,9,4,0,0,0,1,,323,1300,c,1,,,0,0,,,1105422,326,1300,c,1,8000,,0,0,0,4,,1105422,
