plot_code,year,month,day,ingrowth_core_num,is_stock_yn,ingrowth_core_litterfall_g,soil_humidity_pcnt,soil_temperature_c,ol_layer_depth_cm,ml_layer_depth_cm,time_step,time_step_minutes,ol_under_2mm_g,ml_under_2mm_g,ol_2to3_mm_g,ml_2to3_mm_g,ol_3to4_mm_g,ml_3to4_mm_g,ol_4to5_mm_g,ml_4to5_mm_g,ol_above_5mm_g,ml_above_5mm_g,quality_code,comments
PAN-03,2013,4,6,1,y,NaN,NaN,NaN,NaN,30,1,10,NaN,3.93,NaN,2.07,NaN,NaN,NaN,NaN,NaN,NaN,,stock
PAN-03,2013,4,6,1,y,NaN,NaN,NaN,NaN,30,2,10,NaN,2.1,NaN,2.02,NaN,NaN,NaN,NaN,NaN,NaN,,stock
PAN-03,2013,4,6,1,y,NaN,NaN,NaN,NaN,30,3,10,NaN,0.44,NaN,0.11,NaN,NaN,NaN,NaN,NaN,NaN,,stock
PAN-03,2013,4,6,1,y,NaN,NaN,NaN,NaN,30,4,10,NaN,0.33,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,stock
PAN-03,2013,4,6,2,y,NaN,NaN,NaN,NaN,30,1,10,NaN,4.97,NaN,3.51,NaN,NaN,NaN,NaN,NaN,NaN,,stock
PAN-03,2013,4,6,2,y,NaN,NaN,NaN,NaN,30,2,10,NaN,0.78,NaN,0.35,NaN,NaN,NaN,NaN,NaN,NaN,,stock
PAN-03,2013,4,6,2,y,NaN,NaN,NaN,NaN,30,3,10,NaN,0.57,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,stock
PAN-03,2013,4,6,2,y,NaN,NaN,NaN,NaN,30,4,10,NaN,0.13,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,stock
PAN-03,2013,4,6,3,y,NaN,NaN,NaN,NaN,30,1,10,NaN,4.23,NaN,2.95,NaN,NaN,NaN,NaN,NaN,NaN,,stock
PAN-03,2013,4,6,3,y,NaN,NaN,NaN,NaN,30,2,10,NaN,2.28,NaN,0.93,NaN,NaN,NaN,NaN,NaN,NaN,,stock
PAN-03,2013,4,6,3,y,NaN,NaN,NaN,NaN,30,3,10,NaN,0.9,NaN,0.72,NaN,NaN,NaN,NaN,NaN,NaN,,stock
PAN-03,2013,4,6,3,y,NaN,NaN,NaN,NaN,30,4,10,NaN,0.28,NaN,0.3,NaN,NaN,NaN,NaN,NaN,NaN,,stock
PAN-03,2013,4,6,4,y,NaN,NaN,NaN,NaN,30,1,10,NaN,2.88,NaN,3.25,NaN,NaN,NaN,NaN,NaN,NaN,,stock
PAN-03,2013,4,6,4,y,NaN,NaN,NaN,NaN,30,2,10,NaN,0.75,NaN,0.83,NaN,NaN,NaN,NaN,NaN,NaN,,stock
PAN-03,2013,4,6,4,y,NaN,NaN,NaN,NaN,30,3,10,NaN,0.39,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,stock
PAN-03,2013,4,6,4,y,NaN,NaN,NaN,NaN,30,4,10,NaN,0.19,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,stock
PAN-03,2013,4,6,5,y,NaN,NaN,NaN,NaN,30,1,10,NaN,6.42,NaN,6.09,NaN,NaN,NaN,NaN,NaN,NaN,,stock
PAN-03,2013,4,6,5,y,NaN,NaN,NaN,NaN,30,2,10,NaN,1.57,NaN,0.23,NaN,NaN,NaN,NaN,NaN,NaN,,stock
PAN-03,2013,4,6,5,y,NaN,NaN,NaN,NaN,30,3,10,NaN,0.61,NaN,0.07,NaN,NaN,NaN,NaN,NaN,NaN,,stock
PAN-03,2013,4,6,5,y,NaN,NaN,NaN,NaN,30,4,10,NaN,0.16,NaN,0.12,NaN,NaN,NaN,NaN,NaN,NaN,,stock
PAN-03,2013,4,6,6,y,NaN,NaN,NaN,NaN,30,1,10,NaN,6.26,NaN,1.29,NaN,NaN,NaN,NaN,NaN,NaN,,stock
PAN-03,2013,4,6,6,y,NaN,NaN,NaN,NaN,30,2,10,NaN,1.87,NaN,0.21,NaN,NaN,NaN,NaN,NaN,NaN,,stock
PAN-03,2013,4,6,6,y,NaN,NaN,NaN,NaN,30,3,10,NaN,1.22,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,stock
PAN-03,2013,4,6,6,y,NaN,NaN,NaN,NaN,30,4,10,NaN,0.46,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,stock
