plot_code,year,month,day,ingrowth_core_num,is_stock_yn,ingrowth_core_litterfall_g,soil_humidity_pcnt,soil_temperature_c,ol_layer_depth_cm,ml_layer_depth_cm,time_step,time_step_minutes,ol_under_2mm_g,ml_under_2mm_g,ol_2to3_mm_g,ml_2to3_mm_g,ol_3to4_mm_g,ml_3to4_mm_g,ol_4to5_mm_g,ml_4to5_mm_g,ol_above_5mm_g,ml_above_5mm_g,quality_code,comments
TRU-04,2013,2,13,1,y,NaN,NaN,NaN,30,NaN,1,10,13.32,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,stock
TRU-04,2013,2,13,1,y,NaN,NaN,NaN,30,NaN,2,10,5.02,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,stock
TRU-04,2013,2,13,1,y,NaN,NaN,NaN,30,NaN,3,10,2.18,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,stock
TRU-04,2013,2,13,1,y,NaN,NaN,NaN,30,NaN,4,10,1.76,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,stock
TRU-04,2013,2,13,2,y,NaN,NaN,NaN,30,NaN,1,10,1.92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,stock
TRU-04,2013,2,13,2,y,NaN,NaN,NaN,30,NaN,2,10,1.65,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,stock
TRU-04,2013,2,13,2,y,NaN,NaN,NaN,30,NaN,3,10,0.65,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,stock
TRU-04,2013,2,13,2,y,NaN,NaN,NaN,30,NaN,4,10,0.45,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,stock
TRU-04,2013,2,13,3,y,NaN,NaN,NaN,30,NaN,1,10,2.37,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,stock
TRU-04,2013,2,13,3,y,NaN,NaN,NaN,30,NaN,2,10,1.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,stock
TRU-04,2013,2,13,3,y,NaN,NaN,NaN,30,NaN,3,10,1.13,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,stock
TRU-04,2013,2,13,3,y,NaN,NaN,NaN,30,NaN,4,10,0.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,stock
TRU-04,2013,2,13,4,y,NaN,NaN,NaN,15,15,1,10,4.92,0.56,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,stock
TRU-04,2013,2,13,4,y,NaN,NaN,NaN,15,15,2,10,3.86,0.28,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,stock
TRU-04,2013,2,13,4,y,NaN,NaN,NaN,15,15,3,10,0.9,0.32,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,stock
TRU-04,2013,2,13,4,y,NaN,NaN,NaN,15,15,4,10,0.57,0.31,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,stock
TRU-04,2013,2,13,5,y,NaN,NaN,NaN,15,15,1,10,3.35,0.26,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,stock
TRU-04,2013,2,13,5,y,NaN,NaN,NaN,15,15,2,10,2.21,0.09,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,stock
TRU-04,2013,2,13,5,y,NaN,NaN,NaN,15,15,3,10,0.96,0.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,stock
TRU-04,2013,2,13,5,y,NaN,NaN,NaN,15,15,4,10,0.3,0.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,stock
TRU-04,2013,2,13,6,y,NaN,NaN,NaN,30,NaN,1,10,21.88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,stock
TRU-04,2013,2,13,6,y,NaN,NaN,NaN,30,NaN,2,10,4.23,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,stock
TRU-04,2013,2,13,6,y,NaN,NaN,NaN,30,NaN,3,10,2.05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,stock
TRU-04,2013,2,13,6,y,NaN,NaN,NaN,30,NaN,4,10,1.07,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,stock
TRU-04,2013,2,13,7,y,NaN,NaN,NaN,30,NaN,1,10,9.87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,stock
TRU-04,2013,2,13,7,y,NaN,NaN,NaN,30,NaN,2,10,1.01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,stock
TRU-04,2013,2,13,7,y,NaN,NaN,NaN,30,NaN,3,10,1.22,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,stock
TRU-04,2013,2,13,7,y,NaN,NaN,NaN,30,NaN,4,10,0.56,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,stock
TRU-04,2013,2,13,8,y,NaN,NaN,NaN,30,NaN,1,10,7.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,stock
TRU-04,2013,2,13,8,y,NaN,NaN,NaN,30,NaN,2,10,3.55,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,stock
TRU-04,2013,2,13,8,y,NaN,NaN,NaN,30,NaN,3,10,1.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,stock
TRU-04,2013,2,13,8,y,NaN,NaN,NaN,30,NaN,4,10,0.89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,stock
TRU-04,2013,2,13,9,y,NaN,NaN,NaN,30,NaN,1,10,10.05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,stock
TRU-04,2013,2,13,9,y,NaN,NaN,NaN,30,NaN,2,10,1.25,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,stock
TRU-04,2013,2,13,9,y,NaN,NaN,NaN,30,NaN,3,10,0.75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,stock
TRU-04,2013,2,13,9,y,NaN,NaN,NaN,30,NaN,4,10,0.41,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,stock
TRU-04,2013,2,13,10,y,NaN,NaN,NaN,30,NaN,1,10,7.95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,stock
TRU-04,2013,2,13,10,y,NaN,NaN,NaN,30,NaN,2,10,1.95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,stock
TRU-04,2013,2,13,10,y,NaN,NaN,NaN,30,NaN,3,10,0.79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,stock
TRU-04,2013,2,13,10,y,NaN,NaN,NaN,30,NaN,4,10,0.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,stock
TRU-04,2013,2,13,11,y,NaN,NaN,NaN,30,NaN,1,10,2.82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,stock
TRU-04,2013,2,13,11,y,NaN,NaN,NaN,30,NaN,2,10,2.18,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,stock
TRU-04,2013,2,13,11,y,NaN,NaN,NaN,30,NaN,3,10,0.51,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,stock
TRU-04,2013,2,13,11,y,NaN,NaN,NaN,30,NaN,4,10,0.59,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,stock
TRU-04,2013,2,13,12,y,NaN,NaN,NaN,30,NaN,1,10,5.95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,stock
TRU-04,2013,2,13,12,y,NaN,NaN,NaN,30,NaN,2,10,2.07,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,stock
TRU-04,2013,2,13,12,y,NaN,NaN,NaN,30,NaN,3,10,1.35,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,stock
TRU-04,2013,2,13,12,y,NaN,NaN,NaN,30,NaN,4,10,0.75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,stock
TRU-04,2013,2,13,13,y,NaN,NaN,NaN,20,10,1,10,5.72,1.75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,stock
TRU-04,2013,2,13,13,y,NaN,NaN,NaN,20,10,2,10,1.44,0.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,stock
TRU-04,2013,2,13,13,y,NaN,NaN,NaN,20,10,3,10,1.03,0.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,stock
TRU-04,2013,2,13,13,y,NaN,NaN,NaN,20,10,4,10,0.75,0.02,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,stock
TRU-04,2013,2,13,14,y,NaN,NaN,NaN,30,NaN,1,10,2.57,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,stock
TRU-04,2013,2,13,14,y,NaN,NaN,NaN,30,NaN,2,10,1.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,stock
TRU-04,2013,2,13,14,y,NaN,NaN,NaN,30,NaN,3,10,1.16,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,stock
TRU-04,2013,2,13,14,y,NaN,NaN,NaN,30,NaN,4,10,0.75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,stock
TRU-04,2013,2,13,15,y,NaN,NaN,NaN,30,NaN,1,10,4.63,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,stock
TRU-04,2013,2,13,15,y,NaN,NaN,NaN,30,NaN,2,10,1.83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,stock
TRU-04,2013,2,13,15,y,NaN,NaN,NaN,30,NaN,3,10,0.87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,stock
TRU-04,2013,2,13,15,y,NaN,NaN,NaN,30,NaN,4,10,0.67,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,stock
TRU-04,2013,2,13,16,y,NaN,NaN,NaN,30,NaN,1,10,1.99,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,stock
TRU-04,2013,2,13,16,y,NaN,NaN,NaN,30,NaN,2,10,0.53,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,stock
TRU-04,2013,2,13,16,y,NaN,NaN,NaN,30,NaN,3,10,0.39,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,stock
TRU-04,2013,2,13,16,y,NaN,NaN,NaN,30,NaN,4,10,0.36,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,stock
TRU-04,2013,6,17,1,n,5.76,34.5,12,30,NaN,1,10,0.4,NaN,0.168,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
TRU-04,2013,6,17,1,n,NaN,NaN,NaN,30,NaN,2,10,0.258,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
TRU-04,2013,6,17,1,n,NaN,NaN,NaN,30,NaN,3,10,0.118,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
TRU-04,2013,6,17,1,n,NaN,NaN,NaN,30,NaN,4,10,0.12,NaN,0.23,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
TRU-04,2013,6,17,2,n,6.25,46.2,12.1,30,NaN,1,10,0.312,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
TRU-04,2013,6,17,2,n,NaN,NaN,NaN,30,NaN,2,10,0.214,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
TRU-04,2013,6,17,2,n,NaN,NaN,NaN,30,NaN,3,10,0.282,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
TRU-04,2013,6,17,2,n,NaN,NaN,NaN,30,NaN,4,10,0.104,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
TRU-04,2013,6,17,3,n,22.04,44.9,12,30,NaN,1,10,0.53,NaN,0.372,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
TRU-04,2013,6,17,3,n,NaN,NaN,NaN,30,NaN,2,10,0.168,NaN,0.424,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
TRU-04,2013,6,17,3,n,NaN,NaN,NaN,30,NaN,3,10,0.352,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
