Plot,Day,plot_code,year,month,day,litterfall_trap_num,litterfall_trap_size_m2,leaves_g_per_trap,twigs_g_per_trap,flowers_g_per_trap,fruits_g_per_trap,bromeliads_g_per_trap,epiphytes_g_per_trap,other_g_per_trap,Total weigth,Notes
PAN-02,2,PAN-02,2013,6,NA,1,0.25,15.61,0.32,0.31,,,,0.21,16.45,
PAN-02,2,PAN-02,2013,6,NA,2,0.25,14.89,0,0.72,1.23,,,,16.84,
PAN-02,2,PAN-02,2013,6,NA,3,0.25,23.15,3.66,0.09,,,0.06,,26.96,
PAN-02,2,PAN-02,2013,6,NA,4,0.25,34.34,15.58,0.71,,,,,50.63,
PAN-02,2,PAN-02,2013,6,NA,5,0.25,21.51,0,0.51,,,0.03,,22.05,
PAN-02,2,PAN-02,2013,6,NA,6,0.25,16.23,2.38,0.15,,,0.22,,18.98,
PAN-02,2,PAN-02,2013,6,NA,7,0.25,35.87,0.9,,0.08,,,,36.85,
PAN-02,2,PAN-02,2013,6,NA,8,0.25,19.8,0,12.09,,,0.06,,31.95,
PAN-02,2,PAN-02,2013,6,NA,9,0.25,23.01,2.25,0.04,0.74,,,,26.04,
PAN-02,2,PAN-02,2013,6,NA,10,0.25,14.23,1.01,0.07,0.89,,,,16.2,
PAN-02,2,PAN-02,2013,6,NA,11,0.25,25.34,0,2.62,1.64,,,,29.6,
PAN-02,2,PAN-02,2013,6,NA,12,0.25,9.16,3.02,,,,,,12.18,
PAN-02,2,PAN-02,2013,6,NA,13,0.25,29.93,0.78,0.18,0.37,,,,31.26,
PAN-02,2,PAN-02,2013,6,NA,14,0.25,25.41,0,0.02,,,,,25.43,
PAN-02,2,PAN-02,2013,6,NA,15,0.25,26.63,0.06,,0.26,0.04,,,26.99,
PAN-02,2,PAN-02,2013,6,NA,16,0.25,11.92,0.18,0.51,,,,,12.61,
PAN-02,2,PAN-02,2013,6,NA,17,0.25,29.1,2.74,0.27,0.34,,0.04,,32.49,
PAN-02,2,PAN-02,2013,6,NA,18,0.25,24.79,0.69,0.12,0.05,,,,25.65,
PAN-02,2,PAN-02,2013,6,NA,19,0.25,13.89,12.87,,2.1,,0.17,,29.03,
PAN-02,2,PAN-02,2013,6,NA,20,0.25,21.31,0,0.31,0.16,,,,21.78,
PAN-02,2,PAN-02,2013,6,NA,21,0.25,15.29,1.57,0.38,0.44,,,,17.68,
PAN-02,2,PAN-02,2013,6,NA,22,0.25,19.44,1.9,0.17,0.1,,,,21.61,
PAN-02,2,PAN-02,2013,6,NA,23,0.25,21.17,12.88,,1.7,,,1.22,36.97,
PAN-02,2,PAN-02,2013,6,NA,24,0.25,22.05,0.27,0.37,0.13,,,,22.82,
PAN-02,2,PAN-02,2013,6,NA,25,0.25,12.85,0,,0.16,,,,13.01,
PAN-02,22,PAN-02,2013,6,NA,1,0.25,3.79,0.31,1.09,,,,,5.19,
PAN-02,22,PAN-02,2013,6,NA,2,0.25,8.69,0,,0.01,,,,8.7,
PAN-02,22,PAN-02,2013,6,NA,3,0.25,5.39,0.25,0.02,,,,,5.66,
PAN-02,22,PAN-02,2013,6,NA,4,0.25,27.08,5.73,,0.5,,0.02,,33.33,
