plot_code,year,month,day,litterfall_trap_num,litterfall_trap_size_m2,leaves_g_per_trap,twigs_g_per_trap,flowers_g_per_trap,fruits_g_per_trap,bromeliads_g_per_trap,epiphytes_g_per_trap,other_g_per_trap,Total weigth,Notes
PAN-03,2013,5,31,1,0.25,10.64,0.55,0.12,,,0.08,,11.39,
PAN-03,2013,5,31,2,0.25,12.83,6.86,0.09,0.04,,,,19.82,
PAN-03,2013,5,31,3,0.25,18.68,0.63,2.98,0.58,,,,22.87,
PAN-03,2013,5,31,4,0.25,15.02,0.95,0.14,,,0.08,,16.19,
PAN-03,2013,5,31,5,0.25,15.25,7.39,,0.1,1.13,,,23.87,
PAN-03,2013,5,31,6,0.25,6.59,0,0.04,,,0.04,,6.67,
PAN-03,2013,5,31,7,0.25,11.38,2.84,,,,,,14.22,
PAN-03,2013,5,31,8,0.25,14.11,0.1,,,,,,14.21,
PAN-03,2013,5,31,9,0.25,30.3,0.44,,0.4,,0.29,,31.43,
PAN-03,2013,5,31,10,0.25,26.05,1.8,,,,,,27.85,
PAN-03,2013,5,31,11,0.25,12.3,0.23,,0.06,,0.07,,12.66,
PAN-03,2013,5,31,12,0.25,13.67,0.95,,0.43,0.03,,,15.08,
PAN-03,2013,5,31,13,0.25,23.72,1.86,,,,0.06,,25.64,
PAN-03,2013,5,31,14,0.25,16.53,0.12,,0.02,,,,16.67,
PAN-03,2013,5,31,15,0.25,8.94,1.16,,,4.01,,,14.11,
PAN-03,2013,5,31,16,0.25,21.24,0.83,,0.51,,,,22.58,
PAN-03,2013,5,31,17,0.25,15.98,2,0.22,,,,,18.2,
PAN-03,2013,5,31,18,0.25,33.18,2.06,,0.51,,,,35.75,
PAN-03,2013,5,31,19,0.25,16.75,0,,,,,,16.75,
PAN-03,2013,5,31,20,0.25,12.95,0.92,0.04,0.03,,,,13.94,
PAN-03,2013,5,31,21,0.25,17.58,5.96,,0.24,,,,23.78,
PAN-03,2013,5,31,22,0.25,39.87,1.24,0.39,1.96,,0.07,,43.53,
PAN-03,2013,5,31,23,0.25,16.57,9.63,0.04,0.14,,,,26.38,
PAN-03,2013,5,31,24,0.25,11.82,2.13,,39.44,0.82,,,54.21,
PAN-03,2013,5,31,25,0.25,22.06,2.38,0.14,1.27,,0.04,,25.89,
PAN-03,2013,6,18,1,0.25,5.27,0,,,,,,5.27,
PAN-03,2013,6,18,2,0.25,3.19,0,1.3,,,0.01,,4.5,
PAN-03,2013,6,18,3,0.25,1.16,0.01,,,,,,1.17,
PAN-03,2013,6,18,4,0.25,6.76,0,,,,,,6.76,
PAN-03,2013,6,18,5,0.25,9.99,0.26,,0.08,,0.02,,10.35,
PAN-03,2013,6,18,6,0.25,0.91,0,,0.01,,,,0.92,
PAN-03,2013,6,18,7,0.25,6.1,3.64,,,,0.01,,9.75,
