plot_code,year,month,day,litterfall_trap_num,litterfall_trap_size_m2,leaves_g_per_trap,twigs_g_per_trap,flowers_g_per_trap,fruits_g_per_trap,bromeliads_g_per_trap,epiphytes_g_per_trap,other_g_per_trap,palm_leaves_g,palm_flower_g,quality_code,comments,Barks (g),leaves (g),Herbivory leaves (g)
TRU-04,2013,5,26,1,0.25,2.61,8.5,,,,,,,,,,,,
TRU-04,2013,5,26,2,0.25,15.76,,,,,,,,,,,,,
TRU-04,2013,5,26,3,0.25,1.43,3.18,,,,,,,,,,,,
TRU-04,2013,5,26,4,0.25,17.3,,,,,,,,,,,,,
TRU-04,2013,5,26,5,0.25,1.34,3.53,,,,,,,,,,,,
TRU-04,2013,5,26,6,0.25,15.94,,,,,,,,,,,,,
TRU-04,2013,5,26,7,0.25,1.38,3.02,,,,,,,,,,,,
TRU-04,2013,5,26,8,0.25,3.06,,,,,,,,,,,,,
TRU-04,2013,5,26,9,0.25,6.52,3.68,,,,,,,,,,,,
TRU-04,2013,5,26,10,0.25,5.59,,,,,,,,,,,,,
TRU-04,2013,5,26,11,0.25,4.74,16.6,,,,,,,,,,,,
TRU-04,2013,5,26,12,0.25,7.47,,,,,,,,,,,,,
TRU-04,2013,5,26,13,0.25,2.56,7.19,,,,,,,,,,,,
TRU-04,2013,5,26,14,0.25,5.92,,,,,,,,,,,,,
TRU-04,2013,5,26,15,0.25,1.9,8.72,,,,,,,,,,,,
TRU-04,2013,5,26,16,0.25,5.35,,,,,,,,,,,,,
TRU-04,2013,5,26,17,0.25,0.77,3.29,,,,,,,,,,,,
TRU-04,2013,5,26,18,0.25,9.31,,,,,,,,,,,,,
TRU-04,2013,5,26,19,0.25,1.8,2.77,,,,,,,,,,,,
TRU-04,2013,5,26,20,0.25,4.76,,,,,,,,,,,,,
TRU-04,2013,5,26,21,0.25,14.29,15,,,,,,,,,,,,
TRU-04,2013,5,26,22,0.25,14.22,,,,,,,,,,,,,
TRU-04,2013,5,26,23,0.25,2.12,3.69,,,,,,,,,,,,
TRU-04,2013,5,26,24,0.25,7.19,,,,,,,,,,,,,
TRU-04,2013,5,26,25,0.25,2.45,11.69,,,,,,,,,,,,
TRU-04,2013,6,18,1,0.25,4.8,,,,,,,,,,,,,
TRU-04,2013,6,18,2,0.25,11.8,,,,,,,,,,,,,
TRU-04,2013,6,18,3,0.25,3.7,,,,,,,,,,,,,
TRU-04,2013,6,18,4,0.25,9.09,,,,,,,,,,,,,
TRU-04,2013,6,18,5,0.25,2.33,,,,,,,,,,,,,
TRU-04,2013,6,18,6,0.25,9.61,,,,,,,,,,,,,
TRU-04,2013,6,18,7,0.25,4.22,,,,,,,,,,,,,
TRU-04,2013,6,18,8,0.25,1.71,,,,,,,,,,,,,
TRU-04,2013,6,18,9,0.25,2.98,,,,,,,,,,,,,
TRU-04,2013,6,18,10,0.25,6.18,,,,,,,,,,,,,
TRU-04,2013,6,18,11,0.25,11.34,,,,,,,,,,,,,
TRU-04,2013,6,18,12,0.25,3.64,,,,,,,,,,,,,
TRU-04,2013,6,18,13,0.25,13.83,,,,,,,,,,,,,
TRU-04,2013,6,18,14,0.25,3.22,,,,,,,,,,,,,
TRU-04,2013,6,18,15,0.25,20.76,,,,,,,,,,,,,
TRU-04,2013,6,18,16,0.25,2.89,,,,,,,,,,,,,
TRU-04,2013,6,18,17,0.25,7.25,,,,,,,,,,,,,
TRU-04,2013,6,18,18,0.25,0.52,,,,,,,,,,,,,
TRU-04,2013,6,18,19,0.25,7.71,,,,,,,,,,,,,
TRU-04,2013,6,18,20,0.25,8.69,,,,,,,,,,,,,
TRU-04,2013,6,18,21,0.25,20.28,,,,,,,,,,,,,
TRU-04,2013,6,18,22,0.25,6.59,,,,,,,,,,,,,
TRU-04,2013,6,18,23,0.25,5.12,,,,,,,,,,,,,
TRU-04,2013,6,18,24,0.25,3.81,,,,,,,,,,,,,
TRU-04,2013,6,18,25,0.25,8.37,,,,,,,,,,,,,
TRU-04,2013,7,23,1,0.25,0.63,10.08,,,,,,,,,,,,
TRU-04,2013,7,23,2,0.25,7.35,,,,,,,,,,,,,
TRU-04,2013,7,23,3,0.25,1.5,6.76,,,,,,,,,,,,
TRU-04,2013,7,23,4,0.25,11.07,,,,,,,,,,,,,
TRU-04,2013,7,23,5,0.25,1.06,3.84,,,,,,,,,,,,
TRU-04,2013,7,23,6,0.25,8.76,,,,,,,,,,,,,
TRU-04,2013,7,23,7,0.25,1.36,2.23,,,,,,,,,,,,
TRU-04,2013,7,23,8,0.25,1.97,,,,,,,,,,,,,
TRU-04,2013,7,23,9,0.25,2.5,4.09,,,,,,,,,,,,
TRU-04,2013,7,23,10,0.25,5.78,,,,,,,,,,,,,
TRU-04,2013,7,23,11,0.25,8.68,9.31,,,,,,,,,,,,
TRU-04,2013,7,23,12,0.25,1.51,,,,,,,,,,,,,
TRU-04,2013,7,23,13,0.25,4.06,4.84,,,,,,,,,,,,
TRU-04,2013,7,23,14,0.25,3.04,,,,,,,,,,,,,
TRU-04,2013,7,23,15,0.25,0.24,12.6,,,,,,,,,,,,
TRU-04,2013,7,23,16,0.25,5.34,,,,,,,,,,,,,
TRU-04,2013,7,23,17,0.25,2.81,6.45,,,,,,,,,,,,
TRU-04,2013,7,23,18,0.25,5.22,,,,,,,,,,,,,
TRU-04,2013,7,23,19,0.25,3.91,2.15,,,,,,,,,,,,
TRU-04,2013,7,23,20,0.25,11.65,,,,,,,,,,,,,
TRU-04,2013,7,23,21,0.25,2.3,12.12,,,,,,,,,,,,
TRU-04,2013,7,23,22,0.25,11.94,,,,,,,,,,,,,
TRU-04,2013,7,23,23,0.25,1.72,3.69,,,,,,,,,,,,
