Year,Month,Day,totflfAs,totflfAsstd,seedsfAs,seedsfAsstd,leafflfAs,leafflfAsstd,fruitflfAs,fruitflfAsstd,flowerflfAs,flowerflfAsstd,branchflfAs,branchflfAsstd,date,yearmonth
2013,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15/01/13,Jan-13
2013,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15/02/13,Feb-13
2013,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15/03/13,Mar-13
2013,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15/04/13,Apr-13
2013,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15/05/13,May-13
2013,6,NA,0.350787402,0.042781593,NA,NA,0.299480315,0.03558434,0.012445319,0.002991156,0.017770839,NA,0.033086614,0.013453269,15/06/13,Jun-13
2013,7,NA,0.380496063,0.069592387,NA,NA,0.252354331,0.019428989,0.009898763,0.0018576,0.01425935,NA,0.115992126,0.060875712,15/07/13,Jul-13
2013,8,NA,0.49060315,0.033701411,NA,NA,0.383834646,0.028457522,0.012758366,0.00389458,0.012526247,NA,0.090677165,0.030360464,15/08/13,Aug-13
2013,9,NA,0.53776378,0.035132766,NA,NA,0.444283465,0.030961314,0.022637795,0.005130673,0.016619798,NA,0.068724409,0.01865077,15/09/13,Sep-13
2013,10,NA,0.345818898,0.024880175,NA,NA,0.295543307,0.022546549,0.012687903,0.002267687,0.019592404,NA,0.029251969,0.011377868,15/10/13,Oct-13
2013,11,NA,0.554559055,0.039940042,NA,NA,0.369905512,0.029211803,0.030472441,0.010629442,0.016732283,NA,0.142055118,0.02906463,15/11/13,Nov-13
2013,12,NA,0.218795276,0.021142515,NA,NA,0.15119685,0.013759204,0.045514623,0.014024339,0.0158733,NA,0.034488189,0.012568858,15/12/13,Dec-13
2014,1,NA,0.414488189,0.049804774,NA,NA,0.234503937,0.024430605,0.036275153,0.010109774,0.063737345,NA,0.117023622,0.035372765,15/01/14,Jan-14
2014,2,NA,0.238535433,0.034262198,NA,NA,0.165952756,0.014268003,0.067989939,0.036298422,0.045693898,NA,0.007937008,0.002548224,15/02/14,Feb-14
2014,3,NA,0.415125984,0.039443142,NA,NA,0.297181102,0.02390962,0.039790623,0.02196787,0.072588583,NA,0.070606299,0.017456112,15/03/14,Mar-14
2014,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15/04/14,Apr-14
2014,5,NA,0.433622047,0.028490405,NA,NA,0.342543307,0.024325615,0.013007268,0.004309434,0.03265748,NA,0.068023622,0.016241017,15/05/14,May-14
2014,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15/06/14,Jun-14
2014,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15/07/14,Jul-14
2014,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15/08/14,Aug-14
2014,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15/09/14,Sep-14
2014,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15/10/14,Oct-14
2014,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15/11/14,Nov-14
2014,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15/12/14,Dec-14
Annual mean (Mg C ha-1 yr-1),,,4.77883121,0.457277898,,,3.531032212,0.291145706,0.33106712,0.123797429,0.357874393,,0.848581246,0.270512386,,
