"","code","flux_umolco2_m2_s","co2slope","plot_code","sub_plot","measurement_code","egm_measurement","day","month","year","hour","soil_temp_degC","vwc_percent","collar_depth_cm"
"1","1.15.3.14","0.341255402337522","0.581825830879262","ACJ",1,"STEM",1,15,3,14,9,8.6,NA,7
"2","1.23.7.13","0.0688779606785585","0.118531762726124","ACJ",1,"STEM",1,23,7,13,22,7.7,NA,7
"3","1.24.9.13","0.0825360010947121","0.129995793016407","ACJ",1,"STEM",1,24,9,13,22,8.1,NA,7
"4","1.28.5.13","0.0823018979184109","0.129785443836771","ACJ",1,"STEM",1,28,5,13,10,8.9,NA,7
"5","10.12.1.14","0.0412361862790102","0.0730963399242749","ACJ",10,"STEM",10,12,1,14,9,7.9,NA,7
"6","10.13.3.14","0.0963661290687555","0.16238956668069","ACJ",10,"STEM",10,13,3,14,0,8.3,NA,7
"7","10.23.7.13","0.05528242151678","0.107172907025658","ACJ",10,"STEM",10,23,7,13,23,7.2,NA,7
"8","10.24.9.13","0.055108658047932","0.107172907025662","ACJ",10,"STEM",10,24,9,13,23,8.5,NA,7
"9","10.29.5.13","0.0554118839172287","0.0981278923012192","ACJ",10,"STEM",10,29,5,13,9,8.2,NA,7
"10","11.12.1.14","0.219848102981153","0.369688683214136","ACJ",11,"STEM",11,12,1,14,9,8,NA,7
"11","11.13.3.14","0.055046801180001","0.102124526714347","ACJ",11,"STEM",11,13,3,14,0,8.4,NA,7
"12","11.23.7.13","0.0681309428179589","0.120109381573412","ACJ",11,"STEM",11,23,7,13,23,11.2,NA,7
"13","11.24.9.13","0.082692347038892","0.145035759360543","ACJ",11,"STEM",11,24,9,13,23,8.4,NA,7
"14","11.29.5.13","0.0414851877065255","0.104122843920913","ACJ",11,"STEM",11,29,5,13,10,8.7,NA,7
"15","12.12.1.14","0.0412068627687674","0.0770929743373988","ACJ",12,"STEM",12,12,1,14,9,8.1,NA,7
"16","12.13.3.14","0.441025850874091","0.742137696557581","ACJ",12,"STEM",12,13,3,14,0,8.4,NA,7
