plot_code,measurement_code,sub_plot,replica,year,egm_measurement,recno,day ,month,hour,min,co2ref_ppm,InputD,time,InputF,atmp_mb,probe_type,quality_code,comments
TU4,STEM,1,1,13,1,1,27,5,8,13,499,0,0,0,744,8,good,
TU4,STEM,1,1,13,1,2,27,5,8,13,500,0,4,0,744,8,good,
TU4,STEM,1,1,13,1,3,27,5,8,13,501,0,9,0,744,8,good,
TU4,STEM,1,1,13,1,4,27,5,8,13,502,2,14,0.11,744,8,good,
TU4,STEM,1,1,13,1,5,27,5,8,13,503,3,19,0.12,744,8,good,
TU4,STEM,1,1,13,1,6,27,5,8,13,503,3,24,0.11,744,8,good,
TU4,STEM,1,1,13,1,7,27,5,8,14,504,4,28,0.11,744,8,good,
TU4,STEM,1,1,13,1,8,27,5,8,14,505,5,33,0.11,744,8,good,
TU4,STEM,1,1,13,1,9,27,5,8,14,505,6,38,0.11,744,8,good,
TU4,STEM,1,1,13,1,10,27,5,8,14,506,6,43,0.11,744,8,good,
TU4,STEM,1,1,13,1,11,27,5,8,14,507,7,48,0.11,744,8,good,
TU4,STEM,1,1,13,1,12,27,5,8,14,508,8,52,0.11,744,8,good,
TU4,STEM,1,1,13,1,13,27,5,8,14,509,9,57,0.11,744,8,good,
TU4,STEM,1,1,13,1,14,27,5,8,14,509,9,62,0.11,744,8,good,
TU4,STEM,1,1,13,1,15,27,5,8,14,510,10,67,0.11,744,8,good,
TU4,STEM,1,1,13,1,16,27,5,8,14,511,11,72,0.11,744,8,good,
TU4,STEM,1,1,13,1,17,27,5,8,14,511,12,76,0.11,744,8,good,
TU4,STEM,1,1,13,1,18,27,5,8,14,512,12,81,0.11,744,8,good,
TU4,STEM,1,1,13,1,19,27,5,8,15,513,13,86,0.11,744,8,good,
TU4,STEM,1,1,13,1,20,27,5,8,15,513,14,91,0.11,744,8,good,
TU4,STEM,1,1,13,1,21,27,5,8,15,514,14,96,0.1,744,8,good,
TU4,STEM,1,1,13,1,22,27,5,8,15,515,15,100,0.1,744,8,good,
TU4,STEM,1,1,13,1,23,27,5,8,15,515,16,105,0.1,744,8,good,
TU4,STEM,1,1,13,1,24,27,5,8,15,516,17,110,0.1,744,8,good,
TU4,STEM,1,1,13,1,25,27,5,8,15,517,17,115,0.1,744,8,good,
TU4,STEM,1,1,13,1,26,27,5,8,15,518,18,120,0.1,744,8,good,
TU4,STEM,1,1,13,1,27,27,5,8,15,518,19,124,0.1,744,8,good,
TU4,STEM,2,1,13,2,5,27,5,8,30,447,0,0,0,745,8,good,
TU4,STEM,2,1,13,2,6,27,5,8,30,448,0,4,0,745,8,good,
TU4,STEM,2,1,13,2,7,27,5,8,30,448,0,9,0,745,8,good,
TU4,STEM,2,1,13,2,8,27,5,8,30,449,2,14,0.1,745,8,good,
TU4,STEM,2,1,13,2,9,27,5,8,30,450,2,19,0.09,745,8,good,
TU4,STEM,2,1,13,2,10,27,5,8,30,450,3,24,0.09,745,8,good,
TU4,STEM,2,1,13,2,11,27,5,8,30,452,4,28,0.1,744,8,good,
TU4,STEM,2,1,13,2,12,27,5,8,30,451,4,33,0.09,745,8,good,
TU4,STEM,2,1,13,2,13,27,5,8,30,452,5,38,0.09,745,8,good,
TU4,STEM,2,1,13,2,14,27,5,8,30,453,6,43,0.1,744,8,good,
TU4,STEM,2,1,13,2,15,27,5,8,31,454,6,48,0.1,744,8,good,
TU4,STEM,2,1,13,2,16,27,5,8,31,454,7,52,0.09,745,8,good,
TU4,STEM,2,1,13,2,17,27,5,8,31,455,7,57,0.09,744,8,good,
TU4,STEM,2,1,13,2,18,27,5,8,31,455,8,62,0.09,745,8,good,
TU4,STEM,2,1,13,2,19,27,5,8,31,455,8,67,0.09,745,8,good,
TU4,STEM,2,1,13,2,20,27,5,8,31,456,9,72,0.08,745,8,good,
TU4,STEM,2,1,13,2,21,27,5,8,31,457,9,76,0.08,745,8,good,
TU4,STEM,2,1,13,2,22,27,5,8,31,457,10,81,0.08,745,8,good,
TU4,STEM,2,1,13,2,23,27,5,8,31,458,10,86,0.08,745,8,good,
TU4,STEM,2,1,13,2,24,27,5,8,31,458,11,91,0.08,745,8,good,
TU4,STEM,2,1,13,2,25,27,5,8,31,459,11,96,0.08,745,8,good,
TU4,STEM,2,1,13,2,26,27,5,8,31,459,12,100,0.08,745,8,good,
TU4,STEM,2,1,13,2,27,27,5,8,32,460,12,105,0.08,745,8,good,
TU4,STEM,2,1,13,2,28,27,5,8,32,460,13,110,0.08,745,8,good,
TU4,STEM,2,1,13,2,29,27,5,8,32,461,13,115,0.08,745,8,good,
TU4,STEM,2,1,13,2,30,27,5,8,32,462,14,120,0.08,745,8,good,
TU4,STEM,2,1,13,2,31,27,5,8,32,462,14,124,0.08,745,8,good,
TU4,STEM,3,1,13,3,4,27,5,8,37,453,0,0,0,745,8,good,
TU4,STEM,3,1,13,3,5,27,5,8,37,453,0,4,0,745,8,good,
TU4,STEM,3,1,13,3,6,27,5,8,37,454,0,9,0,745,8,good,
TU4,STEM,3,1,13,3,7,27,5,8,37,455,1,14,0.07,745,8,good,
TU4,STEM,3,1,13,3,8,27,5,8,37,454,1,19,0.04,746,8,good,
TU4,STEM,3,1,13,3,9,27,5,8,37,456,2,24,0.06,745,8,good,
TU4,STEM,3,1,13,3,10,27,5,8,37,457,3,28,0.08,745,8,good,
TU4,STEM,3,1,13,3,11,27,5,8,37,457,3,33,0.08,745,8,good,
TU4,STEM,3,1,13,3,12,27,5,8,38,458,4,38,0.08,745,8,good,
TU4,STEM,3,1,13,3,13,27,5,8,38,459,5,43,0.09,745,8,good,
TU4,STEM,3,1,13,3,14,27,5,8,38,458,5,48,0.08,746,8,good,
TU4,STEM,3,1,13,3,15,27,5,8,38,459,6,52,0.08,745,8,good,
TU4,STEM,3,1,13,3,16,27,5,8,38,460,7,57,0.08,745,8,good,
TU4,STEM,3,1,13,3,17,27,5,8,38,460,7,62,0.08,746,8,good,
TU4,STEM,3,1,13,3,18,27,5,8,38,461,8,67,0.08,746,8,good,
TU4,STEM,3,1,13,3,19,27,5,8,38,461,8,72,0.08,746,8,good,
TU4,STEM,3,1,13,3,20,27,5,8,38,463,9,76,0.08,745,8,good,
TU4,STEM,3,1,13,3,21,27,5,8,38,463,9,81,0.08,746,8,good,
TU4,STEM,3,1,13,3,22,27,5,8,38,464,10,86,0.08,745,8,good,
TU4,STEM,3,1,13,3,23,27,5,8,38,465,11,91,0.09,745,8,good,
TU4,STEM,3,1,13,3,24,27,5,8,38,465,12,96,0.08,746,8,good,
TU4,STEM,3,1,13,3,25,27,5,8,39,466,12,100,0.09,745,8,good,
TU4,STEM,3,1,13,3,26,27,5,8,39,466,13,105,0.09,746,8,good,
TU4,STEM,3,1,13,3,27,27,5,8,39,467,14,110,0.09,745,8,good,
TU4,STEM,3,1,13,3,28,27,5,8,39,467,14,115,0.09,746,8,good,
TU4,STEM,3,1,13,3,29,27,5,8,39,468,15,120,0.09,746,8,good,
TU4,STEM,3,1,13,3,30,27,5,8,39,468,15,124,0.09,746,8,good,
TU4,STEM,4,1,13,4,1,27,5,8,47,456,0,0,0,746,8,good,
TU4,STEM,4,1,13,4,2,27,5,8,47,456,0,4,0,746,8,good,
TU4,STEM,4,1,13,4,3,27,5,8,47,456,0,9,0,746,8,good,
TU4,STEM,4,1,13,4,4,27,5,8,47,456,0,14,0.02,746,8,good,
TU4,STEM,4,1,13,4,5,27,5,8,48,457,0,19,0.03,746,8,good,
TU4,STEM,4,1,13,4,6,27,5,8,48,457,1,24,0.03,746,8,good,
TU4,STEM,4,1,13,4,7,27,5,8,48,457,1,28,0.03,746,8,good,
TU4,STEM,4,1,13,4,8,27,5,8,48,458,1,33,0.03,746,8,good,
TU4,STEM,4,1,13,4,9,27,5,8,48,458,2,38,0.04,746,8,good,
TU4,STEM,4,1,13,4,10,27,5,8,48,458,2,43,0.04,746,8,good,
TU4,STEM,4,1,13,4,11,27,5,8,48,458,3,48,0.04,746,8,good,
TU4,STEM,4,1,13,4,12,27,5,8,48,458,3,52,0.04,746,8,good,
TU4,STEM,4,1,13,4,13,27,5,8,48,458,3,57,0.04,746,8,good,
TU4,STEM,4,1,13,4,14,27,5,8,48,459,3,62,0.03,746,8,good,
TU4,STEM,4,1,13,4,15,27,5,8,48,459,3,67,0.03,746,8,good,
TU4,STEM,4,1,13,4,16,27,5,8,48,459,3,72,0.03,746,8,good,
TU4,STEM,4,1,13,4,17,27,5,8,48,459,4,76,0.03,746,8,good,
TU4,STEM,4,1,13,4,18,27,5,8,49,460,4,81,0.03,746,8,good,
TU4,STEM,4,1,13,4,19,27,5,8,49,460,4,86,0.03,746,8,good,
TU4,STEM,4,1,13,4,20,27,5,8,49,461,4,91,0.03,746,8,good,
TU4,STEM,4,1,13,4,21,27,5,8,49,460,4,96,0.03,746,8,good,
TU4,STEM,4,1,13,4,22,27,5,8,49,461,5,100,0.03,746,8,good,
TU4,STEM,4,1,13,4,23,27,5,8,49,461,5,105,0.03,746,8,good,
TU4,STEM,4,1,13,4,24,27,5,8,49,462,5,110,0.03,746,8,good,
TU4,STEM,4,1,13,4,25,27,5,8,49,462,6,115,0.03,746,8,good,
TU4,STEM,4,1,13,4,26,27,5,8,49,463,6,120,0.03,746,8,good,
TU4,STEM,4,1,13,4,27,27,5,8,49,463,6,124,0.03,746,8,good,
TU4,STEM,5,1,13,5,1,27,5,8,56,536,0,0,0,746,8,good,
TU4,STEM,5,1,13,5,2,27,5,8,56,546,0,4,0,746,8,good,
TU4,STEM,5,1,13,5,3,27,5,8,56,549,0,9,0,746,8,good,
TU4,STEM,5,1,13,5,4,27,5,8,56,550,13,14,0.68,746,8,good,
TU4,STEM,5,1,13,5,5,27,5,8,56,551,13,19,0.51,746,8,good,
TU4,STEM,5,1,13,5,6,27,5,8,57,551,13,24,0.4,748,8,good,
TU4,STEM,5,1,13,5,7,27,5,8,57,549,11,28,0.28,748,8,good,
TU4,STEM,5,1,13,5,8,27,5,8,57,552,11,33,0.24,748,8,good,
TU4,STEM,5,1,13,5,9,27,5,8,57,550,10,38,0.19,746,8,good,
TU4,STEM,5,1,13,5,10,27,5,8,57,553,10,43,0.17,746,8,good,
TU4,STEM,5,1,13,5,11,27,5,8,57,550,9,48,0.14,748,8,good,
TU4,STEM,5,1,13,5,12,27,5,8,57,553,9,52,0.13,746,8,good,
TU4,STEM,5,1,13,5,13,27,5,8,57,553,10,57,0.12,746,8,good,
TU4,STEM,5,1,13,5,14,27,5,8,57,551,9,62,0.1,748,8,good,
TU4,STEM,5,1,13,5,15,27,5,8,58,551,8,67,0.09,748,8,good,
TU4,STEM,5,1,13,5,16,27,5,8,58,551,7,72,0.07,748,8,good,
TU4,STEM,5,1,13,5,17,27,5,8,58,551,7,76,0.06,746,8,good,
TU4,STEM,5,1,13,5,18,27,5,8,58,553,7,81,0.06,746,8,good,
TU4,STEM,5,1,13,5,19,27,5,8,58,553,7,86,0.06,746,8,good,
TU4,STEM,5,1,13,5,20,27,5,8,58,550,6,91,0.05,746,8,good,
TU4,STEM,5,1,13,5,21,27,5,8,58,550,6,96,0.04,748,8,good,
TU4,STEM,5,1,13,5,22,27,5,8,58,550,5,100,0.04,748,8,good,
TU4,STEM,5,1,13,5,23,27,5,8,58,550,5,105,0.03,748,8,good,
TU4,STEM,5,1,13,5,24,27,5,8,59,549,4,110,0.02,748,8,good,
TU4,STEM,5,1,13,5,25,27,5,8,59,550,4,115,0.02,748,8,good,
TU4,STEM,5,1,13,5,26,27,5,8,59,551,4,120,0.02,746,8,good,
TU4,STEM,5,1,13,5,27,27,5,8,59,549,3,124,0.02,746,8,good,
TU4,STEM,6,1,13,6,1,27,5,9,9,463,0,0,0,746,8,good,
TU4,STEM,6,1,13,6,2,27,5,9,9,465,0,4,0,746,8,good,
TU4,STEM,6,1,13,6,3,27,5,9,9,464,0,9,0,748,8,good,
TU4,STEM,6,1,13,6,4,27,5,9,9,465,1,14,0.06,748,8,good,
TU4,STEM,6,1,13,6,5,27,5,9,10,467,3,19,0.13,746,8,good,
TU4,STEM,6,1,13,6,6,27,5,9,10,466,3,24,0.09,748,8,good,
TU4,STEM,6,1,13,6,7,27,5,9,10,468,4,28,0.11,746,8,good,
TU4,STEM,6,1,13,6,8,27,5,9,10,466,4,33,0.08,748,8,good,
TU4,STEM,6,1,13,6,9,27,5,9,10,466,3,38,0.07,748,8,good,
TU4,STEM,6,1,13,6,10,27,5,9,10,466,3,43,0.06,748,8,good,
TU4,STEM,6,1,13,6,11,27,5,9,10,467,3,48,0.05,748,8,good,
TU4,STEM,6,1,13,6,12,27,5,9,10,467,3,52,0.05,746,8,good,
TU4,STEM,6,1,13,6,13,27,5,9,10,468,4,57,0.05,748,8,good,
TU4,STEM,6,1,13,6,14,27,5,9,10,468,4,62,0.04,748,8,good,
TU4,STEM,6,1,13,6,15,27,5,9,10,468,4,67,0.04,748,8,good,
TU4,STEM,6,1,13,6,16,27,5,9,11,468,4,72,0.04,748,8,good,
TU4,STEM,6,1,13,6,17,27,5,9,11,468,4,76,0.04,748,8,good,
TU4,STEM,6,1,13,6,18,27,5,9,11,469,4,81,0.04,746,8,good,
TU4,STEM,6,1,13,6,19,27,5,9,11,469,5,86,0.04,746,8,good,
TU4,STEM,6,1,13,6,20,27,5,9,11,469,5,91,0.04,748,8,good,
TU4,STEM,6,1,13,6,21,27,5,9,11,469,5,96,0.04,748,8,good,
TU4,STEM,6,1,13,6,22,27,5,9,11,472,6,100,0.04,748,8,good,
TU4,STEM,6,1,13,6,23,27,5,9,12,469,6,105,0.04,748,8,good,
TU4,STEM,6,1,13,6,24,27,5,9,12,470,6,110,0.04,748,8,good,
TU4,STEM,6,1,13,6,25,27,5,9,12,470,6,115,0.03,748,8,good,
TU4,STEM,6,1,13,6,26,27,5,9,12,470,6,120,0.03,748,8,good,
TU4,STEM,6,1,13,6,27,27,5,9,12,470,6,124,0.03,748,8,good,
TU4,STEM,7,1,13,7,1,27,5,9,28,466,0,0,0,746,8,good,
TU4,STEM,7,1,13,7,2,27,5,9,28,467,0,4,0,746,8,good,
TU4,STEM,7,1,13,7,3,27,5,9,28,468,0,9,0,746,8,good,
TU4,STEM,7,1,13,7,4,27,5,9,28,469,2,14,0.12,746,8,good,
TU4,STEM,7,1,13,7,5,27,5,9,28,469,3,19,0.11,746,8,good,
TU4,STEM,7,1,13,7,6,27,5,9,28,470,4,24,0.11,746,8,good,
TU4,STEM,7,1,13,7,7,27,5,9,28,470,3,28,0.09,748,8,good,
TU4,STEM,7,1,13,7,8,27,5,9,28,473,5,33,0.11,746,8,good,
TU4,STEM,7,1,13,7,9,27,5,9,28,474,6,38,0.12,746,8,good,
TU4,STEM,7,1,13,7,10,27,5,9,29,475,7,43,0.12,746,8,good,
TU4,STEM,7,1,13,7,11,27,5,9,29,476,9,48,0.13,746,8,good,
TU4,STEM,7,1,13,7,12,27,5,9,29,477,10,52,0.13,746,8,good,
TU4,STEM,7,1,13,7,13,27,5,9,29,477,11,57,0.13,746,8,good,
TU4,STEM,7,1,13,7,14,27,5,9,29,478,12,62,0.13,746,8,good,
TU4,STEM,7,1,13,7,15,27,5,9,29,479,13,67,0.13,746,8,good,
TU4,STEM,7,1,13,7,16,27,5,9,29,480,13,72,0.13,746,8,good,
TU4,STEM,7,1,13,7,17,27,5,9,29,480,14,76,0.13,746,8,good,
TU4,STEM,7,1,13,7,18,27,5,9,29,481,15,81,0.13,746,8,good,
TU4,STEM,7,1,13,7,19,27,5,9,29,480,15,86,0.12,748,8,good,
TU4,STEM,7,1,13,7,20,27,5,9,29,483,16,91,0.12,746,8,good,
TU4,STEM,7,1,13,7,21,27,5,9,29,484,17,96,0.12,746,8,good,
TU4,STEM,7,1,13,7,22,27,5,9,29,484,18,100,0.12,746,8,good,
TU4,STEM,7,1,13,7,23,27,5,9,30,485,18,105,0.12,746,8,good,
TU4,STEM,7,1,13,7,24,27,5,9,30,486,19,110,0.12,746,8,good,
TU4,STEM,7,1,13,7,25,27,5,9,30,487,20,115,0.12,746,8,good,
TU4,STEM,7,1,13,7,26,27,5,9,30,487,21,120,0.12,746,8,good,
TU4,STEM,7,1,13,7,27,27,5,9,30,488,21,124,0.12,746,8,good,
TU4,STEM,8,1,13,8,1,27,5,9,34,462,0,0,0,746,8,good,
