plot_code,measurement_code,sub_plot,replica,day,month,year,soil_temp,air_temp,collar_depth
PAN02,STEM,1,1,22,6,2013,24.3,23.6,7
PAN02,STEM,2,1,22,6,2013,24.1,24.3,7
PAN02,STEM,3,1,22,6,2013,24,24.1,7
PAN02,STEM,4,1,22,6,2013,24,23.9,7
PAN02,STEM,5,1,22,6,2013,23.9,23.5,7
PAN02,STEM,6,1,22,6,2013,23.8,23.6,7
PAN02,STEM,7,1,22,6,2013,23.8,23.3,7
PAN02,STEM,8,1,22,6,2013,23.7,23.3,7
PAN02,STEM,9,1,22,6,2013,23.4,22.2,7
PAN02,STEM,10,1,22,6,2013,23.4,22.2,7
PAN02,STEM,11,1,22,6,2013,23.4,22.2,7
PAN02,STEM,12,1,22,6,2013,23.4,23.6,7
PAN02,STEM,13,1,22,6,2013,23.6,23.4,7
PAN02,STEM,14,1,22,6,2013,23.6,23.5,7
PAN02,STEM,15,1,22,6,2013,23.7,23.2,7
PAN02,STEM,16,1,22,6,2013,23.8,23.6,7
PAN02,STEM,17,1,22,6,2013,23.5,23.9,7
PAN02,STEM,18,1,22,6,2013,23.5,23.3,7
PAN02,STEM,19,1,22,6,2013,23.8,23.3,7
PAN02,STEM,20,1,22,6,2013,23.6,23.5,7
PAN02,STEM,21,1,22,6,2013,23.5,23.8,7
PAN02,STEM,22,1,22,6,2013,23.6,24,7
PAN02,STEM,23,1,22,6,2013,23.9,23.6,7
PAN02,STEM,24,1,22,6,2013,23.8,23.7,7
PAN02,STEM,25,1,22,6,2013,23.6,23.5,7
PAN02,STEM,1,1,26,7,2013,21.5,20.7,7
PAN02,STEM,2,1,26,7,2013,21.6,21,7
PAN02,STEM,3,1,26,7,2013,21.2,20,7
PAN02,STEM,4,1,26,7,2013,21.5,20.8,7
PAN02,STEM,5,1,26,7,2013,21.5,20.4,7
PAN02,STEM,6,1,26,7,2013,21.7,20.8,7
PAN02,STEM,7,1,26,7,2013,21.9,20.5,7
PAN02,STEM,8,1,26,7,2013,22.2,21.5,7
PAN02,STEM,9,1,26,7,2013,22.5,20.8,7
PAN02,STEM,10,1,26,7,2013,22.5,20.6,7
PAN02,STEM,11,1,26,7,2013,22.5,22.1,7
PAN02,STEM,12,1,26,7,2013,22.7,22.1,7
PAN02,STEM,13,1,26,7,2013,22.4,21.5,7
PAN02,STEM,14,1,26,7,2013,22.3,21.3,7
PAN02,STEM,15,1,26,7,2013,22.7,21,7
PAN02,STEM,16,1,26,7,2013,22.6,21.7,7
PAN02,STEM,17,1,26,7,2013,23.2,21.7,7
PAN02,STEM,18,1,26,7,2013,22.5,21.5,7
PAN02,STEM,19,1,26,7,2013,22.5,21.7,7
PAN02,STEM,20,1,26,7,2013,22.3,21.7,7
PAN02,STEM,21,1,26,7,2013,22.7,21.7,7
PAN02,STEM,22,1,26,7,2013,22.3,20.9,7
PAN02,STEM,23,1,26,7,2013,22.8,22.1,7
PAN02,STEM,24,1,26,7,2013,22.8,20.3,7
PAN02,STEM,25,1,26,7,2013,22.6,21.9,7
PAN02,STEM,1,1,20,9,2013,28.4,26.9,7
PAN02,STEM,2,1,20,9,2013,28.1,27,7
PAN02,STEM,3,1,20,9,2013,27.2,27,7
PAN02,STEM,4,1,20,9,2013,25.2,24.7,7
PAN02,STEM,5,1,20,9,2013,25.7,25.3,7
PAN02,STEM,6,1,20,9,2013,26.5,26.7,7
PAN02,STEM,7,1,20,9,2013,27.1,25.7,7
PAN02,STEM,8,1,20,9,2013,27,26.6,7
PAN02,STEM,9,1,20,9,2013,25.3,25.2,7
PAN02,STEM,10,1,20,9,2013,25.5,25.4,7
PAN02,STEM,11,1,20,9,2013,27.8,27.5,7
PAN02,STEM,12,1,20,9,2013,26.1,26,7
PAN02,STEM,13,1,20,9,2013,25.2,25,7
PAN02,STEM,14,1,20,9,2013,25.3,25.8,7
PAN02,STEM,15,1,20,9,2013,25.4,25.3,7
PAN02,STEM,16,1,20,9,2013,25.1,25.2,7
PAN02,STEM,17,1,20,9,2013,25.4,25.2,7
PAN02,STEM,18,1,20,9,2013,25.6,25.5,7
PAN02,STEM,19,1,20,9,2013,25.3,25.2,7
