plot_code,year,month,day,ingrowth_core_num,is_stock_yn,ingrowth_core_litterfall_g,soil_humidity_pcnt,soil_temperature_c,ol_layer_depth_cm,ml_layer_depth_cm,time_step,time_step_minutes,ol_under_2mm_g,ml_under_2mm_g,ol_2to3_mm_g,ml_2to3_mm_g,ol_3to4_mm_g,ml_3to4_mm_g,ol_4to5_mm_g,ml_4to5_mm_g,ol_above_5mm_g,ml_above_5mm_g,quality_code,comments
ACJ-01,2013,2,16,1,y,NaN,NaN,NaN,30,NaN,1,10,4.78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,stock
ACJ-01,2013,2,16,1,y,NaN,NaN,NaN,30,NaN,2,10,0.98,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,stock
ACJ-01,2013,2,16,1,y,NaN,NaN,NaN,30,NaN,3,10,0.89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,stock
ACJ-01,2013,2,16,1,y,NaN,NaN,NaN,30,NaN,4,10,0.63,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,stock
ACJ-01,2013,2,16,2,y,NaN,NaN,NaN,20,10,1,10,2.48,0.09,0.22,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,stock
ACJ-01,2013,2,16,2,y,NaN,NaN,NaN,20,10,2,10,0.48,0.05,0.02,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,stock
ACJ-01,2013,2,16,2,y,NaN,NaN,NaN,20,10,3,10,0.16,0.02,0.02,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,stock
ACJ-01,2013,2,16,2,y,NaN,NaN,NaN,20,10,4,10,0.22,0.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,stock
ACJ-01,2013,2,16,3,y,NaN,NaN,NaN,30,NaN,1,10,2.44,NaN,3.36,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,stock
ACJ-01,2013,2,16,3,y,NaN,NaN,NaN,30,NaN,2,10,1.63,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,stock
ACJ-01,2013,2,16,3,y,NaN,NaN,NaN,30,NaN,3,10,1.11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,stock
ACJ-01,2013,2,16,3,y,NaN,NaN,NaN,30,NaN,4,10,0.45,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,stock
ACJ-01,2013,2,16,4,y,NaN,NaN,NaN,20,10,1,10,2.1,0.18,0.85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,stock
ACJ-01,2013,2,16,4,y,NaN,NaN,NaN,20,10,2,10,0.43,0.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,stock
ACJ-01,2013,2,16,4,y,NaN,NaN,NaN,20,10,3,10,0.26,0.02,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,stock
ACJ-01,2013,2,16,4,y,NaN,NaN,NaN,20,10,4,10,0.15,0.01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,stock
ACJ-01,2013,2,16,5,y,NaN,NaN,NaN,30,NaN,1,10,1.85,NaN,0.39,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,stock
ACJ-01,2013,2,16,5,y,NaN,NaN,NaN,30,NaN,2,10,1.04,NaN,0.14,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,stock
ACJ-01,2013,2,16,5,y,NaN,NaN,NaN,30,NaN,3,10,0.54,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,stock
ACJ-01,2013,2,16,5,y,NaN,NaN,NaN,30,NaN,4,10,0.6,NaN,0.15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,stock
ACJ-01,2013,2,16,6,y,NaN,NaN,NaN,20,10,1,10,3.04,0.4,1.9,0.26,NaN,NaN,NaN,NaN,NaN,NaN,,stock
ACJ-01,2013,2,16,6,y,NaN,NaN,NaN,20,10,2,10,0.99,0.06,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,stock
ACJ-01,2013,2,16,6,y,NaN,NaN,NaN,20,10,3,10,0.29,0.06,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,stock
ACJ-01,2013,2,16,6,y,NaN,NaN,NaN,20,10,4,10,0.38,0.01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,stock
ACJ-01,2013,2,16,7,y,NaN,NaN,NaN,20,10,1,10,1.96,0.22,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,stock
ACJ-01,2013,2,16,7,y,NaN,NaN,NaN,20,10,2,10,0.64,0.06,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,stock
ACJ-01,2013,2,16,7,y,NaN,NaN,NaN,20,10,3,10,0.32,0.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,stock
ACJ-01,2013,2,16,7,y,NaN,NaN,NaN,20,10,4,10,0.13,0.01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,stock
ACJ-01,2013,2,16,8,y,NaN,NaN,NaN,20,10,1,10,7.62,0.48,0.29,0.29,NaN,NaN,NaN,NaN,NaN,NaN,,stock
ACJ-01,2013,2,16,8,y,NaN,NaN,NaN,20,10,2,10,0.87,0.39,0.46,0.46,NaN,NaN,NaN,NaN,NaN,NaN,,stock
ACJ-01,2013,2,16,8,y,NaN,NaN,NaN,20,10,3,10,0.52,0.17,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,stock
ACJ-01,2013,2,16,8,y,NaN,NaN,NaN,20,10,4,10,0.33,0.05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,stock
ACJ-01,2013,2,16,9,y,NaN,NaN,NaN,30,NaN,1,10,5.47,NaN,1.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,stock
ACJ-01,2013,2,16,9,y,NaN,NaN,NaN,30,NaN,2,10,1.22,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,stock
ACJ-01,2013,2,16,9,y,NaN,NaN,NaN,30,NaN,3,10,0.61,NaN,0.08,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,stock
ACJ-01,2013,2,16,9,y,NaN,NaN,NaN,30,NaN,4,10,0.95,NaN,0.42,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,stock
ACJ-01,2013,2,16,10,y,NaN,NaN,NaN,25,5,1,10,2.46,0.02,0.28,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,stock
ACJ-01,2013,2,16,10,y,NaN,NaN,NaN,25,5,2,10,0.64,0.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,stock
ACJ-01,2013,2,16,10,y,NaN,NaN,NaN,25,5,3,10,0.18,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,stock
ACJ-01,2013,2,16,10,y,NaN,NaN,NaN,25,5,4,10,0.14,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,stock
ACJ-01,2013,2,16,11,y,NaN,NaN,NaN,20,10,1,10,4.27,1.23,0.92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,stock
ACJ-01,2013,2,16,11,y,NaN,NaN,NaN,20,10,2,10,1.42,0.15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,stock
ACJ-01,2013,2,16,11,y,NaN,NaN,NaN,20,10,3,10,0.7,0.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,stock
ACJ-01,2013,2,16,11,y,NaN,NaN,NaN,20,10,4,10,0.36,0.05,NaN,0.03,NaN,NaN,NaN,NaN,NaN,NaN,,stock
ACJ-01,2013,2,16,12,y,NaN,NaN,NaN,10,20,1,10,1.46,0.93,0.22,0.61,NaN,NaN,NaN,NaN,NaN,NaN,,stock
ACJ-01,2013,2,16,12,y,NaN,NaN,NaN,10,20,2,10,0.36,0.27,NaN,0.3,NaN,NaN,NaN,NaN,NaN,NaN,,stock
ACJ-01,2013,2,16,12,y,NaN,NaN,NaN,10,20,3,10,0.15,0.1,NaN,0.06,NaN,NaN,NaN,NaN,NaN,NaN,,stock
ACJ-01,2013,2,16,12,y,NaN,NaN,NaN,10,20,4,10,0.09,0.07,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,stock
ACJ-01,2013,2,16,13,y,NaN,NaN,NaN,20,10,1,10,1.79,0.57,0.22,0.33,NaN,NaN,NaN,NaN,NaN,NaN,,stock
ACJ-01,2013,2,16,13,y,NaN,NaN,NaN,20,10,2,10,0.67,0.53,NaN,0.03,NaN,NaN,NaN,NaN,NaN,NaN,,stock
ACJ-01,2013,2,16,13,y,NaN,NaN,NaN,20,10,3,10,0.18,0.18,NaN,0.2,NaN,NaN,NaN,NaN,NaN,NaN,,stock
ACJ-01,2013,2,16,13,y,NaN,NaN,NaN,20,10,4,10,0.1,0.02,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,stock
ACJ-01,2013,2,16,14,y,NaN,NaN,NaN,20,10,1,10,0.8,0.28,0.08,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,stock
ACJ-01,2013,2,16,14,y,NaN,NaN,NaN,20,10,2,10,0.51,0.02,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,stock
ACJ-01,2013,2,16,14,y,NaN,NaN,NaN,20,10,3,10,0.14,0.02,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,stock
ACJ-01,2013,2,16,14,y,NaN,NaN,NaN,20,10,4,10,0.1,0.06,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,stock
ACJ-01,2013,2,16,15,y,NaN,NaN,NaN,20,10,1,10,1.32,NaN,0.34,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,stock
ACJ-01,2013,2,16,15,y,NaN,NaN,NaN,20,10,2,10,0.94,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,stock
ACJ-01,2013,2,16,15,y,NaN,NaN,NaN,20,10,3,10,0.42,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,stock
ACJ-01,2013,2,16,15,y,NaN,NaN,NaN,20,10,4,10,0.51,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,stock
ACJ-01,2013,2,16,16,y,NaN,NaN,NaN,20,10,1,10,1.92,0.23,0.58,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,stock
ACJ-01,2013,2,16,16,y,NaN,NaN,NaN,20,10,2,10,1.6,0.44,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,stock
ACJ-01,2013,2,16,16,y,NaN,NaN,NaN,20,10,3,10,1.36,0.29,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,stock
ACJ-01,2013,2,16,16,y,NaN,NaN,NaN,20,10,4,10,0.81,0.17,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,stock
ACJ-01,2013,6,20,1,n,10.84,40.8,7.9,30,NaN,1,10,0.0652,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
ACJ-01,2013,6,20,1,n,NaN,NaN,NaN,30,NaN,2,10,0.188,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
ACJ-01,2013,6,20,1,n,NaN,NaN,NaN,30,NaN,3,10,0.166,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
ACJ-01,2013,6,20,1,n,NaN,NaN,NaN,30,NaN,4,10,0.138,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
ACJ-01,2013,6,20,2,n,6.84,27.5,7.8,20,10,1,10,0.036,0.016,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
ACJ-01,2013,6,20,2,n,NaN,NaN,NaN,20,10,2,10,0.012,0.01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
ACJ-01,2013,6,20,2,n,NaN,NaN,NaN,20,10,3,10,0.016,0.001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
ACJ-01,2013,6,20,2,n,NaN,NaN,NaN,20,10,4,10,0.012,0.001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
ACJ-01,2013,6,20,3,n,8.43,39.1,7.4,30,NaN,1,10,0.222,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
ACJ-01,2013,6,20,3,n,NaN,NaN,NaN,30,NaN,2,10,0.192,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
ACJ-01,2013,6,20,3,n,NaN,NaN,NaN,30,NaN,3,10,0.212,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
ACJ-01,2013,6,20,3,n,NaN,NaN,NaN,30,NaN,4,10,0.114,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
ACJ-01,2013,6,20,4,n,7.85,52.1,7.5,20,10,1,10,0.2,0.006,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
ACJ-01,2013,6,20,4,n,NaN,NaN,NaN,20,10,2,10,0.024,0.001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
ACJ-01,2013,6,20,4,n,NaN,NaN,NaN,20,10,3,10,0.016,0.001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
ACJ-01,2013,6,20,4,n,NaN,NaN,NaN,20,10,4,10,0.015,0.001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
ACJ-01,2013,6,20,5,n,7.62,18.8,7.8,30,NaN,1,10,0.28,NaN,0.106,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
ACJ-01,2013,6,20,5,n,NaN,NaN,NaN,30,NaN,2,10,0.292,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
ACJ-01,2013,6,20,5,n,NaN,NaN,NaN,30,NaN,3,10,0.076,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
ACJ-01,2013,6,20,5,n,NaN,NaN,NaN,30,NaN,4,10,0.124,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
ACJ-01,2013,6,20,6,n,6.3,44.4,7.2,20,10,1,10,0.404,0.046,0.108,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
ACJ-01,2013,6,20,6,n,NaN,NaN,NaN,20,10,2,10,0.08,0.01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
ACJ-01,2013,6,20,6,n,NaN,NaN,NaN,20,10,3,10,0.064,0.018,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
ACJ-01,2013,6,20,6,n,NaN,NaN,NaN,20,10,4,10,0.044,0.017,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
ACJ-01,2013,6,20,7,n,7.91,43.6,8.2,20,10,1,10,0.04,0.001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
ACJ-01,2013,6,20,7,n,NaN,NaN,NaN,20,10,2,10,0.01,0.001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
ACJ-01,2013,6,20,7,n,NaN,NaN,NaN,20,10,3,10,0.018,0.001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
ACJ-01,2013,6,20,7,n,NaN,NaN,NaN,20,10,4,10,0.006,0.001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
ACJ-01,2013,6,20,8,n,2.68,20.8,8.1,20,10,1,10,0.07,0.05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
ACJ-01,2013,6,20,8,n,NaN,NaN,NaN,20,10,2,10,0.098,0.044,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
ACJ-01,2013,6,20,8,n,NaN,NaN,NaN,20,10,3,10,0.092,0.07,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
ACJ-01,2013,6,20,8,n,NaN,NaN,NaN,20,10,4,10,0.076,0.056,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
ACJ-01,2013,6,20,9,n,7.39,39.4,8.2,30,NaN,1,10,0.386,NaN,0.138,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
ACJ-01,2013,6,20,9,n,NaN,NaN,NaN,30,NaN,2,10,0.184,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
ACJ-01,2013,6,20,9,n,NaN,NaN,NaN,30,NaN,3,10,0.104,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
ACJ-01,2013,6,20,9,n,NaN,NaN,NaN,30,NaN,4,10,0.084,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
ACJ-01,2013,6,20,10,n,8.89,38.3,7.3,25,5,1,10,0.316,0.066,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
ACJ-01,2013,6,20,10,n,NaN,NaN,NaN,25,5,2,10,0.088,0.034,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
ACJ-01,2013,6,20,10,n,NaN,NaN,NaN,25,5,3,10,0.112,0.018,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
ACJ-01,2013,6,20,10,n,NaN,NaN,NaN,25,5,4,10,0.086,0.022,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
ACJ-01,2013,6,20,11,n,10.94,21.8,7.5,20,10,1,10,0.358,0.022,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
ACJ-01,2013,6,20,11,n,NaN,NaN,NaN,20,10,2,10,0.07,0.008,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
ACJ-01,2013,6,20,11,n,NaN,NaN,NaN,20,10,3,10,0.066,0.008,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
ACJ-01,2013,6,20,11,n,NaN,NaN,NaN,20,10,4,10,0.042,0.001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
ACJ-01,2013,6,20,12,n,11.72,21.3,8.1,10,20,1,10,0.282,0.014,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
ACJ-01,2013,6,20,12,n,NaN,NaN,NaN,10,20,2,10,0.152,0.026,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
ACJ-01,2013,6,20,12,n,NaN,NaN,NaN,10,20,3,10,0.066,0.01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
ACJ-01,2013,6,20,12,n,NaN,NaN,NaN,10,20,4,10,0.064,0.016,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
ACJ-01,2013,6,20,13,n,3.71,26.9,7.8,20,10,1,10,0.026,0.058,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
ACJ-01,2013,6,20,13,n,NaN,NaN,NaN,20,10,2,10,0.02,0.036,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
ACJ-01,2013,6,20,13,n,NaN,NaN,NaN,20,10,3,10,0.034,0.022,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
ACJ-01,2013,6,20,13,n,NaN,NaN,NaN,20,10,4,10,0.024,0.02,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
ACJ-01,2013,6,20,14,n,6.14,48.9,7.3,20,10,1,10,0.038,0.036,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
ACJ-01,2013,6,20,14,n,NaN,NaN,NaN,20,10,2,10,0.022,0.046,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
ACJ-01,2013,6,20,14,n,NaN,NaN,NaN,20,10,3,10,0.006,0.016,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
ACJ-01,2013,6,20,14,n,NaN,NaN,NaN,20,10,4,10,0.018,0.004,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
ACJ-01,2013,6,20,15,n,8.03,39.2,7.8,20,10,1,10,0.428,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
ACJ-01,2013,6,20,15,n,NaN,NaN,NaN,20,10,2,10,0.146,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
ACJ-01,2013,6,20,15,n,NaN,NaN,NaN,20,10,3,10,0.198,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
ACJ-01,2013,6,20,15,n,NaN,NaN,NaN,20,10,4,10,0.078,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
