Plot	Date.value	DataType	Core	Combined.code	Combined.code.2	Search.time.cum	CoarseRoot.cum	FineRoot.cum	TotRoot.cum	Search.Int	DaysBetween
Tower	40744	Stock	1	40744.Tower.01	Tower.40744.1	10	8.22	2.8	11.02	1	1
Tower	40744	Stock	1	40744.Tower.01	Tower.40744.1	20	10.78	3.1	13.88	2	1
Tower	40744	Stock	1	40744.Tower.01	Tower.40744.1	30	10.98	3.37	14.35	3	1
Tower	40744	Stock	1	40744.Tower.01	Tower.40744.1	40	11.49	3.58	15.07	4	1
Tower	40744	Stock	2	40744.Tower.02	Tower.40744.2	10	8.7	0.4	9.1	1	1
Tower	40744	Stock	2	40744.Tower.02	Tower.40744.2	20	8.97	0.67	9.64	2	1
Tower	40744	Stock	2	40744.Tower.02	Tower.40744.2	30	8.97	0.79	9.76	3	1
Tower	40744	Stock	2	40744.Tower.02	Tower.40744.2	40	8.97	1.03	10	4	1
Tower	40744	Stock	3	40744.Tower.03	Tower.40744.3	10	0	0.46	0.46	1	1
Tower	40744	Stock	3	40744.Tower.03	Tower.40744.3	20	0	0.57	0.57	2	1
Tower	40744	Stock	3	40744.Tower.03	Tower.40744.3	30	0	0.73	0.73	3	1
Tower	40744	Stock	3	40744.Tower.03	Tower.40744.3	40	0	0.82	0.82	4	1
Tower	40744	Stock	4	40744.Tower.04	Tower.40744.4	10	4.72	2.49	7.21	1	1
Tower	40744	Stock	4	40744.Tower.04	Tower.40744.4	20	4.78	3.19	7.97	2	1
Tower	40744	Stock	4	40744.Tower.04	Tower.40744.4	30	5.07	3.5	8.57	3	1
Tower	40744	Stock	4	40744.Tower.04	Tower.40744.4	40	5.07	3.91	8.98	4	1
Tower	40744	Stock	5	40744.Tower.05	Tower.40744.5	10	2.58	3.06	5.64	1	1
Tower	40744	Stock	5	40744.Tower.05	Tower.40744.5	20	2.58	3.8	6.38	2	1
Tower	40744	Stock	5	40744.Tower.05	Tower.40744.5	30	3.24	4.11	7.35	3	1
Tower	40744	Stock	5	40744.Tower.05	Tower.40744.5	40	3.24	4.52	7.76	4	1
Tower	40744	Stock	6	40744.Tower.06	Tower.40744.6	10	0.57	0.36	0.93	1	1
Tower	40744	Stock	6	40744.Tower.06	Tower.40744.6	20	0.57	1.07	1.64	2	1
Tower	40744	Stock	6	40744.Tower.06	Tower.40744.6	30	0.57	1.52	2.09	3	1
Tower	40744	Stock	6	40744.Tower.06	Tower.40744.6	40	0.57	1.92	2.49	4	1
Tower	40744	Stock	7	40744.Tower.07	Tower.40744.7	10	1.06	4.81	5.87	1	1
Tower	40744	Stock	7	40744.Tower.07	Tower.40744.7	20	1.06	6.45	7.51	2	1
Tower	40744	Stock	7	40744.Tower.07	Tower.40744.7	30	1.06	6.79	7.85	3	1
Tower	40744	Stock	7	40744.Tower.07	Tower.40744.7	40	1.06	7.1	8.16	4	1
Tower	40744	Stock	8	40744.Tower.08	Tower.40744.8	10	0	1.05	1.05	1	1
Tower	40744	Stock	8	40744.Tower.08	Tower.40744.8	20	0.33	1.78	2.11	2	1
Tower	40744	Stock	8	40744.Tower.08	Tower.40744.8	30	0.33	2.33	2.66	3	1
Tower	40744	Stock	8	40744.Tower.08	Tower.40744.8	40	0.33	2.86	3.19	4	1
Tower	40744	Stock	9	40744.Tower.09	Tower.40744.9	10	1.9	1.27	3.17	1	1
Tower	40744	Stock	9	40744.Tower.09	Tower.40744.9	20	1.9	1.81	3.71	2	1
Tower	40744	Stock	9	40744.Tower.09	Tower.40744.9	30	1.9	2.09	3.99	3	1
Tower	40744	Stock	9	40744.Tower.09	Tower.40744.9	40	1.9	2.3	4.2	4	1
Tower	40744	Stock	10	40744.Tower.10	Tower.40744.10	10	0	2.6	2.6	1	1
Tower	40744	Stock	10	40744.Tower.10	Tower.40744.10	20	0	2.76	2.76	2	1
Tower	40744	Stock	10	40744.Tower.10	Tower.40744.10	30	0	2.82	2.82	3	1
Tower	40744	Stock	10	40744.Tower.10	Tower.40744.10	40	0	2.85	2.85	4	1
Tower	40744	Stock	11	40744.Tower.11	Tower.40744.11	10	5.17	1.31	6.48	1	1
Tower	40744	Stock	11	40744.Tower.11	Tower.40744.11	20	5.83	2.54	8.37	2	1
Tower	40744	Stock	11	40744.Tower.11	Tower.40744.11	30	5.83	2.93	8.76	3	1
Tower	40744	Stock	11	40744.Tower.11	Tower.40744.11	40	5.83	3.44	9.27	4	1
Tower	40744	Stock	12	40744.Tower.12	Tower.40744.12	10	0	7.09	7.09	1	1
Tower	40744	Stock	12	40744.Tower.12	Tower.40744.12	20	0	10.08	10.08	2	1
Tower	40744	Stock	12	40744.Tower.12	Tower.40744.12	30	0	11.54	11.54	3	1
Tower	40744	Stock	12	40744.Tower.12	Tower.40744.12	40	0	12.06	12.06	4	1
Tower	40744	Stock	13	40744.Tower.13	Tower.40744.13	10	0	3.64	3.64	1	1
Tower	40744	Stock	13	40744.Tower.13	Tower.40744.13	20	0	4.45	4.45	2	1
Tower	40744	Stock	13	40744.Tower.13	Tower.40744.13	30	0	4.86	4.86	3	1
Tower	40744	Stock	13	40744.Tower.13	Tower.40744.13	40	0	5.37	5.37	4	1
Tower	40744	Stock	14	40744.Tower.14	Tower.40744.14	10	3.19	2.3	5.49	1	1
Tower	40744	Stock	14	40744.Tower.14	Tower.40744.14	20	3.19	3.94	7.13	2	1
Tower	40744	Stock	14	40744.Tower.14	Tower.40744.14	30	3.19	4.53	7.72	3	1
Tower	40744	Stock	14	40744.Tower.14	Tower.40744.14	40	3.19	5.11	8.3	4	1
Tower	40744	Stock	15	40744.Tower.15	Tower.40744.15	10	0	1.96	1.96	1	1
Tower	40744	Stock	15	40744.Tower.15	Tower.40744.15	20	0	2.21	2.21	2	1
Tower	40744	Stock	15	40744.Tower.15	Tower.40744.15	30	0	2.28	2.28	3	1
Tower	40744	Stock	15	40744.Tower.15	Tower.40744.15	40	0	2.36	2.36	4	1
Tower	40744	Stock	16	40744.Tower.16	Tower.40744.16	10	1.44	2.56	4	1	1
Tower	40744	Stock	16	40744.Tower.16	Tower.40744.16	20	1.44	2.81	4.25	2	1
Tower	40744	Stock	16	40744.Tower.16	Tower.40744.16	30	1.44	3.04	4.48	3	1
Tower	40744	Stock	16	40744.Tower.16	Tower.40744.16	40	1.44	3.23	4.67	4	1
E	40747	Stock	1	40747.E.01	E.40747.1	10	3.93	5.63	9.56	1	1
E	40747	Stock	1	40747.E.01	E.40747.1	20	3.93	6.96	10.89	2	1
E	40747	Stock	1	40747.E.01	E.40747.1	30	3.93	7.43	11.36	3	1
E	40747	Stock	1	40747.E.01	E.40747.1	40	3.93	7.88	11.81	4	1
E	40747	Stock	2	40747.E.02	E.40747.2	10	0	2.47	2.47	1	1
E	40747	Stock	2	40747.E.02	E.40747.2	20	0	3.7	3.7	2	1
E	40747	Stock	2	40747.E.02	E.40747.2	30	0	3.93	3.93	3	1
E	40747	Stock	2	40747.E.02	E.40747.2	40	0	4.11	4.11	4	1
E	40747	Stock	3	40747.E.03	E.40747.3	10	3.82	5.55	9.37	1	1
E	40747	Stock	3	40747.E.03	E.40747.3	20	3.82	6.95	10.77	2	1
E	40747	Stock	3	40747.E.03	E.40747.3	30	3.82	7.27	11.09	3	1
E	40747	Stock	3	40747.E.03	E.40747.3	40	3.82	7.35	11.17	4	1
E	40747	Stock	4	40747.E.04	E.40747.4	10	4.23	1.91	6.14	1	1
E	40747	Stock	4	40747.E.04	E.40747.4	20	4.23	3.62	7.85	2	1
E	40747	Stock	4	40747.E.04	E.40747.4	30	4.23	4.34	8.57	3	1
E	40747	Stock	4	40747.E.04	E.40747.4	40	4.23	5.06	9.29	4	1
E	40747	Stock	5	40747.E.05	E.40747.5	10	30.52	4.51	35.03	1	1
E	40747	Stock	5	40747.E.05	E.40747.5	20	33.2	6.25	39.45	2	1
E	40747	Stock	5	40747.E.05	E.40747.5	30	33.2	6.8	40	3	1
E	40747	Stock	5	40747.E.05	E.40747.5	40	33.2	7.31	40.51	4	1
E	40747	Stock	6	40747.E.06	E.40747.6	10	21.11	3.5	24.61	1	1
E	40747	Stock	6	40747.E.06	E.40747.6	20	22.72	7.92	30.64	2	1
E	40747	Stock	6	40747.E.06	E.40747.6	30	25.93	10.58	36.51	3	1
E	40747	Stock	6	40747.E.06	E.40747.6	40	25.93	12.22	38.15	4	1
E	40747	Stock	7	40747.E.07	E.40747.7	10	0	0.78	0.78	1	1
E	40747	Stock	7	40747.E.07	E.40747.7	20	0	0.94	0.94	2	1
E	40747	Stock	7	40747.E.07	E.40747.7	30	0	1.04	1.04	3	1
E	40747	Stock	7	40747.E.07	E.40747.7	40	0	1.15	1.15	4	1
E	40747	Stock	8	40747.E.08	E.40747.8	10	0	4.06	4.06	1	1
E	40747	Stock	8	40747.E.08	E.40747.8	20	0	4.29	4.29	2	1
E	40747	Stock	8	40747.E.08	E.40747.8	30	0	4.42	4.42	3	1
E	40747	Stock	8	40747.E.08	E.40747.8	40	0	4.55	4.55	4	1
E	40747	Stock	9	40747.E.09	E.40747.9	10	0	0.36	0.36	1	1
E	40747	Stock	9	40747.E.09	E.40747.9	20	0	0.58	0.58	2	1
E	40747	Stock	9	40747.E.09	E.40747.9	30	0	0.63	0.63	3	1
E	40747	Stock	9	40747.E.09	E.40747.9	40	0	0.68	0.68	4	1
E	40747	Stock	10	40747.E.10	E.40747.10	10	0	9.4	9.4	1	1
E	40747	Stock	10	40747.E.10	E.40747.10	20	0	10.7	10.7	2	1
E	40747	Stock	10	40747.E.10	E.40747.10	30	0	11.62	11.62	3	1
E	40747	Stock	10	40747.E.10	E.40747.10	40	0	13.34	13.34	4	1
E	40747	Stock	11	40747.E.11	E.40747.11	10	1.69	3.78	5.47	1	1
E	40747	Stock	11	40747.E.11	E.40747.11	20	1.69	4.08	5.77	2	1
E	40747	Stock	11	40747.E.11	E.40747.11	30	1.69	4.11	5.8	3	1
E	40747	Stock	11	40747.E.11	E.40747.11	40	1.69	4.12	5.81	4	1
E	40747	Stock	12	40747.E.12	E.40747.12	10	2.98	6.15	9.13	1	1
E	40747	Stock	12	40747.E.12	E.40747.12	20	2.98	7.85	10.83	2	1
E	40747	Stock	12	40747.E.12	E.40747.12	30	2.98	10.42	13.4	3	1
E	40747	Stock	12	40747.E.12	E.40747.12	40	2.98	10.86	13.84	4	1
E	40747	Stock	13	40747.E.13	E.40747.13	10	0	2.49	2.49	1	1
E	40747	Stock	13	40747.E.13	E.40747.13	20	0	3.02	3.02	2	1
E	40747	Stock	13	40747.E.13	E.40747.13	30	0	3.21	3.21	3	1
E	40747	Stock	13	40747.E.13	E.40747.13	40	0	3.44	3.44	4	1
E	40747	Stock	14	40747.E.14	E.40747.14	10	0	1.06	1.06	1	1
E	40747	Stock	14	40747.E.14	E.40747.14	20	0	1.57	1.57	2	1
E	40747	Stock	14	40747.E.14	E.40747.14	30	0	1.97	1.97	3	1
E	40747	Stock	14	40747.E.14	E.40747.14	40	0	2.11	2.11	4	1
E	40747	Stock	15	40747.E.15	E.40747.15	10	4.03	1.21	5.24	1	1
E	40747	Stock	15	40747.E.15	E.40747.15	20	4.03	1.7	5.73	2	1
E	40747	Stock	15	40747.E.15	E.40747.15	30	4.03	2.26	6.29	3	1
E	40747	Stock	15	40747.E.15	E.40747.15	40	4.03	2.38	6.41	4	1
E	40747	Stock	16	40747.E.16	E.40747.16	10	12.87	4.52	17.39	1	1
E	40747	Stock	16	40747.E.16	E.40747.16	20	12.87	6.75	19.62	2	1
E	40747	Stock	16	40747.E.16	E.40747.16	30	12.87	8.99	21.86	3	1
E	40747	Stock	16	40747.E.16	E.40747.16	40	12.87	9.1	21.97	4	1
Belian	40775	Stock	1	40775.Belian.01	Belian.40775.1	10	26.46	4.41	30.87	1	1
Belian	40775	Stock	1	40775.Belian.01	Belian.40775.1	20	28.49	5.84	34.33	2	1
Belian	40775	Stock	1	40775.Belian.01	Belian.40775.1	30	29.17	6.86	36.03	3	1
Belian	40775	Stock	1	40775.Belian.01	Belian.40775.1	40	29.4	7.42	36.82	4	1
Belian	40775	Stock	2	40775.Belian.02	Belian.40775.2	10	1.69	0.75	2.44	1	1
Belian	40775	Stock	2	40775.Belian.02	Belian.40775.2	20	3.03	1.84	4.87	2	1
Belian	40775	Stock	2	40775.Belian.02	Belian.40775.2	30	3.03	1.92	4.95	3	1
Belian	40775	Stock	2	40775.Belian.02	Belian.40775.2	40	3.43	1.97	5.4	4	1
Belian	40775	Stock	3	40775.Belian.03	Belian.40775.3	10	3.09	1.88	4.97	1	1
Belian	40775	Stock	3	40775.Belian.03	Belian.40775.3	20	4.64	3.13	7.77	2	1
Belian	40775	Stock	3	40775.Belian.03	Belian.40775.3	30	5.58	5.64	11.22	3	1
Belian	40775	Stock	3	40775.Belian.03	Belian.40775.3	40	5.68	6.15	11.83	4	1
Belian	40775	Stock	4	40775.Belian.04	Belian.40775.4	10	18.84	1.62	20.46	1	1
Belian	40775	Stock	4	40775.Belian.04	Belian.40775.4	20	22.43	2.59	25.02	2	1
Belian	40775	Stock	4	40775.Belian.04	Belian.40775.4	30	23.13	3.59	26.72	3	1
Belian	40775	Stock	4	40775.Belian.04	Belian.40775.4	40	24.14	4.13	28.27	4	1
Belian	40775	Stock	5	40775.Belian.05	Belian.40775.5	10	1.73	1.47	3.2	1	1
Belian	40775	Stock	5	40775.Belian.05	Belian.40775.5	20	1.96	1.89	3.85	2	1
Belian	40775	Stock	5	40775.Belian.05	Belian.40775.5	30	2	2.11	4.11	3	1
Belian	40775	Stock	5	40775.Belian.05	Belian.40775.5	40	2	2.15	4.15	4	1
Belian	40775	Stock	6	40775.Belian.06	Belian.40775.6	10	0.8	0.63	1.43	1	1
Belian	40775	Stock	6	40775.Belian.06	Belian.40775.6	20	1.14	0.77	1.91	2	1
Belian	40775	Stock	6	40775.Belian.06	Belian.40775.6	30	1.17	0.89	2.06	3	1
Belian	40775	Stock	6	40775.Belian.06	Belian.40775.6	40	1.29	0.99	2.28	4	1
Belian	40775	Stock	7	40775.Belian.07	Belian.40775.7	10	10.94	3.87	14.81	1	1
Belian	40775	Stock	7	40775.Belian.07	Belian.40775.7	20	11.11	4.49	15.6	2	1
Belian	40775	Stock	7	40775.Belian.07	Belian.40775.7	30	12.42	5.84	18.26	3	1
Belian	40775	Stock	7	40775.Belian.07	Belian.40775.7	40	12.65	6.13	18.78	4	1
Belian	40775	Stock	8	40775.Belian.08	Belian.40775.8	10	12.04	2.05	14.09	1	1
