Plot,TypeMeas,Tipo,Subplot,Tubo,Meas,DD,MM,YY,Id,Tubo,Meas,;Plot,RecNo,Day,Month,Hour,Min,CO2 Ref,mb Ref,mbR Temp,Input A,Input B,Input C,Input D,Input E,Input F,Input G,Input H,ATMP,Probe Type,a
SPI,CTRL,SD,13,1,1,30,10,11,SPI_CTRL_SD_13_1_1_301011,1,1,21,1,30,10,10,30,416,0,0,0,0,0,0,0,0,0,0,856,8,
SPI,CTRL,SD,13,1,1,30,10,11,SPI_CTRL_SD_13_1_1_301011,1,1,21,2,30,10,10,31,418,0,0,0,0,0,0,4,0,0,0,856,8,
SPI,CTRL,SD,13,1,1,30,10,11,SPI_CTRL_SD_13_1_1_301011,1,1,21,3,30,10,10,31,420,0,0,0,0,0,0,9,0,0,0,856,8,
SPI,CTRL,SD,13,1,1,30,10,11,SPI_CTRL_SD_13_1_1_301011,1,1,21,4,30,10,10,31,421,0,0,0,0,0,5,14,0.31,0,0,856,8,
SPI,CTRL,SD,13,1,1,30,10,11,SPI_CTRL_SD_13_1_1_301011,1,1,21,5,30,10,10,31,422,0,0,0,0,0,6,19,0.28,0,0,856,8,
SPI,CTRL,SD,13,1,1,30,10,11,SPI_CTRL_SD_13_1_1_301011,1,1,21,6,30,10,10,31,423,0,0,0,0,0,7,24,0.25,0,0,856,8,
SPI,CTRL,SD,13,1,1,30,10,11,SPI_CTRL_SD_13_1_1_301011,1,1,21,7,30,10,10,31,424,0,0,0,0,0,8,28,0.23,0,0,856,8,
SPI,CTRL,SD,13,1,1,30,10,11,SPI_CTRL_SD_13_1_1_301011,1,1,21,8,30,10,10,31,425,0,0,0,0,0,8,33,0.21,0,0,856,8,
SPI,CTRL,SD,13,1,1,30,10,11,SPI_CTRL_SD_13_1_1_301011,1,1,21,9,30,10,10,31,426,0,0,0,0,0,9,38,0.2,0,0,856,8,
SPI,CTRL,SD,13,1,1,30,10,11,SPI_CTRL_SD_13_1_1_301011,1,1,21,10,30,10,10,31,427,0,0,0,0,0,10,43,0.19,0,0,856,8,
SPI,CTRL,SD,13,1,1,30,10,11,SPI_CTRL_SD_13_1_1_301011,1,1,21,11,30,10,10,31,428,0,0,0,0,0,11,48,0.18,0,0,856,8,
SPI,CTRL,SD,13,1,1,30,10,11,SPI_CTRL_SD_13_1_1_301011,1,1,21,12,30,10,10,31,429,0,0,0,0,0,11,52,0.18,0,0,856,8,
SPI,CTRL,SD,13,1,1,30,10,11,SPI_CTRL_SD_13_1_1_301011,1,1,21,13,30,10,10,31,429,0,0,0,0,0,12,57,0.17,0,0,856,8,
SPI,CTRL,SD,13,1,1,30,10,11,SPI_CTRL_SD_13_1_1_301011,1,1,21,14,30,10,10,32,430,0,0,0,0,0,13,62,0.17,0,0,856,8,
SPI,CTRL,SD,13,1,1,30,10,11,SPI_CTRL_SD_13_1_1_301011,1,1,21,15,30,10,10,32,431,0,0,0,0,0,14,67,0.17,0,0,856,8,
SPI,CTRL,SD,13,1,1,30,10,11,SPI_CTRL_SD_13_1_1_301011,1,1,21,16,30,10,10,32,432,0,0,0,0,0,15,72,0.17,0,0,856,8,
SPI,CTRL,SD,13,1,1,30,10,11,SPI_CTRL_SD_13_1_1_301011,1,1,21,17,30,10,10,32,433,0,0,0,0,0,15,76,0.16,0,0,856,8,
SPI,CTRL,SD,13,1,1,30,10,11,SPI_CTRL_SD_13_1_1_301011,1,1,21,18,30,10,10,32,434,0,0,0,0,0,16,81,0.16,0,0,856,8,
SPI,CTRL,SD,13,1,1,30,10,11,SPI_CTRL_SD_13_1_1_301011,1,1,21,19,30,10,10,32,435,0,0,0,0,0,17,86,0.16,0,0,856,8,
SPI,CTRL,SD,13,1,1,30,10,11,SPI_CTRL_SD_13_1_1_301011,1,1,21,20,30,10,10,32,436,0,0,0,0,0,18,91,0.16,0,0,856,8,
SPI,CTRL,SD,13,1,1,30,10,11,SPI_CTRL_SD_13_1_1_301011,1,1,21,21,30,10,10,32,437,0,0,0,0,0,19,96,0.16,0,0,856,8,
SPI,CTRL,SD,13,1,1,30,10,11,SPI_CTRL_SD_13_1_1_301011,1,1,21,22,30,10,10,32,438,0,0,0,0,0,20,100,0.16,0,0,856,8,
SPI,CTRL,SD,13,1,1,30,10,11,SPI_CTRL_SD_13_1_1_301011,1,1,21,23,30,10,10,32,439,0,0,0,0,0,21,105,0.16,0,0,856,8,
SPI,CTRL,SD,13,1,1,30,10,11,SPI_CTRL_SD_13_1_1_301011,1,1,21,24,30,10,10,32,441,0,0,0,0,0,22,110,0.16,0,0,856,8,
SPI,CTRL,SD,13,1,1,30,10,11,SPI_CTRL_SD_13_1_1_301011,1,1,21,25,30,10,10,32,441,0,0,0,0,0,23,115,0.16,0,0,856,8,
SPI,CTRL,SD,13,1,1,30,10,11,SPI_CTRL_SD_13_1_1_301011,1,1,21,26,30,10,10,32,443,0,0,0,0,0,24,120,0.16,0,0,856,8,
