Plot,TypeMeas,Tipo,Subplot,Meas,DD,MM,YY,Id,Subplot,Tubo,Meas,;Plot,RecNo,Day,Month,Hour,Min,CO2 Ref,mb Ref,mbR Temp,Input A,Input B,Input C,Input D,Input E,Input F,Input G,Input H,ATMP,Probe Type,a
SPI,COMP,CNH,1,1,30,10,11,SPI_COMP_CNH_1_1_301011,1,1,1,1,1,30,10,8,33,439,0,0,0,0,0,0,0,0,0,0,856,8,
SPI,COMP,CNH,1,1,30,10,11,SPI_COMP_CNH_1_1_301011,1,1,1,1,2,30,10,8,33,441,0,0,0,0,0,0,4,0,0,0,856,8,
SPI,COMP,CNH,1,1,30,10,11,SPI_COMP_CNH_1_1_301011,1,1,1,1,3,30,10,8,34,442,0,0,0,0,0,0,9,0,0,0,856,8,
SPI,COMP,CNH,1,1,30,10,11,SPI_COMP_CNH_1_1_301011,1,1,1,1,4,30,10,8,34,444,0,0,0,0,0,5,14,0.32,0,0,856,8,
SPI,COMP,CNH,1,1,30,10,11,SPI_COMP_CNH_1_1_301011,1,1,1,1,5,30,10,8,34,447,0,0,0,0,0,8,19,0.35,0,0,856,8,
SPI,COMP,CNH,1,1,30,10,11,SPI_COMP_CNH_1_1_301011,1,1,1,1,6,30,10,8,34,450,0,0,0,0,0,10,24,0.37,0,0,856,8,
SPI,COMP,CNH,1,1,30,10,11,SPI_COMP_CNH_1_1_301011,1,1,1,1,7,30,10,8,34,453,0,0,0,0,0,13,28,0.39,0,0,856,8,
SPI,COMP,CNH,1,1,30,10,11,SPI_COMP_CNH_1_1_301011,1,1,1,1,8,30,10,8,34,455,0,0,0,0,0,16,33,0.4,0,0,856,8,
SPI,COMP,CNH,1,1,30,10,11,SPI_COMP_CNH_1_1_301011,1,1,1,1,9,30,10,8,34,459,0,0,0,0,0,20,38,0.42,0,0,856,8,
SPI,COMP,CNH,1,1,30,10,11,SPI_COMP_CNH_1_1_301011,1,1,1,1,10,30,10,8,34,462,0,0,0,0,0,23,43,0.44,0,0,856,8,
SPI,COMP,CNH,1,1,30,10,11,SPI_COMP_CNH_1_1_301011,1,1,1,1,11,30,10,8,34,465,0,0,0,0,0,26,48,0.45,0,0,856,8,
SPI,COMP,CNH,1,1,30,10,11,SPI_COMP_CNH_1_1_301011,1,1,1,1,12,30,10,8,34,468,0,0,0,0,0,30,52,0.46,0,0,856,8,
SPI,COMP,CNH,1,1,30,10,11,SPI_COMP_CNH_1_1_301011,1,1,1,1,13,30,10,8,34,472,0,0,0,0,0,33,57,0.47,0,0,856,8,
SPI,COMP,CNH,1,1,30,10,11,SPI_COMP_CNH_1_1_301011,1,1,1,1,14,30,10,8,34,475,0,0,0,0,0,36,62,0.48,0,0,856,8,
SPI,COMP,CNH,1,1,30,10,11,SPI_COMP_CNH_1_1_301011,1,1,1,1,15,30,10,8,35,478,0,0,0,0,0,40,67,0.49,0,0,856,8,
SPI,COMP,CNH,1,1,30,10,11,SPI_COMP_CNH_1_1_301011,1,1,1,1,16,30,10,8,35,482,0,0,0,0,0,44,72,0.49,0,0,856,8,
SPI,COMP,CNH,1,1,30,10,11,SPI_COMP_CNH_1_1_301011,1,1,1,1,17,30,10,8,35,485,0,0,0,0,0,47,76,0.5,0,0,856,8,
SPI,COMP,CNH,1,1,30,10,11,SPI_COMP_CNH_1_1_301011,1,1,1,1,18,30,10,8,35,489,0,0,0,0,0,51,81,0.51,0,0,856,8,a
SPI,COMP,CSH,1,1,30,10,11,SPI_COMP_CSH_1_1_301011,1,2,1,2,1,30,10,8,38,437,0,0,0,0,0,0,0,0,0,0,856,8,
SPI,COMP,CSH,1,1,30,10,11,SPI_COMP_CSH_1_1_301011,1,2,1,2,2,30,10,8,38,441,0,0,0,0,0,0,4,0,0,0,856,8,
SPI,COMP,CSH,1,1,30,10,11,SPI_COMP_CSH_1_1_301011,1,2,1,2,3,30,10,8,38,443,0,0,0,0,0,0,9,0,0,0,856,8,
SPI,COMP,CSH,1,1,30,10,11,SPI_COMP_CSH_1_1_301011,1,2,1,2,4,30,10,8,38,445,0,0,0,0,0,8,14,0.45,0,0,856,8,
SPI,COMP,CSH,1,1,30,10,11,SPI_COMP_CSH_1_1_301011,1,2,1,2,5,30,10,8,38,447,0,0,0,0,0,10,19,0.43,0,0,856,8,
SPI,COMP,CSH,1,1,30,10,11,SPI_COMP_CSH_1_1_301011,1,2,1,2,6,30,10,8,38,450,0,0,0,0,0,12,24,0.41,0,0,856,8,
SPI,COMP,CSH,1,1,30,10,11,SPI_COMP_CSH_1_1_301011,1,2,1,2,7,30,10,8,38,452,0,0,0,0,0,14,28,0.41,0,0,856,8,
SPI,COMP,CSH,1,1,30,10,11,SPI_COMP_CSH_1_1_301011,1,2,1,2,8,30,10,8,38,455,0,0,0,0,0,17,33,0.42,0,0,856,8,
SPI,COMP,CSH,1,1,30,10,11,SPI_COMP_CSH_1_1_301011,1,2,1,2,9,30,10,8,38,457,0,0,0,0,0,19,38,0.42,0,0,856,8,
SPI,COMP,CSH,1,1,30,10,11,SPI_COMP_CSH_1_1_301011,1,2,1,2,10,30,10,8,39,461,0,0,0,0,0,22,43,0.42,0,0,856,8,
SPI,COMP,CSH,1,1,30,10,11,SPI_COMP_CSH_1_1_301011,1,2,1,2,11,30,10,8,39,462,0,0,0,0,0,25,48,0.42,0,0,856,8,
SPI,COMP,CSH,1,1,30,10,11,SPI_COMP_CSH_1_1_301011,1,2,1,2,12,30,10,8,39,465,0,0,0,0,0,27,52,0.42,0,0,856,8,
SPI,COMP,CSH,1,1,30,10,11,SPI_COMP_CSH_1_1_301011,1,2,1,2,13,30,10,8,39,468,0,0,0,0,0,30,57,0.42,0,0,856,8,
SPI,COMP,CSH,1,1,30,10,11,SPI_COMP_CSH_1_1_301011,1,2,1,2,14,30,10,8,39,470,0,0,0,0,0,32,62,0.43,0,0,856,8,
SPI,COMP,CSH,1,1,30,10,11,SPI_COMP_CSH_1_1_301011,1,2,1,2,15,30,10,8,39,473,0,0,0,0,0,35,67,0.43,0,0,856,8,
SPI,COMP,CSH,1,1,30,10,11,SPI_COMP_CSH_1_1_301011,1,2,1,2,16,30,10,8,39,476,0,0,0,0,0,38,72,0.43,0,0,856,8,
SPI,COMP,CSH,1,1,30,10,11,SPI_COMP_CSH_1_1_301011,1,2,1,2,17,30,10,8,39,479,0,0,0,0,0,41,76,0.43,0,0,856,8,
SPI,COMP,CSH,1,1,30,10,11,SPI_COMP_CSH_1_1_301011,1,2,1,2,18,30,10,8,39,481,0,0,0,0,0,43,81,0.43,0,0,856,8,
SPI,COMP,CSH,1,1,30,10,11,SPI_COMP_CSH_1_1_301011,1,2,1,2,19,30,10,8,39,484,0,0,0,0,0,46,86,0.43,0,0,856,8,
SPI,COMP,CSH,1,1,30,10,11,SPI_COMP_CSH_1_1_301011,1,2,1,2,20,30,10,8,39,487,0,0,0,0,0,49,91,0.43,0,0,856,8,
SPI,COMP,CSH,1,1,30,10,11,SPI_COMP_CSH_1_1_301011,1,2,1,2,21,30,10,8,39,489,0,0,0,0,0,51,96,0.44,0,0,856,8,a
SPI,COMP,C2H,1,1,30,10,11,SPI_COMP_C2H_1_1_301011,1,3,1,3,1,30,10,8,41,446,0,0,0,0,0,0,0,0,0,0,856,8,
SPI,COMP,C2H,1,1,30,10,11,SPI_COMP_C2H_1_1_301011,1,3,1,3,2,30,10,8,41,448,0,0,0,0,0,0,4,0,0,0,856,8,
SPI,COMP,C2H,1,1,30,10,11,SPI_COMP_C2H_1_1_301011,1,3,1,3,3,30,10,8,41,450,0,0,0,0,0,0,9,0,0,0,856,8,
SPI,COMP,C2H,1,1,30,10,11,SPI_COMP_C2H_1_1_301011,1,3,1,3,4,30,10,8,41,452,0,0,0,0,0,6,14,0.34,0,0,856,8,
SPI,COMP,C2H,1,1,30,10,11,SPI_COMP_C2H_1_1_301011,1,3,1,3,5,30,10,8,41,455,0,0,0,0,0,8,19,0.38,0,0,856,8,
SPI,COMP,C2H,1,1,30,10,11,SPI_COMP_C2H_1_1_301011,1,3,1,3,6,30,10,8,41,457,0,0,0,0,0,11,24,0.38,0,0,856,8,
SPI,COMP,C2H,1,1,30,10,11,SPI_COMP_C2H_1_1_301011,1,3,1,3,7,30,10,8,41,460,0,0,0,0,0,14,28,0.4,0,0,856,8,
SPI,COMP,C2H,1,1,30,10,11,SPI_COMP_C2H_1_1_301011,1,3,1,3,8,30,10,8,42,463,0,0,0,0,0,16,33,0.41,0,0,856,8,
SPI,COMP,C2H,1,1,30,10,11,SPI_COMP_C2H_1_1_301011,1,3,1,3,9,30,10,8,42,466,0,0,0,0,0,19,38,0.42,0,0,856,8,
SPI,COMP,C2H,1,1,30,10,11,SPI_COMP_C2H_1_1_301011,1,3,1,3,10,30,10,8,42,468,0,0,0,0,0,22,43,0.43,0,0,856,8,
SPI,COMP,C2H,1,1,30,10,11,SPI_COMP_C2H_1_1_301011,1,3,1,3,11,30,10,8,42,472,0,0,0,0,0,25,48,0.44,0,0,856,8,
SPI,COMP,C2H,1,1,30,10,11,SPI_COMP_C2H_1_1_301011,1,3,1,3,12,30,10,8,42,474,0,0,0,0,0,28,52,0.44,0,0,856,8,
