plot_code,measurement_code,treatment_code,subplot,replica,year,egm_measurement,recno,day,month,hour,min,co2ref,inputD,time,inputF,atmp,probe_type
ACJ,COMP,CNH,1,1,2013,51,1,23,7,22,15,466,0,0,0,675,8
ACJ,COMP,CNH,1,1,2013,51,2,23,7,22,15,467,0,4,0,675,8
ACJ,COMP,CNH,1,1,2013,51,3,23,7,22,15,468,0,9,0,675,8
ACJ,COMP,CNH,1,1,2013,51,4,23,7,22,15,469,2,14,0.13,675,8
ACJ,COMP,CNH,1,1,2013,51,5,23,7,22,15,470,3,19,0.13,675,8
ACJ,COMP,CNH,1,1,2013,51,6,23,7,22,16,472,5,24,0.14,675,8
ACJ,COMP,CNH,1,1,2013,51,7,23,7,22,16,473,6,28,0.14,675,8
ACJ,COMP,CNH,1,1,2013,51,8,23,7,22,16,474,7,33,0.15,675,8
ACJ,COMP,CNH,1,1,2013,51,9,23,7,22,16,476,9,38,0.15,675,8
ACJ,COMP,CNH,1,1,2013,51,10,23,7,22,16,477,10,43,0.16,675,8
ACJ,COMP,CNH,1,1,2013,51,11,23,7,22,16,479,12,48,0.16,675,8
ACJ,COMP,CNH,1,1,2013,51,12,23,7,22,16,480,14,52,0.17,675,8
ACJ,COMP,CNH,1,1,2013,51,13,23,7,22,16,482,15,57,0.17,675,8
ACJ,COMP,CNH,1,1,2013,51,14,23,7,22,16,484,17,62,0.17,675,8
ACJ,COMP,CNH,1,1,2013,51,15,23,7,22,16,485,18,67,0.18,675,8
ACJ,COMP,CNH,1,1,2013,51,16,23,7,22,16,486,20,72,0.18,675,8
ACJ,COMP,CNH,1,1,2013,51,17,23,7,22,16,488,22,76,0.18,675,8
ACJ,COMP,CNH,1,1,2013,51,18,23,7,22,16,490,23,81,0.18,675,8
ACJ,COMP,CNH,1,1,2013,51,19,23,7,22,17,492,25,86,0.19,675,8
ACJ,COMP,CNH,1,1,2013,51,20,23,7,22,17,493,27,91,0.19,675,8
ACJ,COMP,CNH,1,1,2013,51,21,23,7,22,17,495,29,96,0.19,675,8
ACJ,COMP,CNH,1,1,2013,51,22,23,7,22,17,497,30,100,0.19,675,8
ACJ,COMP,CNH,1,1,2013,51,23,23,7,22,17,498,32,105,0.19,675,8
ACJ,COMP,CNH,1,1,2013,51,24,23,7,22,17,500,34,110,0.2,675,8
ACJ,COMP,CNH,1,1,2013,51,25,23,7,22,17,502,36,115,0.2,675,8
ACJ,COMP,CNH,1,1,2013,51,26,23,7,22,17,503,38,120,0.2,675,8
ACJ,COMP,CNH,1,1,2013,51,27,23,7,22,17,505,39,124,0.2,675,8
ACJ,COMP,CSH,1,1,2013,52,1,23,7,22,19,461,0,0,0,675,8
ACJ,COMP,CSH,1,1,2013,52,2,23,7,22,19,461,0,4,0,675,8
ACJ,COMP,CSH,1,1,2013,52,3,23,7,22,19,462,0,9,0,675,8
ACJ,COMP,CSH,1,1,2013,52,4,23,7,22,19,462,1,14,0.05,675,8
ACJ,COMP,CSH,1,1,2013,52,5,23,7,22,19,462,1,19,0.04,675,8
ACJ,COMP,CSH,1,1,2013,52,6,23,7,22,19,463,2,24,0.05,675,8
ACJ,COMP,CSH,1,1,2013,52,7,23,7,22,19,464,2,28,0.06,675,8
ACJ,COMP,CSH,1,1,2013,52,8,23,7,22,19,464,3,33,0.06,675,8
ACJ,COMP,CSH,1,1,2013,52,9,23,7,22,19,465,4,38,0.07,675,8
ACJ,COMP,CSH,1,1,2013,52,10,23,7,22,19,466,5,43,0.07,675,8
ACJ,COMP,CSH,1,1,2013,52,11,23,7,22,19,466,5,48,0.07,675,8
ACJ,COMP,CSH,1,1,2013,52,12,23,7,22,19,467,6,52,0.07,675,8
ACJ,COMP,CSH,1,1,2013,52,13,23,7,22,20,468,7,57,0.08,675,8
ACJ,COMP,CSH,1,1,2013,52,14,23,7,22,20,468,7,62,0.08,675,8
ACJ,COMP,CSH,1,1,2013,52,15,23,7,22,20,469,8,67,0.08,675,8
ACJ,COMP,CSH,1,1,2013,52,16,23,7,22,20,470,9,72,0.08,675,8
ACJ,COMP,CSH,1,1,2013,52,17,23,7,22,20,470,9,76,0.08,675,8
ACJ,COMP,CSH,1,1,2013,52,18,23,7,22,20,471,10,81,0.08,675,8
ACJ,COMP,CSH,1,1,2013,52,19,23,7,22,20,472,11,86,0.08,675,8
ACJ,COMP,CSH,1,1,2013,52,20,23,7,22,20,472,11,91,0.08,675,8
ACJ,COMP,CSH,1,1,2013,52,21,23,7,22,20,473,12,96,0.08,675,8
ACJ,COMP,CSH,1,1,2013,52,22,23,7,22,20,474,13,100,0.08,675,8
ACJ,COMP,CSH,1,1,2013,52,23,23,7,22,20,474,13,105,0.08,675,8
ACJ,COMP,CSH,1,1,2013,52,24,23,7,22,20,475,14,110,0.08,675,8
ACJ,COMP,CSH,1,1,2013,52,25,23,7,22,20,475,15,115,0.08,675,8
ACJ,COMP,CSH,1,1,2013,52,26,23,7,22,21,476,15,120,0.08,675,8
ACJ,COMP,CSH,1,1,2013,52,27,23,7,22,21,477,16,124,0.08,675,8
ACJ,COMP,C2H,1,1,2013,53,1,23,7,22,22,461,0,0,0,675,8
ACJ,COMP,C2H,1,1,2013,53,2,23,7,22,22,461,0,4,0,675,8
ACJ,COMP,C2H,1,1,2013,53,3,23,7,22,22,462,0,9,0,675,8
ACJ,COMP,C2H,1,1,2013,53,4,23,7,22,22,463,1,14,0.08,675,8
ACJ,COMP,C2H,1,1,2013,53,5,23,7,22,22,464,3,19,0.1,675,8
ACJ,COMP,C2H,1,1,2013,53,6,23,7,22,22,464,4,24,0.1,675,8
ACJ,COMP,C2H,1,1,2013,53,7,23,7,22,22,466,5,28,0.11,675,8
ACJ,COMP,C2H,1,1,2013,53,8,23,7,22,22,467,6,33,0.12,675,8
ACJ,COMP,C2H,1,1,2013,53,9,23,7,22,22,468,7,38,0.13,675,8
ACJ,COMP,C2H,1,1,2013,53,10,23,7,22,22,469,9,43,0.13,675,8
ACJ,COMP,C2H,1,1,2013,53,11,23,7,22,23,471,10,48,0.14,675,8
ACJ,COMP,C2H,1,1,2013,53,12,23,7,22,23,472,11,52,0.14,675,8
ACJ,COMP,C2H,1,1,2013,53,13,23,7,22,23,474,13,57,0.14,675,8
ACJ,COMP,C2H,1,1,2013,53,14,23,7,22,23,475,14,62,0.15,675,8
ACJ,COMP,C2H,1,1,2013,53,15,23,7,22,23,476,16,67,0.15,675,8
ACJ,COMP,C2H,1,1,2013,53,16,23,7,22,23,477,17,72,0.15,675,8
ACJ,COMP,C2H,1,1,2013,53,17,23,7,22,23,478,18,76,0.15,675,8
ACJ,COMP,C2H,1,1,2013,53,18,23,7,22,23,480,20,81,0.15,675,8
