plot_code,measurement_code,subplot,replica,year,egm_measurement,recno,day,month,hour,min,co2ref,inputD,time,inputF,atmp,probe_type
ACJ,TOT,1,1,2013,51,1,23,7,22,48,463,0,0,0,675,8
ACJ,TOT,1,1,2013,51,2,23,7,22,48,465,0,4,0,675,8
ACJ,TOT,1,1,2013,51,3,23,7,22,48,466,0,9,0,675,8
ACJ,TOT,1,1,2013,51,4,23,7,22,48,467,4,14,0.18,675,8
ACJ,TOT,1,1,2013,51,5,23,7,22,48,468,5,19,0.17,675,8
ACJ,TOT,1,1,2013,51,6,23,7,22,48,469,6,24,0.17,675,8
ACJ,TOT,1,1,2013,51,7,23,7,22,48,470,7,28,0.16,675,8
ACJ,TOT,1,1,2013,51,8,23,7,22,48,472,8,33,0.16,675,8
ACJ,TOT,1,1,2013,51,9,23,7,22,48,473,9,38,0.16,675,8
ACJ,TOT,1,1,2013,51,10,23,7,22,48,474,10,43,0.16,675,8
ACJ,TOT,1,1,2013,51,11,23,7,22,49,475,12,48,0.16,675,8
ACJ,TOT,1,1,2013,51,12,23,7,22,49,476,13,52,0.16,675,8
ACJ,TOT,1,1,2013,51,13,23,7,22,49,478,14,57,0.16,675,8
ACJ,TOT,1,1,2013,51,14,23,7,22,49,479,15,62,0.16,675,8
ACJ,TOT,1,1,2013,51,15,23,7,22,49,481,17,67,0.16,675,8
ACJ,TOT,1,1,2013,51,16,23,7,22,49,482,18,72,0.16,675,8
ACJ,TOT,1,1,2013,51,17,23,7,22,49,483,19,76,0.16,675,8
ACJ,TOT,1,1,2013,51,18,23,7,22,49,484,21,81,0.16,675,8
ACJ,TOT,1,1,2013,51,19,23,7,22,49,486,22,86,0.16,675,8
ACJ,TOT,1,1,2013,51,20,23,7,22,49,487,23,91,0.16,675,8
ACJ,TOT,1,1,2013,51,21,23,7,22,49,488,24,96,0.16,675,8
ACJ,TOT,1,1,2013,51,22,23,7,22,49,489,26,100,0.16,675,8
ACJ,TOT,1,1,2013,51,23,23,7,22,50,491,27,105,0.16,675,8
ACJ,TOT,1,1,2013,51,24,23,7,22,50,492,28,110,0.16,675,8
ACJ,TOT,1,1,2013,51,25,23,7,22,50,493,30,115,0.16,675,8
ACJ,TOT,1,1,2013,51,26,23,7,22,50,494,31,120,0.16,675,8
ACJ,TOT,1,1,2013,51,27,23,7,22,50,496,32,124,0.16,675,8
ACJ,TOT,1,2,2013,52,1,23,7,22,51,465,0,0,0,675,8
ACJ,TOT,1,2,2013,52,2,23,7,22,51,467,0,4,0,675,8
ACJ,TOT,1,2,2013,52,3,23,7,22,51,468,0,9,0,675,8
ACJ,TOT,1,2,2013,52,4,23,7,22,51,469,4,14,0.19,675,8
ACJ,TOT,1,2,2013,52,5,23,7,22,51,471,5,19,0.19,675,8
ACJ,TOT,1,2,2013,52,6,23,7,22,51,472,7,24,0.18,675,8
ACJ,TOT,1,2,2013,52,7,23,7,22,51,473,8,28,0.18,675,8
ACJ,TOT,1,2,2013,52,8,23,7,22,51,474,9,33,0.17,675,8
ACJ,TOT,1,2,2013,52,9,23,7,22,52,475,10,38,0.17,675,8
ACJ,TOT,1,2,2013,52,10,23,7,22,52,476,11,43,0.16,675,8
ACJ,TOT,1,2,2013,52,11,23,7,22,52,478,12,48,0.16,675,8
ACJ,TOT,1,2,2013,52,12,23,7,22,52,479,13,52,0.16,675,8
ACJ,TOT,1,2,2013,52,13,23,7,22,52,480,15,57,0.16,675,8
ACJ,TOT,1,2,2013,52,14,23,7,22,52,481,16,62,0.16,675,8
ACJ,TOT,1,2,2013,52,15,23,7,22,52,483,17,67,0.16,675,8
ACJ,TOT,1,2,2013,52,16,23,7,22,52,484,18,72,0.16,675,8
ACJ,TOT,1,2,2013,52,17,23,7,22,52,485,19,76,0.16,675,8
ACJ,TOT,1,2,2013,52,18,23,7,22,52,486,21,81,0.16,675,8
ACJ,TOT,1,2,2013,52,19,23,7,22,52,487,22,86,0.16,675,8
ACJ,TOT,1,2,2013,52,20,23,7,22,52,489,23,91,0.16,675,8
ACJ,TOT,1,2,2013,52,21,23,7,22,52,490,24,96,0.16,675,8
ACJ,TOT,1,2,2013,52,22,23,7,22,53,491,25,100,0.16,675,8
ACJ,TOT,1,2,2013,52,23,23,7,22,53,492,26,105,0.16,675,8
ACJ,TOT,1,2,2013,52,24,23,7,22,53,493,28,110,0.16,675,8
ACJ,TOT,1,2,2013,52,25,23,7,22,53,494,29,115,0.16,675,8
ACJ,TOT,1,2,2013,52,26,23,7,22,53,496,30,120,0.16,675,8
ACJ,TOT,1,2,2013,52,27,23,7,22,53,497,31,124,0.16,675,8
ACJ,TOT,2,1,2013,53,1,23,7,22,54,464,0,0,0,675,8
ACJ,TOT,2,1,2013,53,2,23,7,22,54,465,0,4,0,675,8
ACJ,TOT,2,1,2013,53,3,23,7,22,54,466,0,9,0,675,8
ACJ,TOT,2,1,2013,53,4,23,7,22,54,467,3,14,0.15,675,8
ACJ,TOT,2,1,2013,53,5,23,7,22,54,469,4,19,0.15,675,8
ACJ,TOT,2,1,2013,53,6,23,7,22,55,470,5,24,0.15,675,8
ACJ,TOT,2,1,2013,53,7,23,7,22,55,471,7,28,0.15,675,8
ACJ,TOT,2,1,2013,53,8,23,7,22,55,473,8,33,0.16,675,8
ACJ,TOT,2,1,2013,53,9,23,7,22,55,474,9,38,0.16,675,8
ACJ,TOT,2,1,2013,53,10,23,7,22,55,475,10,43,0.16,675,8
ACJ,TOT,2,1,2013,53,11,23,7,22,55,476,12,48,0.16,675,8
ACJ,TOT,2,1,2013,53,12,23,7,22,55,478,13,52,0.16,675,8
ACJ,TOT,2,1,2013,53,13,23,7,22,55,479,14,57,0.16,675,8
ACJ,TOT,2,1,2013,53,14,23,7,22,55,480,16,62,0.16,675,8
ACJ,TOT,2,1,2013,53,15,23,7,22,55,481,17,67,0.16,675,8
ACJ,TOT,2,1,2013,53,16,23,7,22,55,482,18,72,0.16,675,8
ACJ,TOT,2,1,2013,53,17,23,7,22,55,484,20,76,0.16,675,8
ACJ,TOT,2,1,2013,53,18,23,7,22,56,485,21,81,0.16,675,8
ACJ,TOT,2,1,2013,53,19,23,7,22,56,487,22,86,0.16,675,8
ACJ,TOT,2,1,2013,53,20,23,7,22,56,488,24,91,0.16,675,8
ACJ,TOT,2,1,2013,53,21,23,7,22,56,489,25,96,0.17,675,8
ACJ,TOT,2,1,2013,53,22,23,7,22,56,490,26,100,0.17,675,8
ACJ,TOT,2,1,2013,53,23,23,7,22,56,492,28,105,0.17,675,8
ACJ,TOT,2,1,2013,53,24,23,7,22,56,493,29,110,0.17,675,8
ACJ,TOT,2,1,2013,53,25,23,7,22,56,494,30,115,0.17,675,8
ACJ,TOT,2,1,2013,53,26,23,7,22,56,496,32,120,0.17,675,8
ACJ,TOT,2,1,2013,53,27,23,7,22,56,497,33,124,0.17,675,8
ACJ,TOT,2,2,2013,54,1,23,7,22,57,463,0,0,0,675,8
ACJ,TOT,2,2,2013,54,2,23,7,22,57,465,0,4,0,675,8
ACJ,TOT,2,2,2013,54,3,23,7,22,57,466,0,9,0,675,8
ACJ,TOT,2,2,2013,54,4,23,7,22,57,468,4,14,0.18,675,8
ACJ,TOT,2,2,2013,54,5,23,7,22,57,468,5,19,0.16,675,8
