"","Year","Month","Day","totflfAs","totflfAsstd","seedsfAs","seedsfAsstd","leafflfAs","leafflfAsstd","fruitflfAs","fruitflfAsstd","flowerflfAs","flowerflfAsstd","branchflfAs","branchflfAsstd","date","yearmonth"
"1",2013,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013-01-15,ene 2013
"2",2013,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013-02-15,feb 2013
"3",2013,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013-03-15,mar 2013
"4",2013,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013-04-15,abr 2013
"5",2013,5,NA,1.37777952755906,0.109256430544241,NA,NA,1.16833070866142,0.0997700175375655,0.0250178954903364,0.00806600317239532,0.0197412823397075,NA,0.158005249343832,0.0402277672767944,2013-05-15,may 2013
"6",2013,6,NA,0.252251968503937,0.0225400780413519,NA,NA,0.205716535433071,0.019748416611632,0.00517435320584927,0.000979994252005736,0.0158605174353206,NA,0.0402418447694038,0.012142538220772,2013-06-15,jun 2013
"7",2013,7,NA,0.264582677165354,0.0239429372577487,NA,NA,0.241543307086614,0.0206819248979401,0.00659448818897638,0.00170543553454104,0.0182633420822397,NA,0.00807086614173228,0.00129263426451827,2013-07-15,jul 2013
"8",2013,8,NA,0.352677165354331,0.0263263293963396,NA,NA,0.282724409448819,0.0201209391357457,0.0148556430446194,0.00439289301841151,0.0476159230096238,NA,0.0311811023622047,0.0085686410649742,2013-08-15,ago 2013
"9",2013,9,NA,0.316299212598425,0.0288011254237802,NA,NA,0.253826771653543,0.0228555262482292,0.0113353018372703,0.00300838652396771,0.0151137357830271,NA,0.0272590926134233,0.00550279942520023,2013-09-15,sep 2013
"10",2013,10,NA,0.360094488188976,0.0322383325140559,NA,NA,0.258157480314961,0.0206079143705908,0.0119650804519,0.00266965335515808,0.0110236220472441,NA,0.0758967629046369,0.0269337727566807,2013-10-15,oct 2013
"11",2013,11,NA,0.507149606299213,0.051643223034376,NA,NA,0.354031496062992,0.0291911304836052,0.0305610236220472,0.0099721234261125,0.015748031496063,NA,0.092555476020043,0.0329368964016051,2013-11-15,nov 2013
"12",2013,12,NA,0.316188976377953,0.0418349546710268,NA,NA,0.233952755905512,0.033120418756274,0.00828412073490814,0.00213559635762544,0.0184251968503937,NA,0.0503937007874016,0.0138345582795406,2013-12-15,dic 2013
"13",2014,1,NA,0.451574803149606,0.0747993851794878,NA,NA,0.298913385826772,0.0265250947562487,0.0163922691481747,0.00430829290695586,0.0179790026246719,NA,0.113582677165354,0.0572863410681251,2014-01-15,ene 2014
"14",2014,2,NA,0.506125984251969,0.159231012055955,NA,NA,0.31259842519685,0.0503363867810388,0.0130708661417323,0.00391211358660873,0.0119094488188976,NA,0.0935826771653543,0.0401435996585197,2014-02-15,feb 2014
"15",2014,3,NA,0.527275590551181,0.0506559853395862,NA,NA,0.345669291338583,0.0279790457125923,0.033251312335958,0.0115072888675731,0.000393700787401575,NA,0.0919760029996251,0.0182197727526535,2014-03-15,mar 2014
"16",2014,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-04-15,abr 2014
"17",2014,5,NA,0.596535433070866,0.0505640421984312,NA,NA,0.448724409448819,0.0296692774071998,0.0372979693327808,0.00939485325881175,0.012992125984252,NA,0.0700472440944882,0.0234199570663308,2014-05-15,may 2014
"18",2014,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-06-15,jun 2014
"19",2014,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-07-15,jul 2014
"20",2014,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-08-15,ago 2014
"21",2014,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-09-15,sep 2014
"22",2014,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-10-15,oct 2014
"23",2014,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-11-15,nov 2014
"24",2014,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-12-15,dic 2014
