"","Tag.No","Old.No","T1","T2","X","Y","Family","genus","species","Old.Tree.Notes","D..2013.1","POM..2013.1","F1..2013.1","F2..2013.1","Height..2013.1","F5..2013.1","F3..2013.1","F4..2013.1","LI..2013.1","CI..2013.1","Census.Notes..2013.1","D..2014.2","POM..2014.2","F1","F2","Height..2014.2","F5","F3","F4","LI..2014.2","CI..2014.2","Tree.ID","D..2015.1","POM..2015.1","F1.1","F2.1","Height..2015.1","F5.1","F3.1","F4.1","LI..2015.1","CI..2015.1","Census.Notes","Tree.ID.1","New.Tag.No","wdensity","height","density","tag","plot","DBH.1","DBH.2","DBH.3","dbh_growth_yr","recruits","srink","missing","overgrown","value_replaced"
"1",1,NA,1,NA,NA,NA,"Symplocaceae","Symplocos","quitensis",NA,129,1300,"a",1,8,4,0,0,0,1,NA,130,1300,"a","1",NA,NA,0,0,NA,NA,1105383,132,1300,"m","1",7000,NA,0,0,2,"3b",NA,1105383,NA,0.574563977,7.5,0.574563977,"1","ACJ-01",12.9,13,13.2,0.0875299760191843,"ok","ok","ok","ok",NA
"2",2,NA,1,NA,NA,NA,"Cunoniaceae","Weinmannia","cochensis",NA,234,1300,"a",1,8.4,4,0,0,0,1,NA,234,1300,"ah","1",NA,NA,0,0,NA,NA,1105384,268,1300,"ah","1",7000,NA,0,0,0,"3b",NA,1105384,NA,0.639235706846016,7.7,0.639235706846016,"2","ACJ-01",23.4,23.4,26.8,0,"ok","ok","ok","ok",NA
"3",3,NA,1,2,NA,NA,"Cunoniaceae","Weinmannia","cochensis",NA,119,1300,"a",1,7,4,0,0,0,1,NA,112,1300,"ah","1",NA,NA,0,0,NA,NA,1105385,115,1300,"ah","1",7000,NA,0,0,0,"3a",NA,1105385,NA,0.639235706846016,7,0.639235706846016,"3","ACJ-01",11.9,11.2,11.5,-0.612709832134293,"ok","ok","ok","ok",NA
"4",4,NA,1,NA,NA,NA,"Cunoniaceae","Weinmannia","cochensis",NA,134,1300,"a",1,8.5,4,0,0,0,1,NA,131,1300,"c","1",NA,NA,0,0,NA,NA,1105386,130,1300,"c","1",8000,NA,0,0,1,"3a",NA,1105386,NA,0.639235706846016,8.25,0.639235706846016,"4","ACJ-01",13.4,13.1,13,-0.262589928057555,"ok","ok","ok","ok",NA
"5",5,NA,1,NA,NA,NA,"Rosaceae","Polylepis","pauta",NA,312,1300,"a",1,9,4,0,0,0,1,NA,317,1300,"c","1",NA,NA,0,0,NA,NA,1105387,327,1300,"c","1",10000,NA,0,0,0,"3b",NA,1105387,NA,0.669763012681063,9.5,0.669763012681063,"5","ACJ-01",31.2,31.7,32.7,0.437649880095923,"ok","ok","ok","ok",NA
"6",6,NA,1,NA,NA,NA,"Cunoniaceae","Weinmannia","cochensis",NA,128,1300,"a",1,7,4,0,0,0,1,NA,131,1300,"c","1",NA,NA,0,0,NA,NA,1105388,131,1300,"c","1",8000,NA,0,0,0,"2a",NA,1105388,NA,0.639235706846016,7.5,0.639235706846016,"6","ACJ-01",12.8,13.1,13.1,0.262589928057553,"ok","ok","ok","ok",NA
"7",7,NA,1,NA,NA,NA,"Melastomataceae","Miconia","indet",NA,184,1300,"a",1,7,4,0,0,0,1,NA,184,1300,"c","1",NA,NA,0,0,NA,NA,1105389,186,1300,"c","1",7000,NA,0,0,0,"2b",NA,1105389,NA,0.599808019773585,7,0.599808019773585,"7","ACJ-01",18.4,18.4,18.6,0,"ok","ok","ok","ok",NA
"8",8,NA,1,NA,NA,NA,"Clethraceae","Clethra","indet",NA,96,1300,"a",1,7,4,0,0,0,1,NA,100,1300,"c","1",NA,NA,0,0,NA,NA,1105390,104,1300,"c","1",9000,NA,0,0,0,"1",NA,1105390,NA,0.540014577613546,8,0.540014577613546,"8","ACJ-01",9.6,10,10.4,0.350119904076739,"ok","ok","ok","ok",NA
"9",9,NA,1,NA,NA,NA,"Melastomataceae","Miconia","indet",NA,109,1300,"a",1,6,4,0,0,0,1,NA,111,1300,"a","1",NA,NA,0,0,NA,NA,1105391,112,1300,"a","1",7000,NA,0,0,0,"3a",NA,1105391,NA,0.599808019773585,6.5,0.599808019773585,"9","ACJ-01",10.9,11.1,11.2,0.175059952038369,"ok","ok","ok","ok",NA
"10",10,NA,1,NA,NA,NA,"Symplocaceae","Symplocos","quitensis",NA,170,1300,"a",1,10,4,0,0,0,1,NA,174,1300,"a","1",NA,NA,0,0,NA,NA,1105392,179,1300,"a","1",9000,NA,0,0,1,"2c",NA,1105392,NA,0.574563977,9.5,0.574563977,"10","ACJ-01",17,17.4,17.9,0.350119904076737,"ok","ok","ok","ok",NA
"11",11,NA,1,NA,NA,NA,"Cunoniaceae","Weinmannia","cochensis",NA,141,1300,"a",1,4,4,0,0,0,1,NA,143,1300,"c","1",NA,NA,0,0,NA,NA,1105393,143,1300,"c","1",6000,NA,0,0,1,"3a",NA,1105393,NA,0.639235706846016,5,0.639235706846016,"11","ACJ-01",14.1,14.3,14.3,0.17505995203837,"ok","ok","ok","ok",NA
"12",12,NA,1,NA,NA,NA,"Chloranthaceae","Hedyosmum","indet",NA,136,1300,"a",1,6,4,0,0,0,1,NA,140,1300,"c","1",NA,NA,0,0,NA,NA,1105394,142,1300,"c","1",7000,NA,0,0,1,"3a",NA,1105394,NA,0.430781927700787,6.5,0.430781927700787,"12","ACJ-01",13.6,14,14.2,0.350119904076739,"ok","ok","ok","ok",NA
"13",13,NA,1,NA,NA,NA,"Rosaceae","Polylepis","pauta",NA,495,1300,"a",1,8.5,4,0,0,0,1,NA,500,1300,"ah","1",NA,NA,0,0,NA,NA,1105395,509,1300,"c","1",11000,NA,0,0,1,"3b",NA,1105395,NA,0.669763012681063,9.75,0.669763012681063,"13","ACJ-01",49.5,50,50.9,0.437649880095923,"ok","ok","ok","ok",NA
"14",14,NA,1,NA,NA,NA,"Chloranthaceae","Hedyosmum","indet",NA,104,1300,"a",1,7,4,0,0,0,1,NA,108,1300,"a","1",NA,NA,0,0,NA,NA,1105396,113,1300,"c","1",10000,NA,0,0,0,"3b",NA,1105396,NA,0.430781927700787,8.5,0.430781927700787,"14","ACJ-01",10.4,10.8,11.3,0.350119904076739,"ok","ok","ok","ok",NA
"15",15,NA,1,NA,NA,NA,"Melastomataceae","Miconia","indet",NA,249,1300,"a",1,7,4,0,0,0,1,NA,260,1300,"a","1",NA,NA,0,0,NA,NA,1105397,251,1300,"c","1",10000,NA,0,0,0,"3b",NA,1105397,NA,0.599808019773585,8.5,0.599808019773585,"15","ACJ-01",24.9,26,25.1,0.962829736211032,"ok","ok","ok","ok",NA
"16",16,NA,1,NA,NA,NA,"Cunoniaceae","Weinmannia","cochensis",NA,172,1300,"a",1,8,4,0,0,0,1,NA,171,1300,"c","1",NA,NA,0,0,NA,NA,1105398,170,1300,"c","1",9000,NA,0,0,0,"3a",NA,1105398,NA,0.639235706846016,8.5,0.639235706846016,"16","ACJ-01",17.2,17.1,17,-0.0875299760191828,"ok","ok","ok","ok",NA
"17",17,NA,1,NA,NA,NA,"Cunoniaceae","Weinmannia","cochensis",NA,210,1300,"a",1,8.5,4,0,0,0,1,NA,212,1300,"a","1",NA,NA,0,0,NA,NA,1105399,215,1300,"a","1",13000,NA,0,0,0,"3b",NA,1105399,NA,0.639235706846016,10.75,0.639235706846016,"17","ACJ-01",21,21.2,21.5,0.175059952038369,"ok","ok","ok","ok",NA
"18",18,NA,1,NA,NA,NA,"Symplocaceae","Symplocos","baehnii",NA,208,1300,"a",1,6,4,0,0,0,1,NA,208,1300,"ah","1",NA,NA,0,0,NA,NA,1105400,210,1300,"c","1",6000,NA,0,0,1,"2c",NA,1105400,NA,0.574563977,6,0.574563977,"18","ACJ-01",20.8,20.8,21,0,"ok","ok","ok","ok",NA
"19",19,NA,1,NA,NA,NA,"Melastomataceae","Miconia","setulosa",NA,160,1300,"a",1,9,4,0,0,0,1,NA,160,1300,"c","1",NA,NA,0,0,NA,NA,1105401,168,1300,"d","1",5000,NA,0,0,0,"1",NA,1105401,NA,0.599808019773585,7,0.599808019773585,"19","ACJ-01",16,16,16.8,0,"ok","ok","ok","ok",NA
"20",20,NA,1,NA,NA,NA,"Melastomataceae","Miconia","setulosa",NA,256,1300,"a",1,9.5,4,0,0,0,1,NA,258,1300,"c","1",NA,NA,0,0,NA,NA,1105402,263,1300,"c","1",9000,NA,0,0,0,"3a",NA,1105402,NA,0.599808019773585,9.25,0.599808019773585,"20","ACJ-01",25.6,25.8,26.3,0.175059952038369,"ok","ok","ok","ok",NA
"21",21,NA,1,NA,NA,NA,"Melastomataceae","Miconia","setulosa",NA,162,1300,"a",1,8,4,0,0,0,1,NA,164,1300,"a","1",NA,NA,0,0,NA,NA,1105403,164,1300,"a","1",7000,NA,0,0,0,"3a",NA,1105403,NA,0.599808019773585,7.5,0.599808019773585,"21","ACJ-01",16.2,16.4,16.4,0.175059952038369,"ok","ok","ok","ok",NA
"22",22,NA,1,NA,NA,NA,"Melastomataceae","Miconia","setulosa",NA,223,1300,"a",1,9,4,0,0,0,1,NA,225,1300,"c","1",NA,NA,0,0,NA,NA,1105404,228,1300,"c","1",9000,NA,0,0,0,"2b",NA,1105404,NA,0.599808019773585,9,0.599808019773585,"22","ACJ-01",22.3,22.5,22.8,0.175059952038369,"ok","ok","ok","ok",NA
"23",23,NA,1,NA,NA,NA,"Clethraceae","Clethra","cuneata",NA,499,1300,"a",1,12,4,0,0,0,1,NA,500,1300,"a","1",NA,NA,0,0,NA,NA,1105405,507,1300,"a","1",11000,NA,0,0,0,"2c",NA,1105405,NA,0.540014577613546,11.5,0.540014577613546,"23","ACJ-01",49.9,50,50.7,0.0875299760191859,"ok","ok","ok","ok",NA
"24",24,NA,1,NA,NA,NA,"Cunoniaceae","Weinmannia","fagaroides",NA,740,1300,"a",1,5,4,0,0,0,1,NA,280,1300,"a","1",NA,NA,0,0,NA,NA,1105406,759,1300,"c","1",11000,NA,0,0,0,"3b",NA,1105406,NA,0.639235706846016,8,0.639235706846016,"24","ACJ-01",74,74,75.9,-40.2637889688249,"ok","shrunk.dbh.2","ok","ok",NA
