plot_code,sub_plot,tree_tag,year,month,day,dend_pom_height_m,dendrometer_reading_mm,comments,status_code_aintact_bmoved_cbroken,mortality_aalive_ddead
ACJ-01,1,6,2013,6,21,1.4,-1.8,,,
ACJ-01,1,10,2013,6,21,1.4,-0.7,,,
ACJ-01,1,17,2013,6,21,1.4,1.2,,,
ACJ-01,1,20,2013,6,21,1.4,-1.9,,,
ACJ-01,1,23,2013,6,21,1.4,-2.6,,,
ACJ-01,1,28,2013,6,21,1.4,-1,,,
ACJ-01,1,29,2013,6,21,1.4,-1.8,,,
ACJ-01,1,38,2013,6,21,1.4,-1.1,,,
ACJ-01,2,42,2013,6,21,1.4,-1,no creció,,
ACJ-01,2,43,2013,6,21,1.4,-0.1,,,
ACJ-01,2,48,2013,6,21,1.4,0,,,
ACJ-01,2,50,2013,6,21,1.4,0,,,
ACJ-01,2,57,2013,6,21,1.4,-2.4,,,
ACJ-01,2,62,2013,6,21,1.45,-2.3,,,
ACJ-01,2,70,2013,6,21,1.7,1.16,,,
ACJ-01,2,75,2013,6,21,1.35,0,,,
ACJ-01,3,85,2013,6,21,1.4,-1,vivo,,
ACJ-01,3,86,2013,6,21,1.35,0,cerca del derrumbe,,
ACJ-01,3,95,2013,6,21,1.4,0,,,
ACJ-01,3,97,2013,6,21,1.4,0,quebrado a 2 metros,,
ACJ-01,3,98,2013,6,21,1.35,-0.5,quebrado a 5 metros,,
ACJ-01,3,103,2013,6,21,1.35,-0.3,,,
ACJ-01,4,105,2013,6,21,1.4,0.9,,,
ACJ-01,4,108,2013,6,21,1.4,-1.5,,,
ACJ-01,4,109,2013,6,21,1.4,1,"desenraizado, dendro roto",,
ACJ-01,4,111,2013,6,21,1.5,-1,,,
ACJ-01,4,119,2013,6,21,1.4,-1.4,,,
ACJ-01,4,120,2013,6,21,1.4,-1.4,,,
ACJ-01,4,123,2013,6,21,1.4,-1.1,,,
ACJ-01,4,133,2013,6,21,1.4,0,,,
ACJ-01,4,136,2013,6,21,1.4,-1.3,no creci½,,
ACJ-01,4,137,2013,6,21,1.4,-2.8,,,
ACJ-01,5,143,2013,6,21,1.45,-0.9,,,
ACJ-01,5,144,2013,6,21,1.4,-0.9,,,
ACJ-01,5,155,2013,6,21,1.4,-1.6,sin placa,,
ACJ-01,5,158,2013,6,21,1.4,-0.9,,,
ACJ-01,5,159,2013,6,21,1.4,0,,,
ACJ-01,5,162,2013,6,21,1.35,0,,,
ACJ-01,5,163,2013,6,21,1.4,2.95,,,
ACJ-01,5,168,2013,6,21,1.35,-0.6,,,
ACJ-01,6,184,2013,6,21,1.4,5,,,
ACJ-01,6,191,2013,6,21,1.4,1.8,,,
ACJ-01,6,194,2013,6,21,1.4,0,,,
ACJ-01,6,199,2013,6,21,1.4,0,,,
ACJ-01,6,200,2013,6,21,1.5,0,,,
ACJ-01,6,211,2013,6,21,1.4,-0.3,no creci½,,
ACJ-01,6,215,2013,6,21,1.4,0.9,,,
ACJ-01,6,229,2013,6,21,1.4,-1,,,
ACJ-01,6,232,2013,6,21,1.4,2.9,,,
ACJ-01,7,239,2013,6,21,1.35,0,,,
ACJ-01,7,240,2013,6,21,1.5,-0.7,,,
ACJ-01,7,244,2013,6,21,1.4,,k,,
ACJ-01,7,249,2013,6,21,1.4,-0.8,cerca del derrumbe del lado SP 6,,
ACJ-01,7,255,2013,6,21,1.4,-1.3,,,
ACJ-01,7,261,2013,6,21,1.4,-2.1,,,
ACJ-01,7,273,2013,6,21,1.35,0.9,cerca del derrumbe del lado SP 8,,
ACJ-01,7,277,2013,6,21,1.35,4.4,cerca del derrumbe del lado SP 8,,
ACJ-01,8,286,2013,6,21,1.4,0,no creci½,,
ACJ-01,8,300,2013,6,21,1.4,-1.6,,,
ACJ-01,8,301,2013,6,21,1.4,-0.1,,,
ACJ-01,8,302,2013,6,21,1.4,0,,,
ACJ-01,8,305,2013,6,21,1.4,-2.4,,,
ACJ-01,8,306,2013,6,21,1.4,0.9,,,
ACJ-01,8,307,2013,6,21,1.5,-2,,,
ACJ-01,8,310,2013,6,21,1.4,0,,,
