plot_code,year,month,day,litterfall_trap_num,litterfall_trap_size_m2,leaves_g_per_trap,twigs_g_per_trap,flowers_g_per_trap,fruits_g_per_trap,bromeliads_g_per_trap,epiphytes_g_per_trap,other_g_per_trap,palm_leaves_g,palm_flower_g,quality_code,comments,Barks (g),leaves (g),Herbivory leaves (g)
ACJ,2013,5,28,1,0.25,17.8,,,0.82,0.54,3.45,,,,,,,7.45,10.35
ACJ,2013,5,28,2,0.25,30.58,0.5,,0.97,0.82,0.44,,,,,,,30.58,
ACJ,2013,5,28,3,0.25,28.33,4.5,,0.03,,0.04,,,,,,,5.55,22.78
ACJ,2013,5,28,4,0.25,42.84,,0.31,,,0.06,,,,,,,42.84,
ACJ,2013,5,28,5,0.25,20.33,1.78,,0.33,,1.9,,,,,,,2.74,17.59
ACJ,2013,5,28,6,0.25,43.8,6.35,,0.48,,0.04,0.35,,,,,,43.8,
ACJ,2013,5,28,7,0.25,17.74,0.53,,1.37,0.9,0.5,,,,,,,6.39,11.35
ACJ,2013,5,28,8,0.25,58.27,4.07,0.22,0.04,,1.16,,,,,,,58.27,
ACJ,2013,5,28,9,0.25,27.96,1.32,,0.25,,1.53,,,,,,,12.87,15.09
ACJ,2013,5,28,10,0.25,17.81,0.85,0.51,0.08,0.92,1.08,,,,,,,17.81,
ACJ,2013,5,28,11,0.25,26.02,13.46,1.49,1.57,,5.19,0.99,,,,,,9.3,16.72
ACJ,2013,5,28,12,0.25,15.02,1.02,,0.14,,,,,,,,,15.02,
ACJ,2013,5,28,13,0.25,12.83,,0.47,,,0.12,,,,,,,5.72,7.11
ACJ,2013,5,28,14,0.25,17.14,,,0.14,,0.31,,,,,,,17.14,
ACJ,2013,5,28,15,0.25,30.1,1.07,,0.18,0.21,0.73,,,,,,,7.58,22.52
ACJ,2013,5,28,16,0.25,44.85,0.09,,0.19,,0.38,,,,,,,44.85,
ACJ,2013,5,28,17,0.25,35.6,0.9,0.07,0.14,,3.89,,,,,,0.15,5.88,29.72
ACJ,2013,5,28,18,0.25,43.15,0.34,,0.3,,0.52,,,,,,,43.15,
ACJ,2013,5,28,19,0.25,25.78,6.61,,0.43,,3.55,,,,,,,2.45,23.33
ACJ,2013,5,28,20,0.25,18.53,19.31,,1.3,,10.52,,,,,,,18.53,
ACJ,2013,5,28,21,0.25,30.52,,0.44,,,0.49,,,,,,,22.31,8.21
ACJ,2013,5,28,22,0.25,56.99,,,4.73,,0.09,,,,,,,56.99,
ACJ,2013,5,28,23,0.25,34.79,6.18,,0.24,,1.23,,,,,,0.21,5.34,29.45
ACJ,2013,5,28,24,0.25,25.35,3.36,,0.14,0.89,0.07,,,,,,,25.35,
ACJ,2013,5,28,25,0.25,19.76,,,0.11,,0.36,,,,,,,7.06,12.7
ACJ,2013,6,21,1,0.25,10.39,0.08,0.63,,0.36,0.25,,,,,,0.11,10.39,
ACJ,2013,6,21,2,0.25,3.92,,0.33,,,0.14,,,,,,,3.92,
ACJ,2013,6,21,3,0.25,7.94,,0.03,0.02,0.66,0.02,0.03,,,,,,7.94,
ACJ,2013,6,21,4,0.25,2.48,5.98,1.77,,,0.02,,,,,,,2.48,
ACJ,2013,6,21,5,0.25,3.99,2.05,,0.09,,0.45,,,,,,,3.99,
ACJ,2013,6,21,6,0.25,7.63,,0.06,,,0.01,,,,,,,7.63,
ACJ,2013,6,21,7,0.25,2.55,0.21,0.01,,,0.07,,,,,,,2.55,
ACJ,2013,6,21,8,0.25,5.35,,,0.33,,0.04,,,,,,,5.35,
ACJ,2013,6,21,9,0.25,4.65,,,0.44,,0.3,,,,,,,4.65,
ACJ,2013,6,21,10,0.25,2.73,0.27,,0.02,,0.1,,,,,,,2.73,
ACJ,2013,6,21,11,0.25,7.44,1.25,0.21,,,2.7,,,,,,,7.44,
ACJ,2013,6,21,12,0.25,7.81,,,0.03,,,,,,,,,7.81,
ACJ,2013,6,21,13,0.25,2.06,,,0.14,,,,,,,,,2.06,
ACJ,2013,6,21,14,0.25,4.5,,0.05,0.07,,,,,,,,,4.5,
ACJ,2013,6,21,15,0.25,3.57,0.26,0.4,0.05,,0.07,,,,,,,3.57,
ACJ,2013,6,21,16,0.25,9.46,0.12,,,,0.04,,,,,,,9.46,
ACJ,2013,6,21,17,0.25,8.69,0.21,0.41,,,0.39,0.05,,,,,,8.69,
ACJ,2013,6,21,18,0.25,5.5,,1.5,0.2,,0.16,,,,,,,5.5,
ACJ,2013,6,21,19,0.25,5.12,0.83,,0.09,,0.06,0.04,,,,,,5.12,
ACJ,2013,6,21,20,0.25,4.16,0.76,,0.15,,0.45,0.12,,,,,,4.16,
ACJ,2013,6,21,21,0.25,4.24,,0.14,,0.11,0.45,0.26,,,,,,4.24,
ACJ,2013,6,21,22,0.25,5.53,0.88,,0.18,,0.09,,,,,,,5.53,
ACJ,2013,6,21,23,0.25,3.79,1.31,,0.03,,0.2,0.01,,,,,,3.79,
ACJ,2013,6,21,24,0.25,6.88,0.1,0.07,,,0.09,,,,,,,6.88,
ACJ,2013,6,21,25,0.25,0.25,,0.03,,,0.02,,,,,,,0.25,
ACJ,2013,7,25,1,0.25,5.31,0.14,0.49,0.21,,,,,,,,,0.4,4.91
ACJ,2013,7,25,2,0.25,4.04,,0.1,,,,,,,,,,4.04,
ACJ,2013,7,25,3,0.25,6.83,,0.12,,,0.01,,,,,,,0.39,6.44
ACJ,2013,7,25,4,0.25,6.18,,0.83,,,0.02,,,,,,,6.18,
ACJ,2013,7,25,5,0.25,6.06,0.5,2.58,0.04,,0.18,,,,,,,0.49,5.57
