"","code","flux_umolco2_m2_s","co2slope","plot_code","sub_plot","egm_measurement","day","month","year","hour","soil_temp_degC","vwc_percent","collar_depth_cm"
"1","1.13.1.14","0.223868065538232","0.297422680412366","PAN-03",1,1,13,1,14,17,24.8,NA,7
"2","1.19.11.13","0.268224472546537","0.334665544804377","PAN-03",1,1,19,11,13,7,21.1,NA,10
"3","1.23.3.14","0.234855659767357","0.30647875473286","PAN-03",1,1,23,3,14,14,18.1,NA,7
"4","1.25.7.13","0.074434631812884","0.100967606226334","PAN-03",1,1,25,7,13,7,13.3,NA,7
"5","10.13.1.14","0.0878695688084104","0.105805637358016","PAN-03",10,10,13,1,14,17,25.6,NA,7
"6","10.16.9.13","0.230288288464428","0.287757677745058","PAN-03",10,10,16,9,13,12,24.2,NA,7
"7","10.19.11.13","0.0886180813192583","0.118321413546488","PAN-03",10,10,19,11,13,11,23.4,NA,10
"8","10.23.3.14","0.108743084446261","0.15408077408498","PAN-03",10,10,23,3,14,12,17.8,NA,7
"9","10.25.7.13","0.0926873599495767","0.127787126630207","PAN-03",10,10,25,7,13,8,14.4,NA,7
"10","11.16.9.13","0.141146253197939","0.179322675641564","PAN-03",11,11,16,9,13,12,25.4,NA,7
"11","11.19.11.13","0.106568775782007","0.136201093815733","PAN-03",11,11,19,11,13,15,21.8,NA,10
"12","11.23.3.14","0.199282610840366","0.252629364745481","PAN-03",11,11,23,3,14,12,17.6,NA,7
"13","11.25.7.13","0.0929162761177581","0.120109381573412","PAN-03",11,11,25,7,13,9,14,NA,7
"14","12.16.9.13","0.15909635688927","0.208245687841817","PAN-03",12,12,16,9,13,13,24.5,NA,7
"15","12.19.11.13","0.124149042757943","0.176588136306269","PAN-03",12,12,19,11,13,11,23.2,NA,10
"16","12.25.7.13","0.111302246125634","0.123580143037441","PAN-03",12,12,25,7,13,9,14.2,NA,7
"17","13.16.9.13","0.10606423792618","0.146508203618007","PAN-03",13,13,16,9,13,13,24.5,NA,7
"18","13.19.11.13","0.0886778876842452","0.10727808161548","PAN-03",13,13,19,11,13,11,23.2,NA,10
"19","13.23.3.14","0.0907752350365515","0.107278081615478","PAN-03",13,13,23,3,14,12,17.3,NA,7
"20","13.25.7.13","0.0371535717141364","0.0440681531342043","PAN-03",13,13,25,7,13,9,14.1,NA,7
"21","14.16.9.13","0.194451102864663","0.267669331089611","PAN-03",14,14,16,9,13,14,24.5,NA,7
"22","14.19.11.13","0.194665853771413","0.233172065628943","PAN-03",14,14,19,11,13,13,23.2,NA,10
"23","14.23.3.14","0.308635799124275","0.390197728228863","PAN-03",14,14,23,3,14,12,17.3,NA,7
"24","14.25.7.13","0.0739441660579179","0.0831931005469092","PAN-03",14,14,25,7,13,9,15.2,NA,7
"25","15.13.1.14","0.212451461256551","0.279974758098443","PAN-03",15,15,13,1,14,14,23.4,NA,7
"26","15.16.9.13","0.247317042058186","0.315628944047117","PAN-03",15,15,16,9,13,14,24.7,NA,7
"27","15.19.11.13","0.441564906333265","0.558371897349598","PAN-03",15,15,19,11,13,13,24.1,NA,10
"28","15.23.3.14","0.381670395835205","0.497025074373141","PAN-03",15,15,23,3,14,12,17.3,NA,7
"29","15.25.7.13","0.0740236759138942","0.100967606226334","PAN-03",15,15,25,7,13,10,15.2,NA,7
"30","16.13.1.14","0.19365373449505","0.249789650820362","PAN-03",16,16,13,1,14,14,25.4,NA,7
"31","16.16.9.13","0.211613020756727","0.271245267143457","PAN-03",16,16,16,9,13,14,24.9,NA,7
"32","16.19.11.13","0.194060203505602","0.259991586032816","PAN-03",16,16,19,11,13,13,23.8,NA,10
"33","16.23.3.14","0.127223465278402","0.157972233908288","PAN-03",16,16,23,3,14,12,17.3,NA,7
"34","16.25.7.13","0.0370503852625784","0.050694152292806","PAN-03",16,16,25,7,13,10,14.9,NA,7
"35","17.13.1.14","0.0878695688084104","0.116112747160284","PAN-03",17,17,13,1,14,14,25.6,NA,7
"36","17.16.9.13","0.088312981266653","0.112116112747164","PAN-03",17,17,16,9,13,16,24.1,NA,7
"37","17.19.11.13","0.0887772140792602","0.128733697938582","PAN-03",17,17,19,11,13,16,21.9,NA,10
"38","17.23.3.14","0.145340455559642","0.178165755153557","PAN-03",17,17,23,3,14,11,17.1,NA,7
"39","17.25.7.13","0.0739698188475304","0.0974968447623076","PAN-03",17,17,25,7,13,10,15.1,NA,7
"40","18.13.1.14","0.211382254103775","0.279133361379896","PAN-03",18,18,13,1,14,13,24.9,NA,7
