"","X","code","flux_umolco2_m2_s","co2slope","plot_code","sub_plot","measurement_code","egm_measurement","day","month","year","hour","soil_temp_degC","vwc_percent","collar_depth_cm","TRU04","tree_num"
"1",1,"1.14.3.14",0.133215496444964,0.169015565839296,"TU4",1,"STEM",1,14,3,14,9,13.4,NA,7,9,9
"2",2,"1.22.7.13",0.0897287755194135,0.129995793016407,"TU4",1,"STEM",1,22,7,13,20,12,NA,7,9,9
"3",3,"1.23.9.13",0.08954536652849,0.140092553639041,"TU4",1,"STEM",1,23,9,13,2,12.2,NA,7,9,9
"4",4,"1.27.5.13",0.0901714901827692,0.145246108540174,"TU4",1,"STEM",1,27,5,13,8,10.6,NA,7,9,9
"5",5,"10.14.3.14",0.0440530600400071,0.0403870424905377,"TU4",10,"STEM",10,14,3,14,12,15.3,NA,7,355,355
"6",6,"10.22.7.13",0.0299305847100202,0.0531131678586436,"TU4",10,"STEM",10,22,7,13,23,11.8,NA,7,355,355
"7",7,"10.23.9.13",0.0596969110189934,0.110012620950774,"TU4",10,"STEM",10,23,9,13,2,12.2,NA,7,355,355
"8",8,"10.27.5.13",0.029916553367469,0.0566891039124942,"TU4",10,"STEM",10,27,5,13,9,12.7,NA,7,355,355
"9",9,"11.14.3.14",0.190698259383574,0.291333613798906,"TU4",11,"STEM",11,14,3,14,12,15.6,NA,7,372,372
"10",10,"11.22.7.13",0.0747521219908274,0.125157761884727,"TU4",11,"STEM",11,22,7,13,23,11.7,NA,7,372,372
"11",11,"11.23.9.13",0.104469594283238,0.170172486327301,"TU4",11,"STEM",11,23,9,13,3,12.2,NA,7,372,372
"12",12,"11.27.5.13",0.0900647370204424,0.146508203618005,"TU4",11,"STEM",11,27,5,13,10,11.7,NA,7,372,372
"13",13,"12.23.7.13",0.0598437152969252,0.0958140513251991,"TU4",12,"STEM",12,23,7,13,0,11.5,NA,7,417,417
"14",14,"12.23.9.13",0.0747739795995113,0.114955826672275,"TU4",12,"STEM",12,23,9,13,3,12,NA,7,417,417
"15",15,"12.27.5.13",0.0598959676420312,0.102124526714347,"TU4",12,"STEM",12,27,5,13,10,12.4,NA,7,417,417
"16",16,"13.14.3.14",0.10289389612589,0.169225915018932,"TU4",13,"STEM",13,14,3,14,11,15.4,NA,7,432,432
"17",17,"13.23.7.13",0.0149609288242313,0.0303954564577212,"TU4",13,"STEM",13,23,7,13,0,11.5,NA,7,432,432
"18",18,"13.23.9.13",0.0448643877597068,0.0681531342027776,"TU4",13,"STEM",13,23,9,13,4,12,NA,7,432,432
"19",19,"13.27.5.13",0.0449219757315234,0.0770929743373968,"TU4",13,"STEM",13,27,5,13,10,12.4,NA,7,432,432
"20",20,"14.14.3.14",0.161639961669778,0.215397559949514,"TU4",14,"STEM",14,14,3,14,13,15.1,NA,7,456,456
"21",21,"14.23.7.13",0.0895139966330518,0.129785443836767,"TU4",14,"STEM",14,23,7,13,1,12.3,NA,7,456,456
"22",22,"14.23.9.13",-0.0297769768813215,0.0205090450147238,"TU4",14,"STEM",14,23,9,13,17,12.5,NA,7,456,456
"23",23,"14.27.5.13",0.120113093287505,0.181741691207404,"TU4",14,"STEM",14,27,5,13,10,12.4,NA,7,456,456
"24",24,"15.14.3.14",0.487436189644609,0.78502313840976,"TU4",15,"STEM",15,14,3,14,13,14,NA,7,503,503
"25",25,"15.23.7.13",0.0449431939914997,0.0820361800588982,"TU4",15,"STEM",15,23,7,13,1,11.5,NA,7,503,503
"26",26,"15.23.9.13",0.312532574475507,0.611485065208248,"TU4",15,"STEM",15,23,9,13,16,13,NA,7,503,503
"27",27,"15.26.5.13",0.104817943373555,0.166701724863278,"TU4",15,"STEM",15,26,5,13,18,12.4,NA,7,503,503
"28",28,"16.14.3.14",0.220418129549697,0.335822465292386,"TU4",16,"STEM",16,14,3,14,14,15.1,NA,7,519,519
"29",29,"16.23.7.13",0.0595748096385887,0.0835086243163651,"TU4",16,"STEM",16,23,7,13,2,12.4,NA,7,519,519
"30",30,"16.23.9.13",0.0299899939684061,0.0430164072360052,"TU4",16,"STEM",16,23,9,13,5,12,NA,7,519,519
"31",31,"16.26.5.13",0.0299374996677438,0.0488010096760617,"TU4",16,"STEM",16,26,5,13,18,12.5,NA,7,519,519
"32",32,"17.14.3.14",0.117888035007253,0.173853596970969,"TU4",17,"STEM",17,14,3,14,14,13.9,NA,7,544,544
"33",33,"17.23.7.13",0.0596583794224057,0.0869793857803956,"TU4",17,"STEM",17,23,7,13,2,12,NA,7,544,544
"34",34,"17.23.9.13",0.044924689356158,0.0720445940260797,"TU4",17,"STEM",17,23,9,13,5,12,NA,7,544,544
"35",35,"17.26.5.13",0.134444028370563,0.17774505679428,"TU4",17,"STEM",17,26,5,13,14,12.7,NA,7,544,544
"36",36,"18.14.3.14",0,0.0667858645351285,"TU4",18,"STEM",18,14,3,14,14,14.1,NA,7,570,570
"37",37,"18.23.7.13",0.253459226265629,0.389882204459403,"TU4",18,"STEM",18,23,7,13,2,12.1,NA,7,570,570
"38",38,"18.23.9.13",0.0301443960170918,0.0506941522928081,"TU4",18,"STEM",18,23,9,13,20,11.3,NA,7,570,570
