sub_plot,ACJ01,TRU04,WAY,ESP_old,ESP_newtag,PAN03,PAN02
1,36,9,40,20,20,19,23
2,68,44,75,425,220,28,41
3,98,90,140,384,250,65,75
4,121,136,155,366,484,97,98
5,178,167,190,329,509,107,159
6,199,211,244,311,534,142,193
7,259,253,257,647,470,160,252
8,295,305,330,685,266,192,265
9,324,333,376,442,212,219,292
10,361,355,464,440,39,267,338
11,407,372,552,459,59,283,347
12,427,417,585,482,167,326,402
13,443,432,620,693,293,342,416
14,468,456,649,284,420,372,486
15,485,503,693,238,575,402,529
16,515,519,742,564,612,438,550
17,578,544,773,523,384,449,590
18,617,570,793,509,311,474,598
19,646,605,847,87,136,511,657
20,680,640,879,97,82,533,673
21,731,663,978,131,96,558,711
22,761,727,517,159,119,495,740
23,773,788,535,187,346,629,802
24,828,811,539,167,352,654,833
25,836,851,,204,614,688,837
