Tag No,Old No,T1,T2,X,Y,family,genus,species,Old Tree Notes,"D 
2013.2","POM 
2013.2",F1,F2,"Height 
2013.2",F5,F3,F4,"LI 
2013.2","CI 
2013.2",Tree ID,"D 
2015.1","POM 
2015.1",F1,F2,"Height 
2015.1",F5,F3,F4,"LI 
2015.1","CI 
2015.1",Census Notes,Tree ID,New Tag No
495,,1,,,,Vochysiaceae,Qualea,indet,,152,1300,a,1,14,4,0,0,0,1,1106260,155,1500,a,1,21000,1,0,0,0,1,,1106260,
488,,1,,,,Vochysiaceae,Qualea,indet,,198,1300,a,1,21,4,0,0,0,1,1106253,218,1300,a,1,20000,1,0,0,1,5,,1106253,
478.2.A,,1,,,,Vochysiaceae,Qualea,acuminata,,113,1300,a,1,9,4,0,0,0,1,1106243,129,1300,a,1,18000,1,0,0,0,4,,1106243,
475,,1,,,,Vochysiaceae,Qualea,acuminata,,494,1300,a,1,25,4,0,0,0,1,1106239,518,1300,a,1,24000,1,0,0,0,5,,1106239,
483,,1,,,,Humiriaceae,Humiriastrum,colombianum,,449,1300,a,1,25,4,0,0,0,1,1106248,453,1300,a,1,22000,1,0,0,0,4,,1106248,
482,,1,,,,Elaeocarpaceae,Sloanea,laxiflora,,346,1300,a,1,21,4,0,0,0,1,1106247,355,1300,e,1,20000,1,0,0,0,5,,1106247,
490,,1,,,,Elaeocarpaceae,Sloanea,laxiflora,,119,1300,a,1,14,4,0,0,0,1,1106255,125,1300,m,1,18000,1,0,0,2,3b,,1106255,
492,,1,,,,Olacaceae,Minquartia,guianensis,,150,1300,a,1,14,4,0,0,0,1,1106257,163,1400,a,1,20000,1,0,0,3,3b,,1106257,
479,,1,,,,Lauraceae,Ocotea,javitensis,,430,1300,a,1,25,4,0,0,0,1,1106244,440,1300,c,1,25000,1,0,0,3,5,,1106244,
480,,1,,,,Lauraceae,Ocotea,bofo,,105,1300,a,1,13,4,0,0,0,1,1106245,103,1300,a,1,15000,1,0,0,3,3a,,1106245,
493,,1,,,,Lauraceae,Ocotea,javitensis,,166,1300,a,1,14,4,0,0,0,1,1106258,174,1400,a,1,15000,1,0,0,1,3b,,1106258,
486,,1,,,,Sapotaceae,Chrysophyllum,argenteum,,279,1300,a,1,22,4,0,0,0,1,1106251,289,1500,e,1,22000,1,0,0,0,4,,1106251,
494,,1,,,,Sapotaceae,Pouteria,reticulata,,0,1300,a,1,0,4,0,0,0,1,1106259,0,1300,0,kr,0,,0,0,,,,1106259,
505,,1,,,,Sapotaceae,Pouteria,coriacea,,216,1300,a,1,18,4,0,0,0,1,1106271,223,1300,a,1,22000,1,0,0,0,4,,1106271,
477,,1,,,,Urticaceae,Pourouma,bicolor,,0,1300,a,1,0,4,0,0,0,1,1106241,0,1300,0,mr,0,,0,0,,,,1106241,
478,,1,,,,Urticaceae,Pourouma,minor,,159,1300,a,1,12,4,0,0,0,1,1106242,174,1500,a,1,17000,1,0,0,0,4,,1106242,
502,,1,,,,Urticaceae,Pourouma,minor,,131,1300,a,1,10,4,0,0,0,1,1106267,142,1300,ah,1,20000,1,0,0,0,3b,,1106267,
504,,1,,,,Urticaceae,Pourouma,minor,,213,1300,a,1,19,4,0,0,0,1,1106269,230,1300,a,1,21000,1,0,0,0,4,,1106269,
505.A,,1,,,,Urticaceae,Pourouma,bicolor,,110,1300,a,1,13,4,0,0,0,1,1106272,0,1300,0,bps,0,,0,0,,,,1106272,
500,,1,,,,Urticaceae,Pourouma,minor,,264,1300,a,1,20,4,0,0,0,1,1106265,264,5000,a,1,20000,1,3,0,0,4,mul alto,1106265,
504.2.A,,1,,,,Salicaceae,Casearia,ulmifolia,,102,1300,a,1,12,4,0,0,0,1,1106270,113,1300,a,1,20000,1,0,0,0,1,,1106270,
485,,1,,,,Anacardiaceae,Tapirira,guianensis,,271,1300,a,1,20,4,0,0,0,1,1106250,325,1300,c,1,20000,1,0,0,0,2b,,1106250,
501,,1,,,,Annonaceae,Unonopsis,spectabilis,,130,1300,a,1,15,4,0,0,0,1,1106266,132,1300,a,1,16000,1,0,0,0,3b,,1106266,
484,,1,,,,Annonaceae,Xylopia,calophylla,,159,1300,a,1,17,4,0,0,0,1,1106249,160,1300,c,1,18000,1,0,0,1,1,,1106249,
497,,1,,,,Euphorbiaceae,Senefeldera,inclinata,,137,1300,a,1,14,4,0,0,0,1,1106262,147,1300,a,1,10000,1,0,0,0,4,,1106262,
487,,1,,,,Euphorbiaceae,Senefeldera,inclinata,,144,1300,a,1,14,4,0,0,0,1,1106252,144,1400,a,1,18000,1,0,0,0,3a,,1106252,
481,,1,,,,Euphorbiaceae,Senefeldera,inclinata,,134,1300,a,1,15,4,0,0,0,1,1106246,140,1300,a,1,18000,1,0,0,0,4,,1106246,
503,,1,,,,Malvaceae,Herrania,nitida,,104,1300,a,1,10,4,0,0,0,1,1106268,106,1300,ah,1,20000,1,0,0,0,3b,,1106268,
498,,1,,,,Euphorbiaceae,Hevea,brasiliensis,,267,1300,a,1,18,4,0,0,0,1,1106263,262,1300,c,1,18000,1,0,0,1,4,,1106263,
496,,1,,,,Euphorbiaceae,Hevea,brasiliensis,,499,1300,a,1,28,4,0,0,0,1,1106261,351,1300,a,1,22000,1,0,0,3,5,,1106261,
491,,1,,,,Sabiaceae,Meliosma,loretoyacuensis,,222,1300,a,1,22,4,0,0,0,1,1106256,225,1300,m,1,22000,1,0,0,3,3b,,1106256,
476,,1,,,,Indet,Indet,indet,,0,1300,a,1,0,4,0,0,0,1,1106240,0,1300,0,mr,0,,0,0,,,,1106240,
489,,1,,,,Indet,Indet,indet,,375,1300,a,1,23,4,0,0,0,1,1106254,375,4000,a,1,24000,1,0,0,0,3b,muy alto,1106254,
499,,1,,,,Indet,Indet,indet,,100,1300,a,1,10,4,0,0,0,1,1106264,102,1300,cb,1,11000,1,0,0,0,1,b=11000,1106264,
506,,1,,,,Indet,Indet,indet,,149,1300,a,1,17,4,0,0,0,1,1106273,156,1300,c,1,19000,1,0,0,0,3a,,1106273,
508,,2,,,,Indet,Indet,indet,,0,1300,a,1,0,4,0,0,0,1,1106275,0,1300,0,kr,0,,0,0,,,,1106275,
510,,2,,,,Indet,Indet,indet,,0,1300,a,1,0,4,0,0,0,1,1106277,0,1300,0,kr,0,,0,0,,,,1106277,
806PL,,2,,,,Fabaceae,Zapoteca,amazonica,,0,1300,a,1,0,4,0,0,0,1,1106921,0,1300,0,kr,0,,0,0,,,,1106921,
514,,2,,,,Fabaceae,Inga,thibaudiana,,0,1300,a,1,0,4,0,0,0,1,1106282,0,1300,0,kr,0,,0,0,,,,1106282,
521.2.A,,2,,,,Fabaceae,Piptadenia,cuzcoensis,,107,1300,a,1,8,4,0,0,0,1,1106291,120,1300,a,1,15000,1,0,0,0,1,,1106291,
507,,2,,,,Fabaceae,Andira,inermis,,445,1300,a,1,24,4,0,0,0,1,1106274,472,1300,c,1,20000,1,0,0,0,5,,1106274,
513,,2,,,,Euphorbiaceae,Senefeldera,inclinata,,142,1300,a,1,15,4,0,0,0,1,1106281,140,1300,c,1,15000,1,0,0,3,3a,,1106281,
520,,2,,,,Melastomataceae,Bellucia,pentamera,,200,1300,a,1,18,4,0,0,0,1,1106289,224,1300,l,1,19000,1,0,0,1,4,,1106289,
532,,2,,,,Bignoniaceae,Jacaranda,glabra,,0,1300,a,1,0,4,0,0,0,1,1106304,0,1300,0,kr,0,,0,0,,,,1106304,
525,,2,,,,Bignoniaceae,Jacaranda,glabra,,313,1300,a,1,17,4,0,0,0,1,1106296,315,1300,a,1,25000,1,0,0,0,5,,1106296,
519,,2,,,,Bignoniaceae,Jacaranda,glabra,,308,1300,a,1,23,4,0,0,0,1,1106288,345,2000,a,1,24000,1,0,0,0,4,,1106288,
521,,2,,,,Bignoniaceae,Jacaranda,glabra,,126,1300,a,1,14,4,0,0,0,1,1106290,128,1300,a,1,18000,1,0,0,0,4,,1106290,
522,,2,,,,Bignoniaceae,Jacaranda,glabra,,331,1300,a,1,28,4,0,0,0,1,1106292,336,1300,a,1,20000,1,0,0,0,4,,1106292,
509,,2,,,,Anacardiaceae,Tapirira,guianensis,,173,1300,a,1,16,4,0,0,0,1,1106276,180,1300,c,1,15000,1,0,0,0,4,,1106276,
518,,2,,,,Anacardiaceae,Tapirira,guianensis,,268,1300,a,1,19,4,0,0,0,1,1106287,289,1300,a,1,22000,1,0,0,0,4,,1106287,
529,,2,,,,Anacardiaceae,Tapirira,guianensis,,356,1300,a,1,18,4,0,0,0,1,1106301,356,4000,a,1,19000,1,3,0,0,3b,,1106301,
531,,2,,,,Anacardiaceae,Tapirira,guianensis,,235,1300,a,1,18,4,0,0,0,1,1106303,240,1300,c,1,18000,1,0,0,3,4,,1106303,
530,,2,,,,Salicaceae,Casearia,ulmifolia,,140,1300,a,1,15,4,0,0,0,1,1106302,150,1300,l,1,18000,1,0,0,0,4,,1106302,
526,,2,,,,Salicaceae,Casearia,arborea,,132,1300,a,1,15,4,0,0,0,1,1106297,138,1300,m,1,16000,1,0,0,1,1,,1106297,
527,,2,,,,Salicaceae,Casearia,ulmifolia,,108,1300,a,1,12,4,0,0,0,1,1106298,110,1300,a,1,18000,1,0,0,0,1,,1106298,
528,,2,,,,Salicaceae,Casearia,ulmifolia,,129,1300,a,1,13,4,0,0,0,1,1106299,140,1300,a,1,18000,1,0,0,0,1,,1106299,
528.A,,2,,,,Salicaceae,Casearia,ulmifolia,,139,1300,a,1,15,4,0,0,0,1,1106300,155,1300,c,1,17000,1,0,0,0,3b,,1106300,
523.A,,2,,,,Salicaceae,Casearia,ulmifolia,,135,1300,a,1,12,4,0,0,0,1,1106294,148,1300,l,1,15000,1,0,0,0,3a,,1106294,
516,,2,,,,Urticaceae,Coussapoa,manuensis,,313,1300,a,1,22,4,0,0,0,1,1106285,360,2000,l,1,26000,1,0,0,3,4,,1106285,
517,,2,,,,Urticaceae,Coussapoa,manuensis,,508,1300,a,1,24,4,0,0,0,1,1106286,508,4000,a,1,26000,1,3,0,2,4,,1106286,
524,,2,,,,Urticaceae,Pourouma,mollis,,125,1300,a,1,15,4,0,0,0,1,1106295,126,1300,l,1,16000,1,0,0,0,3a,,1106295,
523,,2,,,,Urticaceae,Cecropia,sciadophylla,,271,1300,a,1,18,4,0,0,0,1,1106293,290,1300,c,1,25000,1,0,0,0,4,,1106293,
515,,2,,,,Lauraceae,Ocotea,obovata,,263,1300,a,1,19,4,0,0,0,1,1106283,271,1300,l,1,19000,1,0,0,4,4,,1106283,
511,,2,,,,Lauraceae,Ocotea,bofo,,685,1300,a,1,28,4,0,0,0,1,1106278,685,3900,a,1,27000,1,0,0,0,5,,1106278,
533,,2,,,,Burseraceae,Protium,amazonicum,,128,1300,a,1,13,4,0,0,0,1,1106305,132,1300,a,1,15000,1,0,0,0,3a,,1106305,
512.A,,2,,,,Chrysobalanaceae,Hirtella,triandra,,115,1300,a,1,12,4,0,0,0,1,1106280,122,1300,ch,1,15000,1,0,0,3,1,,1106280,
515.A,,2,,,,Dilleniaceae,Doliocarpus,dentatus,,94,1300,a,1,18,4,0,0,0,1,1106284,,,,,,,,,,,liana,1106284,
512,,2,,,,Vochysiaceae,Qualea,acuminata,,277,1300,a,1,23,4,0,0,0,1,1106279,297,1300,ah,1,25000,1,0,0,2,5,,1106279,
552,,3,,,,Elaeocarpaceae,Sloanea,laxiflora,,186,1300,a,1,15,4,0,0,0,1,1106328,190,1300,c,1,16000,1,0,0,0,5,,1106328,
554.A,,3,,,,Elaeocarpaceae,Sloanea,laurifolia,,128,1300,a,1,11,4,0,0,0,1,1106331,127,1300,c,1,10000,1,0,0,0,1,,1106331,
545,,3,,,,Olacaceae,Heisteria,duckei,,234,1300,a,1,18,4,0,0,0,1,1106318,325,1300,c,1,20000,1,0,0,0,4,,1106318,
540,,3,,,,Burseraceae,Protium,indet,,225,1300,a,1,15,4,0,0,0,1,1106313,246,1300,a,1,17000,1,0,0,0,1,,1106313,
546.A,,3,,,,Moraceae,Pseudolmedia,rigida,,116,1300,a,1,12,4,0,0,0,1,1106321,116,1300,a,1,13000,1,0,0,0,4,,1106321,
535.2.A,,3,,,,Moraceae,Pseudolmedia,laevigata,,104,1300,a,1,8,4,0,0,0,1,1106308,117,1300,a,1,16000,1,0,0,0,3b,,1106308,
557,,3,,,,Sapotaceae,Pouteria,juruana,,217,1300,a,1,19,4,0,0,0,1,1106334,220,1300,a,1,18000,1,0,0,1,4,,1106334,
546.2.A,,3,,,,Sapotaceae,Pouteria,torta,,101,1300,a,1,9,4,0,0,0,1,1106322,113,1300,i,1,16000,1,0,0,4,2c,,1106322,
549,,3,,,,Lauraceae,Ocotea,bofo,,0,1300,a,1,0,4,0,0,0,1,1106325,0,1300,0,mr,0,,0,0,,,,1106325,
553,,3,,,,Lauraceae,Ocotea,bofo,,431,1300,a,1,22,4,0,0,0,1,1106329,457,2250,c,1,19000,1,0,0,0,5,,1106329,
541,,3,,,,Urticaceae,Coussapoa,manuensis,,246,1300,a,1,19,4,0,0,0,1,1106314,258,1300,l,1,22000,1,0,0,1,4,,1106314,
543,,3,,,,Urticaceae,Coussapoa,manuensis,,462,1300,a,1,20,4,0,0,0,1,1106316,462,1300,zi,1,20000,1,0,0,0,4,,1106316,
546,,3,,,,Urticaceae,Coussapoa,manuensis,,212,1300,a,1,16,4,0,0,0,1,1106320,206,1400,a,1,17000,1,0,0,1,3b,,1106320,
534,,3,,,,Salicaceae,Casearia,ulmifolia,,168,1300,a,1,15,4,0,0,0,1,1106306,183,1300,a,1,20000,1,0,0,0,4,,1106306,
536,,3,,,,Bignoniaceae,Jacaranda,glabra,,179,1300,a,1,15,4,0,0,0,1,1106309,179,1300,a,1,21000,1,0,0,0,4,,1106309,
537,,3,,,,Bignoniaceae,Jacaranda,glabra,,127,1300,a,1,13,4,0,0,0,1,1106310,127,1300,a,1,14000,1,0,0,0,2c,,1106310,
538,,3,,,,Bignoniaceae,Jacaranda,glabra,,106,1300,a,1,12,4,0,0,0,1,1106311,108,1300,c,1,16000,1,0,0,0,1,,1106311,
539,,3,,,,Bignoniaceae,Jacaranda,glabra,,267,1300,a,1,22,4,0,0,0,1,1106312,290,1300,a,1,25000,1,0,0,0,5,,1106312,
544,,3,,,,Annonaceae,Unonopsis,spectabilis,,133,1300,a,1,14,4,0,0,0,1,1106317,139,1300,a,1,10000,1,0,0,0,3b,,1106317,
558,,3,,,,Fabaceae,Bauhinia,indet,,121,1300,a,1,18,4,0,0,0,1,1106335,0,1300,0,kr,0,,0,0,,,,1106335,
559,,3,,,,Fabaceae,Bauhinia,indet,,0,1300,a,1,0,4,0,0,0,1,1106336,0,1300,0,mr,0,,0,0,,,,1106336,
550,,3,,,,Euphorbiaceae,Hevea,brasiliensis,,270,1300,a,1,18,4,0,0,0,1,1106326,286,1300,l,1,22000,1,0,0,1,3b,,1106326,
542,,3,,,,Fabaceae,Piptadenia,boliviana,,134,1300,a,1,10,4,0,0,0,1,1106315,162,1300,a,1,12000,1,0,0,0,3a,,1106315,
554,,3,,,,Fabaceae,Cedrelinga,cateniformis,,221,1300,a,1,6,4,0,0,0,1,1106330,221,1300,bi,1,8000,1,0,0,0,4,b=8000,1106330,
551,,3,,,,Fabaceae,Inga,thibaudiana,,0,1300,a,1,0,4,0,0,0,1,1106327,0,1300,0,mr,0,,0,0,,,,1106327,
555,,3,,,,Fabaceae,Inga,thibaudiana,,0,1300,a,1,0,4,0,0,0,1,1106332,0,1300,0,mr,0,,0,0,,,,1106332,
556,,3,,,,Sabiaceae,Meliosma,herbertii,,117,1300,a,1,8,4,0,0,0,1,1106333,125,1300,a,1,10000,1,0,0,1,3b,,1106333,
548,,3,,,,Rubiaceae,Ferdinandusa,chlorantha,,0,1300,a,1,17,4,0,0,0,1,1106324,0,1300,0,aps,0,,0,0,,,,1106324,
535,,3,,,,Indet,Indet,indet,,0,1300,a,1,0,4,0,0,0,1,1106307,0,1300,0,mr,0,,0,0,,,,1106307,
547,,3,,,,Indet,Indet,indet,,0,1300,a,1,0,4,0,0,0,1,1106323,0,1300,0,mr,0,,0,0,,,,1106323,
545.2.A,,3,,,,Calophyllaceae,Marila,laxiflora,,116,1300,a,1,9,4,0,0,0,1,1106319,135,1300,bi,1,8000,1,0,0,0,4,b=8000,1106319,
567.2.A,,4,,,,Indet,Indet,indet,,102,1300,a,1,7,4,0,0,0,1,1106347,106,1300,l,1,8000,1,0,0,1,3b,,1106347,
572,,4,,,,Calophyllaceae,Marila,laxiflora,,160,1300,a,1,14,4,0,0,0,1,1106352,182,1300,l,1,14000,1,0,0,1,3b,,1106352,
583,,4,,,,Indet,Indet,indet,,121,1300,a,1,9,4,0,0,0,1,1106364,131,1300,ce,1,6000,1,0,0,0,1,,1106364,
584,,4,,,,Fabaceae,Lonchocarpus,seorsus,,127,1300,a,1,10,4,0,0,0,1,1106365,147,1300,cl,1,7000,1,0,0,1,1,,1106365,
565,,4,,,,Fabaceae,Inga,alba,,0,1300,a,1,0,4,0,0,0,1,1106342,0,1300,0,mr,0,,0,0,,,,1106342,
575,,4,,,,Fabaceae,Inga,heterophylla,,312,1300,a,1,19,4,0,0,0,1,1106355,328,1300,c,1,20000,1,0,0,0,4,,1106355,
582,,4,,,,Euphorbiaceae,Hevea,brasiliensis,,131,1300,a,1,9,4,0,0,0,1,1106363,140,1300,c,1,14000,1,0,0,0,4,,1106363,
566.2.A,,4,,,,Melastomataceae,Miconia,modica,,111,1300,a,1,9,4,0,0,0,1,1106344,125,1500,a,1,10000,1,0,0,0,2c,,1106344,
578,,4,,,,Melastomataceae,Miconia,modica,,158,1300,a,1,12,4,0,0,0,1,1106358,122,1500,a,1,10000,1,0,0,0,2b,,1106358,
578.2.A,,4,,,,Melastomataceae,Miconia,modica,,104,1300,a,1,7,4,0,0,0,1,1106359,0,1300,0,bpt,0,,0,0,,,,1106359,
581,,4,,,,Euphorbiaceae,Senefeldera,inclinata,,239,1300,a,1,16,4,0,0,0,1,1106362,243,1300,a,1,13000,1,0,0,0,3b,,1106362,
568,,4,,,,Bignoniaceae,Jacaranda,glabra,,144,1300,a,1,13,4,0,0,0,1,1106348,149,1300,c,1,15000,1,0,0,0,1,,1106348,
570,,4,,,,Anacardiaceae,Tapirira,guianensis,,441,1300,a,1,26,4,0,0,0,1,1106350,470,2000,a,1,23000,1,0,0,1,4,,1106350,
571,,4,,,,Anacardiaceae,Tapirira,guianensis,,494,1300,a,1,22,4,0,0,0,1,1106351,493,2500,a,1,23000,1,0,0,0,4,,1106351,
576,,4,,,,Urticaceae,Pourouma,mollis,,0,1300,a,1,0,4,0,0,0,1,1106356,0,1300,0,mr,0,,0,0,,,,1106356,
577,,4,,,,Urticaceae,Pourouma,mollis,,0,1300,a,1,0,4,0,0,0,1,1106357,0,1300,0,mr,0,,0,0,,,,1106357,
560,,4,,,,Urticaceae,Coussapoa,manuensis,,184,1300,a,1,10,4,0,0,0,1,1106337,200,1300,c,1,18000,1,0,0,4,3b,,1106337,
567,,4,,,,Lauraceae,Ocotea,javitensis,,675,1300,a,1,28,4,0,0,0,1,1106345,675,4000,a,1,28000,1,0,0,0,5,muy alto,1106345,
573,,4,,,,Sapotaceae,Micropholis,guyanensis,,0,1300,a,1,0,4,0,0,0,1,1106353,0,1300,0,mr,0,,0,0,,,,1106353,
561,,4,,,,Sapotaceae,Micropholis,guyanensis,,108,1300,a,1,8,4,0,0,0,1,1106338,112,1300,a,1,12000,1,0,0,3,2a,,1106338,
566,,4,,,,Urticaceae,Cecropia,sciadophylla,,0,1300,a,1,0,4,0,0,0,1,1106343,0,1300,0,mr,0,,0,0,,,,1106343,
562,,4,,,,Sapotaceae,Sarcaulus,indet,,145,1300,a,1,15,4,0,0,0,1,1106339,127,1400,a,1,15000,1,0,0,0,2c,,1106339,
567.A,,4,,,,Violaceae,Leonia,glycycarpa,,113,1300,a,1,7,4,0,0,0,1,1106346,117,1300,a,1,6000,1,0,0,0,2a,,1106346,
564,,4,,,,Burseraceae,Protium,amazonicum,,122,1300,a,1,10,4,0,0,0,1,1106341,141,1400,a,1,9000,1,0,0,0,4,,1106341,
580,,4,,,,Myristicaceae,Virola,elongata,,223,1300,a,1,16,4,0,0,0,1,1106361,226,1300,c,1,20000,1,0,0,0,4,,1106361,
574,,4,,,,Chrysobalanaceae,Couepia,ulei,,272,1300,a,1,21,4,0,0,0,1,1106354,278,1300,a,1,20000,1,0,0,1,4,,1106354,
569,,4,,,,Chrysobalanaceae,Couepia,ulei,,192,1300,a,1,16,4,0,0,0,1,1106349,204,1300,c,1,15000,1,0,0,1,3b,,1106349,
563,,4,,,,Chrysobalanaceae,Hirtella,indet,,0,1300,a,1,0,4,0,0,0,1,1106340,0,1300,0,mr,0,,0,0,,,,1106340,
579,,4,,,,Chrysobalanaceae,Parinari,indet,,185,1300,a,1,16,4,0,0,0,1,1106360,20.9,1300,a,1,20000,1,0,0,0,4,,1106360,
598,,5,,,,Burseraceae,Protium,amazonicum,,156,1300,a,1,14,4,0,0,0,1,1106380,278,1300,a,1,18000,1,0,0,0,5,,1106380,
602.2.A,,5,,,,Burseraceae,Protium,sagotianum,,114,1300,a,1,10,4,0,0,0,1,1106385,124,1300,c,1,15000,1,0,0,0,5,,1106385,
