Tag No,Old No,T1,T2,X,Y,family,genus,species,Old Tree Notes,"D 
2013.2","POM 
2013.2","F1 
2013.2","F2 
2013.2","Height 
2013.2","F5 
2013.2","F3 
2013.2","F4 
2013.2","LI 
2013.2","CI 
2013.2","Census Notes 
2013.2","D 
2014.2","POM 
2014.2",F1,F2,"Height 
2014.2",F5,F3,F4,"LI 
2014.2","CI 
2014.2","Census Notes 
2014.2",Tree ID,"D 
2015.2","POM 
2015.2",F1,F2,"Height 
2015.2",F5,F3,F4,"LI 
2015.2","CI 
2015.2",Census Notes,Tree ID,New Tag No
1,,1,,,,Apocynaceae,Aspidosperma,indet,,170,1300,a,1,12,4,0,0,,,,171,1300,a,1,12,4,0,0,,,,1107599,170,1300,ah,1,18000,1,0,0,1,4,,1107614,
2,,1,,,,Sapotaceae,Micropholis,guyanensis,,104,1300,a,1,12,4,0,0,,,,105,1300,a,1,12,4,0,0,,,,1107600,105,1300,ah,1,17000,1,0,0,1,4,,1107604,
3,,1,,,,Fabaceae,Andira,inermis,,270,1300,a,1,18,4,0,0,,,,274,1300,a,1,18,4,0,0,,,,1107601,27.5,1300,a,1,20000,1,0,0,0,5,,1107606,
4,,1,,,,Urticaceae,Pourouma,mollis,,254,1300,a,1,18,4,0,0,,,,255,1300,a,1,18,4,0,0,,,,1107602,256,1300,m,1,16000,1,0,0,1,2b,,1107607,
5,,1,,,,Euphorbiaceae,Senefeldera,inclinata,,200,1300,b,1,15,4,0,0,,,broken at 10m,201,1300,a,1,17,4,0,0,,,,1107603,200,1300,a,1,15000,1,0,0,0,2a,,1107611,
6,,1,,,,Elaeocarpaceae,Sloanea,guianensis,,105,1300,a,1,12,4,0,0,,,,106,1300,a,1,12,4,0,0,,,,1107604,107,1300,c,1,15000,1,0,0,0,3b,,1107605,
7,,1,,,,Lauraceae,Ocotea,insularis,,140,1300,a,1,13,4,0,0,,,,145,1300,a,1,13,4,0,0,,,,1107605,150,1300,a,1,19000,1,0,0,0,3b,,1107621,
8,,1,,,,Elaeocarpaceae,Sloanea,rufa,,120,1300,a,1,10,4,0,0,,,,122,1300,a,1,11,4,0,0,,,,1107606,120,1300,a,1,15000,1,0,0,0,2c,,1107600,
9,,1,,,,Elaeocarpaceae,Sloanea,guianensis,,243,1300,a,1,13,4,0,0,,,,243,1300,m,1,15,4,0,0,,,,1107607,252,1300,m,1,20000,1,0,0,1,4,,1107612,
10,,1,,,,Rubiaceae,Faramea,torquata,,183,1300,a,1,14,4,0,0,,,,185,1300,a,1,15,4,0,0,,,,1107608,185,1300,m,1,18000,1,0,0,1,2c,,1107602,
11,,1,,,,Fabaceae,Tachigali,setifera,,141,1300,a,1,14,4,0,0,,,,151,1300,a,1,12,4,0,0,,,,1107609,162,1300,a,1,20000,1,0,0,0,4,,1107622,
12,,1,,,,Fabaceae,Tachigali,setifera,,114,1300,a,1,10,4,0,0,,,,122,1300,a,1,13,4,0,0,,,,1107610,122,1300,a,1,16000,1,0,0,0,3a,,1107613,
13,,1,,,,Burseraceae,Protium,altsonii,,155,1300,a,1,12,4,0,0,,,,160,1300,a,1,14,4,0,0,,,,1107611,165,1300,m,1,17000,1,0,0,1,3b,,1107603,
14,,1,,,,Sapotaceae,Micropholis,guyanensis,,197,1300,a,1,12,4,0,0,,,,198,1300,ah,1,16,4,0,0,,,,1107612,197,1300,ah,1,20000,1,0,0,0,5,,1107615,
15,,1,,,,Melastomataceae,Miconia,splendens,,100,1300,a,1,14,4,0,0,,,,106,1300,ah,1,17,4,0,0,,,,1107613,113,1300,ah,1,18000,1,0,0,0,4,,1107616,
16,,1,,,,Vochysiaceae,Qualea,paraensis,,100,1300,a,1,10,4,0,0,,,,104,1300,a,1,12,4,0,0,,,,1107614,111,1300,a,1,15000,1,0,0,0,3b,,1107619,
17,,1,,,,Euphorbiaceae,Senefeldera,inclinata,,169,1300,a,1,13,4,0,0,,,,172,1300,a,1,12,4,0,0,,,,1107615,17.3,1300,a,1,15000,1,0,0,1,4,,1107599,
18,,1,,,,Euphorbiaceae,Senefeldera,inclinata,,166,1300,a,1,16,4,0,0,,,,166,1300,b,1,8,4,0,0,,,7,1107616,0,1300,0,bps,0,,0,0,,,,1107618,
19,,1,,,,Fabaceae,Tachigali,setifera,,290,1300,a,1,14,4,0,0,,,,315,1300,a,1,17,4,0,0,,,,1107617,314,2200,m,1,19000,1,0,0,3,4,,1107601,
20,,1,,,,Apocynaceae,Aspidosperma,rigidum,,117,1300,a,1,9,4,0,0,,,,118,1300,a,1,9,4,0,0,,,,1107618,117,1300,em,1,13000,1,0,0,3,1,,1107620,
21,,1,,,,Euphorbiaceae,Senefeldera,inclinata,,111,1300,a,1,8,4,0,0,,,,113,1300,a,1,8,4,0,0,,,,1107619,112,1300,a,1,12000,1,0,0,0,2a,,1107617,
22,,1,,,,Fabaceae,Tachigali,setifera,,306,1300,a,1,15,4,0,0,,,,308,1300,a,1,15,4,0,0,,,,1107620,308,1300,a,1,20000,1,0,0,0,4,,1107609,
23,,1,,,,Meliaceae,Guarea,macrophylla,,104,1250,a,1,7,4,0,0,,,,105,1250,a,1,8,4,0,0,,,,1107621,106,1250,m,1,10000,1,0,0,3,1,,1107610,
24,,1,,,,Urticaceae,Pourouma,mollis,,162,1300,a,1,16,4,0,0,,,,164,1300,a,1,16,4,0,0,,,,1107622,164,1300,a,1,15000,1,0,0,0,2c,,1107608,
25,,2,,,,Calophyllaceae,Marila,indet,,218,1300,a,1,16,4,0,0,,,,240,1300,a,1,18,4,0,0,,,,1107623,272,1300,a,1,22000,1,0,0,0,5,,1107636,
26,,2,,,,Elaeocarpaceae,Sloanea,guianensis,,204,1300,a,1,12,4,0,0,,,,207,1300,a,1,17,4,0,0,,,,1107624,213,1300,a,1,19000,1,0,0,0,4,,1107627,
27,,2,,,,Indet,Indet,indet,,230,1350,a,1,17,4,0,0,,,,230,1350,a,1,18,4,0,0,,,corteza caediza,1107625,228,1350,a,1,18000,1,0,0,0,4,,1107628,
28,,2,,,,Sapotaceae,Micropholis,guyanensis,,356,1800,a,1,14,4,0,0,,,,357,1800,a,1,17,4,0,0,,,,1107626,357,1800,a,1,20000,1,0,0,0,5,,1107632,
29,,2,,,,Myrtaceae,Myrcia,splendens,,167,1300,a,1,11,4,0,0,,,,144,1300,a,1,11,4,0,0,,,,1107627,0,1300,0,bps,0,,0,0,,,,1107626,
30,,2,,,,Myrtaceae,Myrcia,splendens,,127,1300,a,1,12,4,0,0,,,,128,1300,a,1,12,4,0,0,,,,1107628,128,1300,a,1,17000,1,0,0,0,3b,,1107633,
31,,2,,,,Moraceae,Brosimum,utile,,275,1300,a,1,20,4,0,0,,,,275,1300,a,1,18,4,0,0,,,,1107629,275,1300,a,1,22000,1,0,0,0,4,,1107629,
32,,2,,,,Caryocaraceae,Caryocar,amygdaliforme,,385,1300,a,1,15,4,0,0,,,,385,1300,a,1,16,4,0,0,,,,1107630,0,1300,0,lr,0,,0,0,,,,1107631,
33,,2,,,,Moraceae,Helicostylis,tomentosa,,197,1300,a,1,14,4,0,0,,,,196,1300,a,1,15,4,0,0,,,,1107631,195,1500,a,1,16000,1,0,0,0,2c,,1107638,
34,,2,,,,Urticaceae,Pourouma,minor,,335,1800,a,1,16,4,0,0,,,,339,1800,a,1,20,4,0,0,,,,1107632,344,1800,m,1,22000,1,0,0,2,4,,1107624,
35,,2,,,,Lauraceae,Persea,peruviana,,138,1300,a,1,8,4,0,0,,,,140,1300,a,1,7,4,0,0,,,,1107633,141,1300,c,1,17000,1,0,0,0,3b,,1107630,
36,,2,,,,Rubiaceae,Schizocalyx,obovatus,,134,1300,a,1,12,4,0,0,,,,135,1300,a,1,11,4,0,0,,,,1107634,138,1300,a,1,12000,1,0,0,0,3b,,1107637,
37,,2,,,,Rubiaceae,Schizocalyx,obovatus,,104,1300,a,1,7,4,0,0,,,,105,1300,a,1,9,4,0,0,,,,1107635,107,1300,m,1,11000,1,0,0,1,2c,,1107634,
38,,2,,,,Melastomataceae,Miconia,splendens,,232,2100,a,1,13,4,0,0,,,,242,2100,a,1,13,4,0,0,,,,1107636,248,2100,cem,1,18000,1,0,0,2,4,,1107635,
39,,2,,,,Rubiaceae,Schizocalyx,obovatus,,107,1300,a,1,8,4,0,0,,,,110,1300,a,1,8,4,0,0,,,,1107637,113,1300,c,1,8000,1,0,0,0,2a,,1107625,
40,,2,,,,Elaeocarpaceae,Sloanea,guianensis,,168,1800,e,1,11,4,0,0,,,,171,1800,a,1,12,4,0,0,,,,1107638,172,2000,e,1,17000,1,0,0,0,5,,1107623,
