plot_code,sub_plot,tree_tag,family,genus,specie,year,month,day,wood_density_g_cm3,tree_height_m,pom_height_m,dbh_northsouth_cm,dbh_westeast_cm,rainfor_flag1,rainfor_flag2,rainfor_flag3,quality_code,comments
ACJ,3,1,Melastomataceae ,,,2013,2,14,NaN,4.5,1.3,5.02,5.71,ah,,,,
ACJ,3,2,Melastomataceae ,,,2013,2,14,NaN,3.5,1.3,3.82,3.96,chi,,,,
ACJ,3,3,Melastomataceae ,,,2013,2,14,NaN,2.3,1.3,3.33,3.37,c,,,,
ACJ,3,4,Melastomataceae ,,,2013,2,14,NaN,4.5,1.3,5.39,5.92,c,,,,
ACJ,3,5,Symplocaceae,Symplocos,,2013,2,14,NaN,4,1.3,3.31,4.34,ci,,,,
ACJ,3,7,Melastomataceae ,,,2013,2,14,NaN,4.5,1.3,6.7,4.67,ch,,,,
ACJ,3,8,Melastomataceae ,o,,2013,2,14,NaN,3,1.3,2.76,2.78,dhi,,,,
ACJ,3,9,Melastomataceae ,,,2013,2,14,NaN,3,1.3,2.5,2.79,dhi,,,,
ACJ,3,10,Solanaceae,Sessea,,2013,2,14,NaN,6,1.3,2.9,2.76,c,,,,
ACJ,3,11,Solanaceae,Sessea,,2013,2,14,NaN,3,1.3,3.9,2.82,c,,,,
ACJ,3,15,Campanulaceae,,,2013,2,14,NaN,5,1.3,4.29,4.5,c,,,,
ACJ,3,16,Cunoniaceae,,,2013,2,14,NaN,5.3,1.3,6.65,5.78,d,,,,
ACJ,3,17,Melastomataceae ,,,2013,2,14,NaN,5,1.3,5.05,5.23,ch,,,,
ACJ,3,18,Indeterminado,,,2013,2,14,NaN,6.3,1.3,6.26,7.5,a,,,,
ACJ,3,19,Melastomataceae ,,,2013,2,14,NaN,3,1.3,2.2,2.2,ch,,,,
ACJ,3,20,Melastomataceae ,,,2013,2,14,NaN,3,1.3,2.95,2.76,ch,,,,
ACJ,3,21,Melastomataceae ,,,2013,2,14,NaN,3.5,1.3,4.39,3.79,a,,,,
ACJ,3,22,Melastomataceae ,,,2013,2,14,NaN,2.5,1.3,2.37,2.34,ch,,,,
ACJ,3,23,Lauraceae,,,2013,2,14,NaN,3.3,1.3,5,4.96,di,,,,
ACJ,3,24,Lauraceae,,,2013,2,14,NaN,3,1.3,2.9,2.67,ch,,,,
ACJ,3,25,Melastomataceae ,,,2013,2,14,NaN,5,1.3,2.84,2.84,d,,,,
ACJ,3,26,Melastomataceae ,,,2013,2,14,NaN,7.5,1.3,3.98,4.26,ch,,,,
ACJ,3,27,Melastomataceae ,,,2013,2,14,NaN,4,1.3,3.43,3.69,ch,,,,
ACJ,3,28,Melastomataceae ,,,2013,2,14,NaN,4,1.3,2.08,2.17,ch,,,,
ACJ,3,29,Melastomataceae ,,,2013,2,14,NaN,3,1.3,3.66,3.31,d,,,,
ACJ,3,30,Symplocaceae,Symplocos,,2013,2,14,NaN,4,1.3,2.93,2.83,d,,,,
ACJ,3,31,Melastomataceae ,,,2013,2,14,NaN,6,1.3,5,4.9,c,,,,
ACJ,3,32,Symplocaceae,Symplocos,sp,2013,2,14,NaN,3,1.3,2.67,2.32,c,,,,
ACJ,3,33,Indeterminado,,,2013,2,14,NaN,4,1.3,2.6,2.82,di,,,,
ACJ,3,34,Lauraceae,,,2013,2,14,NaN,3.5,1.3,2.76,2.85,a,,,,
ACJ,3,35,Melastomataceae ,,,2013,2,14,NaN,4.5,1.3,3.09,2.61,c,,,,
ACJ,3,36,Melastomataceae ,,,2013,2,14,NaN,3,1.3,4.2,4.36,c,,,,
ACJ,3,37,Melastomataceae ,,,2013,2,14,NaN,4,1.3,8.71,9.33,c,,,,
ACJ,3,38,Campanulaceae,,,2013,2,14,NaN,3.5,1.3,4.6,4.32,c,,,,
ACJ,3,39,Campanulaceae,,,2013,2,14,NaN,2.3,1.3,3.05,2.86,c,,,,
ACJ,3,40,Symplocaceae,Symplocos,sp,2013,2,14,NaN,2,1.3,1.9,2.08,a,,,,
ACJ,3,41,Solanaceae,Sessea,,2013,2,14,NaN,3.5,1.3,3.14,3.41,ch,,,,
ACJ,3,42,Solanaceae,Sessea,,2013,2,14,NaN,4,1.3,2.85,2.62,ch,,,,
ACJ,3,43,Solanaceae,Sessea,,2013,2,14,NaN,2.5,1.3,2.24,2.35,ch,,,,
ACJ,3,44,Symplocaceae,Symplocos,sp,2013,2,14,NaN,3,1.3,2.59,2.9,ch,,,,
