plot_code,sub_plot,tree_tag,family,genus,specie,year,month,day,wood_density_g_cm3,tree_height_m,pom_height_m,dbh_northsouth_cm,dbh_westeast_cm,rainfor_flag1,rainfor_flag2,rainfor_flag3,quality_code,comments
PAN03,3,1,Arecaceae,Geonoma,,2013,4,3,NaN,4.5,1.3,2.13,2.15,a,,,,
PAN03,3,2,Sabiaceae,Indeterminado,,2013,4,3,NaN,4.5,1.3,2.31,2.34,a,,,,
PAN03,3,3,Arecaceae,Geonoma,,2013,4,3,NaN,5.5,1.3,4.51,4.45,a,,,,
PAN03,3,4,Indeterminado,Indeterminado,,2013,4,3,NaN,6.5,1.3,7.5,7.19,a,,,,
PAN03,3,6,Indeterminado,Indeterminado,,2013,4,3,NaN,2.5,1.3,2.1,2.4,a,,,,
PAN03,3,8,Melastomataceae,Indeterminado,,2013,4,3,NaN,2,1.3,3.04,2.03,c,,,,
PAN03,3,10,Euphorbiaceae,Alchornea,,2013,4,3,NaN,3,1.3,2.4,2.44,a,,,,
PAN03,3,11,Myrtaceae,Eugenia,,2013,4,3,NaN,4.5,1.3,6.5,6.33,c,,,,
PAN03,3,12,Indeterminado,Indeterminado,,2013,4,3,NaN,4.5,1.3,3.41,3.61,c,,,,
PAN03,3,13,Cecropiaceae,Cecropia,,2013,4,3,NaN,6.5,1.3,6.6,7,a,,,,
PAN03,3,14,Euphorbiaceae,Croton,,2013,4,3,NaN,4.5,1.3,3.46,3.86,ch,,,,
PAN03,3,15,Euphorbiaceae,Croton,,2013,4,3,NaN,5.5,1.3,3.61,3.27,ch,,,,
PAN03,3,16,Myristicaceae,virola,,2013,4,3,NaN,4,1.3,3.32,2.36,c,,,,
PAN03,3,17,Myristicaceae,Indeterminado,,2013,4,3,NaN,3.5,1.35,2.47,2.37,a,,,,
PAN03,3,18,Indeterminado,Indeterminado,,2013,4,3,NaN,3,1.3,2.08,2.1,a,,,,
PAN03,3,19,Indeterminado,Indeterminado,,2013,4,3,NaN,5,1.3,3.73,3.82,a,,,,
PAN03,3,20,Indeterminado,Indeterminado,,2013,4,3,NaN,3.5,1.3,5.49,5.43,c,,,,
PAN03,3,21,Indeterminado,Indeterminado,,2013,4,3,NaN,4.5,1.3,4.04,4.2,c,,,,
PAN03,3,22,Elaeocarpaceae,Sloanea,,2013,4,3,NaN,3,1.3,4.72,4.39,d,,,,
PAN03,3,23,Indeterminado,Indeterminado,,2013,4,3,NaN,4,1.3,3.33,3.44,a,,,,
PAN03,3,24,Indeterminado,Indeterminado,,2013,4,3,NaN,3.5,1.3,2.78,2.5,c,,,,
PAN03,3,25,Indeterminado,Indeterminado,,2013,4,3,NaN,5.5,1.3,5.97,5.88,a,,,,
PAN03,3,26,Indeterminado,Indeterminado,,2013,4,3,NaN,2.5,1.3,1.99,2.3,c,,,,
PAN03,3,27,Meliaceae,Indeterminado,,2013,4,3,NaN,4.5,1.3,4.45,4.09,a,,,,
PAN03,3,28,Indeterminado,Indeterminado,,2013,4,3,NaN,2.5,1.3,3.31,3.08,c,,,,
PAN03,3,29,Myrtaceae,Indeterminado,,2013,4,3,NaN,4,1.3,3.06,3.03,a,,,,
PAN03,3,30,Cyatheaceae,Cyathea,,2013,4,3,NaN,4,1.3,3.49,3.45,a,,,,
PAN03,3,31,Indeterminado,Indeterminado,,2013,4,3,NaN,3,1.3,2.85,2.71,a,,,,
PAN03,3,32,Arecaceae,Wettinia,,2013,4,3,NaN,10,1.3,7.57,7.5,a,,,,
PAN03,3,34,Indeterminado,Indeterminado,,2013,4,3,NaN,4.5,1.3,3.79,4.08,a,,,,
PAN03,3,35,Meliaceae,Indeterminado,,2013,4,3,NaN,3.5,1.3,2.49,2.43,a,,,,
PAN03,3,36,Myrtaceae,Eugenia,,2013,4,3,NaN,3.5,1.3,2.13,2.23,a,,,,
PAN03,3,37,Indeterminado,Indeterminado,,2013,4,3,NaN,6.5,1.3,5.61,5.75,a,,,,
PAN03,3,39,Bombacaceae,Indeterminado,,2013,4,3,NaN,5,1.3,4.93,5.04,a,,,,
PAN03,3,40,Indeterminado,Indeterminado,,2013,4,3,NaN,2.5,1.3,2.61,2.1,a,,,,
PAN03,3,41,Sapotaceae,Micropholis,,2013,4,3,NaN,2.5,1.3,2.64,2.6,a,,,,
PAN03,3,42,Cyatheaceae,Cyathea,,2013,4,3,NaN,2.5,1.3,2.79,2.79,a,,,,
PAN03,3,43,Annonaceae,Indeterminado,,2013,4,3,NaN,4.5,1.3,4.32,4.71,a,,,,
PAN03,3,45,Indeterminado,Indeterminado,,2013,4,3,NaN,5,1.3,6.47,7.27,a,,,,
PAN03,3,46,Elaeocarpaceae,Sloanea,,2013,4,3,NaN,3.5,1.3,3.21,3.52,a,,,,
PAN03,3,48,Indeterminado,Indeterminado,,2013,4,3,NaN,3,1.3,2.68,2.55,a,,,,
PAN03,3,49,Indeterminado,Indeterminado,,2013,4,3,NaN,7,1.3,4.25,5.46,a,,,,
PAN03,3,51,Rubiaceae,Faramea,,2013,4,3,NaN,5,1.3,6.43,9.52,c,,,,
PAN03,3,52,Arecaceae,Geonoma,,2013,4,3,NaN,4.5,1.3,5.67,5.61,a,,,,
PAN03,3,53,Indeterminado,Indeterminado,,2013,4,3,NaN,2.5,1.3,2.33,2.63,c,,,,
PAN03,3,54,Cyatheaceae,Cyathea,,2013,4,3,NaN,2,1.3,3.56,3.77,a,,,,
PAN03,3,55,Primulaceae,Indeterminado,,2013,4,3,NaN,7,1.3,5.42,7,a,,,,
PAN03,3,56,Rubiaceae,Indeterminado,,2013,4,3,NaN,2.5,1.3,2.09,2.06,c,,,,
PAN03,3,57,Fabaceae,Indeterminado,,2013,4,3,NaN,6,1.3,3.85,3.26,a,,,,
PAN03,3,58,Indeterminado,Indeterminado,,2013,4,3,NaN,3,1.3,7.41,7.49,a,,,,
PAN03,3,59,Indeterminado,Indeterminado,,2013,4,3,NaN,9,1.3,6.64,8.48,a,,,,
PAN03,3,60,Burseraceae,Protium,,2013,4,3,NaN,3.5,1.3,2.66,2.59,a,,,,
PAN03,3,61,Indeterminado,Indeterminado,,2013,4,3,NaN,4.5,1.3,8.94,8.9,a,,,,
PAN03,3,62,Indeterminado,Indeterminado,,2013,4,3,NaN,3,1.3,2.88,2.57,c,,,,
PAN03,3,63,Arecaceae,Geonoma,,2013,4,3,NaN,2.5,1.3,2.06,2,a,,,,
PAN03,3,65,Cyatheaceae,Cyathea,,2013,4,3,NaN,4,1.3,5.2,5.6,a,,,,
PAN03,3,66,Melastomataceae,Indeterminado,,2013,4,3,NaN,3,1.3,2.13,2.12,a,,,,
