plot_code,year,month,day,ingrowth_core_num,is_stock_yn,ingrowth_core_litterfall_g,soil_humidity_pcnt,soil_temperature_c,ol_layer_depth_cm,ml_layer_depth_cm,time_step,time_step_minutes,ol_under_2mm_g,ml_under_2mm_g,ol_2to3_mm_g,ml_2to3_mm_g,ol_3to4_mm_g,ml_3to4_mm_g,ol_4to5_mm_g,ml_4to5_mm_g,ol_above_5mm_g,ml_above_5mm_g,quality_code,comments
PAN-02,2013,4,15,1,y,NaN,NaN,NaN,NaN,30,1,10,NaN,2.21,NaN,3.2,NaN,NaN,NaN,NaN,NaN,NaN,,stock
PAN-02,2013,4,15,1,y,NaN,NaN,NaN,NaN,30,2,10,NaN,0.66,NaN,0.1,NaN,NaN,NaN,NaN,NaN,NaN,,stock
PAN-02,2013,4,15,1,y,NaN,NaN,NaN,NaN,30,3,10,NaN,0.25,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,stock
PAN-02,2013,4,15,1,y,NaN,NaN,NaN,NaN,30,4,10,NaN,0.16,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,stock
PAN-02,2013,4,15,2,y,NaN,NaN,NaN,NaN,30,1,10,NaN,5.74,NaN,1.39,NaN,NaN,NaN,NaN,NaN,NaN,,stock
PAN-02,2013,4,15,2,y,NaN,NaN,NaN,NaN,30,2,10,NaN,1.02,NaN,0.28,NaN,NaN,NaN,NaN,NaN,NaN,,stock
PAN-02,2013,4,15,2,y,NaN,NaN,NaN,NaN,30,3,10,NaN,0.63,NaN,0.16,NaN,NaN,NaN,NaN,NaN,NaN,,stock
PAN-02,2013,4,15,2,y,NaN,NaN,NaN,NaN,30,4,10,NaN,0.47,NaN,0.05,NaN,NaN,NaN,NaN,NaN,NaN,,stock
PAN-02,2013,4,15,3,y,NaN,NaN,NaN,NaN,30,1,10,NaN,4.6,NaN,1.41,NaN,NaN,NaN,NaN,NaN,NaN,,stock
PAN-02,2013,4,15,3,y,NaN,NaN,NaN,NaN,30,2,10,NaN,0.82,NaN,0.1,NaN,NaN,NaN,NaN,NaN,NaN,,stock
PAN-02,2013,4,15,3,y,NaN,NaN,NaN,NaN,30,3,10,NaN,0.34,NaN,0.06,NaN,NaN,NaN,NaN,NaN,NaN,,stock
PAN-02,2013,4,15,3,y,NaN,NaN,NaN,NaN,30,4,10,NaN,0.13,NaN,0.28,NaN,NaN,NaN,NaN,NaN,NaN,,stock
PAN-02,2013,4,15,4,y,NaN,NaN,NaN,NaN,30,1,10,NaN,1.95,NaN,2.32,NaN,NaN,NaN,NaN,NaN,NaN,,stock
PAN-02,2013,4,15,4,y,NaN,NaN,NaN,NaN,30,2,10,NaN,0.47,NaN,0.22,NaN,NaN,NaN,NaN,NaN,NaN,,stock
PAN-02,2013,4,15,4,y,NaN,NaN,NaN,NaN,30,3,10,NaN,0.47,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,stock
PAN-02,2013,4,15,4,y,NaN,NaN,NaN,NaN,30,4,10,NaN,0.33,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,stock
PAN-02,2013,4,15,5,y,NaN,NaN,NaN,NaN,30,1,10,NaN,3.01,NaN,2.31,NaN,NaN,NaN,NaN,NaN,NaN,,stock
PAN-02,2013,4,15,5,y,NaN,NaN,NaN,NaN,30,2,10,NaN,0.43,NaN,1.25,NaN,NaN,NaN,NaN,NaN,NaN,,stock
PAN-02,2013,4,15,5,y,NaN,NaN,NaN,NaN,30,3,10,NaN,0.39,NaN,0.11,NaN,NaN,NaN,NaN,NaN,NaN,,stock
PAN-02,2013,4,15,5,y,NaN,NaN,NaN,NaN,30,4,10,NaN,0.29,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,stock
PAN-02,2013,4,15,6,y,NaN,NaN,NaN,NaN,30,1,10,NaN,3.56,NaN,1.99,NaN,NaN,NaN,NaN,NaN,NaN,,stock
PAN-02,2013,4,15,6,y,NaN,NaN,NaN,NaN,30,2,10,NaN,0.47,NaN,0.28,NaN,NaN,NaN,NaN,NaN,NaN,,stock
PAN-02,2013,4,15,6,y,NaN,NaN,NaN,NaN,30,3,10,NaN,0.18,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,stock
PAN-02,2013,4,15,6,y,NaN,NaN,NaN,NaN,30,4,10,NaN,0.09,NaN,0.05,NaN,NaN,NaN,NaN,NaN,NaN,,stock
PAN-02,2013,4,15,7,y,NaN,NaN,NaN,NaN,30,1,10,NaN,1.85,NaN,2.32,NaN,NaN,NaN,NaN,NaN,NaN,,stock
PAN-02,2013,4,15,7,y,NaN,NaN,NaN,NaN,30,2,10,NaN,0.42,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,stock
PAN-02,2013,4,15,7,y,NaN,NaN,NaN,NaN,30,3,10,NaN,0.25,NaN,0.89,NaN,NaN,NaN,NaN,NaN,NaN,,stock
PAN-02,2013,4,15,7,y,NaN,NaN,NaN,NaN,30,4,10,NaN,0.24,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,stock
PAN-02,2013,4,15,8,y,NaN,NaN,NaN,NaN,30,1,10,NaN,1.88,NaN,0.05,NaN,NaN,NaN,NaN,NaN,NaN,,stock
PAN-02,2013,4,15,8,y,NaN,NaN,NaN,NaN,30,2,10,NaN,0.44,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,stock
PAN-02,2013,4,15,8,y,NaN,NaN,NaN,NaN,30,3,10,NaN,0.17,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,stock
PAN-02,2013,4,15,8,y,NaN,NaN,NaN,NaN,30,4,10,NaN,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,stock
PAN-02,2013,4,15,9,y,NaN,NaN,NaN,NaN,30,1,10,NaN,3.77,NaN,2.95,NaN,NaN,NaN,NaN,NaN,NaN,,stock
PAN-02,2013,4,15,9,y,NaN,NaN,NaN,NaN,30,2,10,NaN,0.63,NaN,0.21,NaN,NaN,NaN,NaN,NaN,NaN,,stock
PAN-02,2013,4,15,9,y,NaN,NaN,NaN,NaN,30,3,10,NaN,0.29,NaN,0.14,NaN,NaN,NaN,NaN,NaN,NaN,,stock
PAN-02,2013,4,15,9,y,NaN,NaN,NaN,NaN,30,4,10,NaN,0.2,NaN,0.03,NaN,NaN,NaN,NaN,NaN,NaN,,stock
PAN-02,2013,4,15,10,y,NaN,NaN,NaN,NaN,30,1,10,NaN,3.14,NaN,0.49,NaN,NaN,NaN,NaN,NaN,NaN,,stock
PAN-02,2013,4,15,10,y,NaN,NaN,NaN,NaN,30,2,10,NaN,1.05,NaN,0.37,NaN,NaN,NaN,NaN,NaN,NaN,,stock
PAN-02,2013,4,15,10,y,NaN,NaN,NaN,NaN,30,3,10,NaN,0.42,NaN,0.16,NaN,NaN,NaN,NaN,NaN,NaN,,stock
PAN-02,2013,4,15,10,y,NaN,NaN,NaN,NaN,30,4,10,NaN,0.21,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,stock
PAN-02,2013,4,15,11,y,NaN,NaN,NaN,NaN,30,1,10,NaN,3.39,NaN,2.24,NaN,NaN,NaN,NaN,NaN,NaN,,stock
PAN-02,2013,4,15,11,y,NaN,NaN,NaN,NaN,30,2,10,NaN,1.1,NaN,0.85,NaN,NaN,NaN,NaN,NaN,NaN,,stock
PAN-02,2013,4,15,11,y,NaN,NaN,NaN,NaN,30,3,10,NaN,0.34,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,stock
PAN-02,2013,4,15,11,y,NaN,NaN,NaN,NaN,30,4,10,NaN,0.13,NaN,0.43,NaN,NaN,NaN,NaN,NaN,NaN,,stock
