plot_code,year,month,day,ingrowth_core_num,is_stock_yn,ingrowth_core_litterfall_g,soil_humidity_pcnt,soil_temperature_c,ol_layer_depth_cm,ml_layer_depth_cm,time_step,time_step_minutes,ol_under_2mm_g,ml_under_2mm_g,ol_2to3_mm_g,ml_2to3_mm_g,ol_3to4_mm_g,ml_3to4_mm_g,ol_4to5_mm_g,ml_4to5_mm_g,ol_above_5mm_g,ml_above_5mm_g,quality_code,comments
PAN-03,2013,6,18,1,n,6.77,39.3,21.5,NaN,30,1,10,NaN,0.144,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
PAN-03,2013,6,18,1,n,NaN,NaN,NaN,NaN,30,2,10,NaN,0.054,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
PAN-03,2013,6,18,1,n,NaN,NaN,NaN,NaN,30,3,10,NaN,0.05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
PAN-03,2013,6,18,1,n,NaN,NaN,NaN,NaN,30,4,10,NaN,0.038,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
PAN-03,2013,6,18,2,n,3.78,49.3,21.5,NaN,30,1,10,NaN,0.018,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
PAN-03,2013,6,18,2,n,NaN,NaN,NaN,NaN,30,2,10,NaN,0.014,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
PAN-03,2013,6,18,2,n,NaN,NaN,NaN,NaN,30,3,10,NaN,0.018,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
PAN-03,2013,6,18,2,n,NaN,NaN,NaN,NaN,30,4,10,NaN,0.002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
PAN-03,2013,6,18,3,n,4.31,42.8,21.7,NaN,30,1,10,NaN,0.212,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
PAN-03,2013,6,18,3,n,NaN,NaN,NaN,NaN,30,2,10,NaN,0.014,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
PAN-03,2013,6,18,3,n,NaN,NaN,NaN,NaN,30,3,10,NaN,0.02,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
