FAMILY	GENUS	SPECIES	WSG
Fabaceae	Abarema	jupunba	0.61
Fabaceae	Abarema	macradenia	0.44
Pinaceae	Abies	guatemalensis	0.43
Menispermaceae	Abuta	rufescens	0.45
Fabaceae	Acacia	albicorticata	0.49
Fabaceae	Acacia	angustissima	0.85
Fabaceae	Acacia	aroma	0.81
Fabaceae	Acacia	caven	0.77
Fabaceae	Acacia	cochliacantha	0.94
Fabaceae	Acacia	collinsii	0.8
Fabaceae	Acacia	furcatispina	0.87
Fabaceae	Acacia	hindsii	0.78
Fabaceae	Acacia	macracantha	0.73
Fabaceae	Acacia	mayana	0.73
Fabaceae	Acacia	polyphylla	0.64
Fabaceae	Acacia	praecox	0.77
Fabaceae	Acacia	tenuifolia	0.49
Fabaceae	Acacia	tucumanensis	0.63
Fabaceae	Acacia	visco	0.69
Santalaceae	Acanthosyris	falcata	0.65
Santalaceae	Acanthosyris	glabrata	0.6
Myrtaceae	Acca	sellowiana	0.75
Chrysobalanaceae	Acioa	guianensis	0.86
Malpighiaceae	Acmanthera	latifolia	0.69
Fabaceae	Acosmium	dasycarpum	0.7
Fabaceae	Acosmium	nitens	0.8
Fabaceae	Acosmium	panamense	0.81
Fabaceae	Acosmium	praeclarum	0.68
Euphorbiaceae	Adelia	oaxacana	0.87
Euphorbiaceae	Adelia	triloba	0.54
Fabaceae	Adenanthera	pavonina	0.7
Rutaceae	Adiscanthus	fusciflorus	0.82
Verbenaceae	Aegiphila	integrifolia	0.86
Verbenaceae	Aegiphila	intermedia	0.43
Verbenaceae	Aegiphila	klotzkiana	0.68
Aextoxicaceae	Aextoxicon	punctatum	0.55
Opiliaceae	Agonandra	brasiliensis	0.82
Opiliaceae	Agonandra	silvatica	0.83
Lauraceae	Aiouea	impressa	0.37
Fabaceae	Albizia	guachapele	0.52
Fabaceae	Albizia	inundata	0.56
Fabaceae	Albizia	niopoides	0.56
Fabaceae	Albizia	pistaciifolia	0.45
Fabaceae	Albizia	procera	0.47
Fabaceae	Albizia	purpusii	0.64
Euphorbiaceae	Alchornea	brachygyne	0.34
Euphorbiaceae	Alchornea	castaneifolia	0.34
Euphorbiaceae	Alchornea	costaricensis	0.3
Euphorbiaceae	Alchornea	glandulosa	0.38
Euphorbiaceae	Alchornea	grandis	0.34
Euphorbiaceae	Alchornea	iricurana	0.51
Euphorbiaceae	Alchornea	latifolia	0.42
Euphorbiaceae	Alchornea	triplinervia	0.47
Euphorbiaceae	Alchorneopsis	portoricensis	0.45
Euphorbiaceae	Alchorneopsis	trimera	0.36
Fabaceae	Aldina	heterophylla	0.74
Fabaceae	Aldina	insignis	0.71
Fabaceae	Aldina	latifolia	0.74
Fabaceae	Alexa	grandiflora	0.64
Fabaceae	Alexa	imperatricis	0.49
Fabaceae	Alexa	wachenheimii	0.49
Rubiaceae	Alibertia	curviflora	0.73
Rubiaceae	Alibertia	edulis	0.76
Rubiaceae	Alibertia	sessilis	0.88
Lecythidaceae	Allantoma	lineata	0.49
Sapindaceae	Allophylus	amazonicus	0.55
Sapindaceae	Allophylus	camptostachys	0.77
Sapindaceae	Allophylus	edulis	0.65
Sapindaceae	Allophylus	floribundus	0.39
Sapindaceae	Allophylus	peruvianus	0.39
Sapindaceae	Allophylus	scrobiculatus	0.46
Betulaceae	Alnus	acuminata	0.4
Betulaceae	Alnus	jorullensis	0.38
Rubiaceae	Alseis	blackiana	0.54
Rubiaceae	Alseis	floribunda	0.85
Rubiaceae	Alseis	peruviana	0.65
Rubiaceae	Alseis	yucatanensis	0.6
Simaroubaceae	Alvaradoa	amorphoides	0.56
Rubiaceae	Amaioua	guianensis	0.63
Euphorbiaceae	Amanoa	glaucophylla	0.8
Euphorbiaceae	Amanoa	guianensis	0.84
Euphorbiaceae	Amanoa	oblongifolia	0.83
Apocynaceae	Ambelania	acida	0.55
Apocynaceae	Ambelania	quadrangularis	0.51
Fabaceae	Amburana	cearensis	0.53
Myrtaceae	Amomyrtella	guili	0.61
Ulmaceae	Ampelocera	edentula	0.7
Ulmaceae	Ampelocera	hottlei	0.66
Ulmaceae	Ampelocera	ruizii	0.77
Anacardiaceae	Amphipterygium	adstringens	0.41
Violaceae	Amphirrhox	longifolia	0.71
Bignoniaceae	Amphitecna	tuxtlensis	0.46
Rutaceae	Amyris	balsamifera	0.9
Rutaceae	Amyris	elemifera	0.97
Anacardiaceae	Anacardium	excelsum	0.39
Anacardiaceae	Anacardium	giganteum	0.46
Anacardiaceae	Anacardium	occidentale	0.44
Anacardiaceae	Anacardium	parvifolium	0.57
Anacardiaceae	Anacardium	spruceanum	0.46
Fabaceae	Anadenanthera	colubrina	0.88
Fabaceae	Anadenanthera	peregrina	0.93
Annonaceae	Anaxagorea	crassipetala	0.48
Annonaceae	Anaxagorea	dolichocarpa	0.58
Fabaceae	Andira	coriacea	0.73
Fabaceae	Andira	fraxinifolia	0.92
Fabaceae	Andira	inermis	0.64
Fabaceae	Andira	parviflora	0.71
Fabaceae	Andira	surinamensis	0.71
Fabaceae	Andira	unifoliolata	0.76
Lauraceae	Aniba	affinis	0.52
Lauraceae	Aniba	burchellii	0.52
Lauraceae	Aniba	canelilla	0.94
Lauraceae	Aniba	cylindriflora	0.67
Lauraceae	Aniba	excelsa	0.55
Lauraceae	Aniba	firmula	0.56
Lauraceae	Aniba	guianensis	0.52
Lauraceae	Aniba	hostmanniana	0.62
Lauraceae	Aniba	hypoglauca	0.53
Lauraceae	Aniba	ovalifolia	0.55
Lauraceae	Aniba	panurensis	0.61
Lauraceae	Aniba	parviflora	0.54
Lauraceae	Aniba	perutilis	0.5
Lauraceae	Aniba	puchury-minor	0.53
Lauraceae	Aniba	riparia	0.57
Lauraceae	Aniba	rosaeodora	0.68
Lauraceae	Aniba	terminalis	0.54
Lauraceae	Aniba	williamsii	0.64
Anisophylleaceae	Anisophyllea	manausensis	0.86
Annonaceae	Annona	crassiflora	0.56
Annonaceae	Annona	foetida	0.57
Annonaceae	Annona	glabra	0.5
Annonaceae	Annona	hypoglauca	0.38
Annonaceae	Annona	muricata	0.36
