Time ,Day,Month,Year,Light,WindSpeed,WindDir,Rainfall,Pressure,Temperature,RH
0:00:00,1,6,2012,0,0,345,0,6926.43,6.51,
0:30:00,1,6,2012,0,0,180,0,8046.01,6.28,
1:00:00,1,6,2012,0,0,325,0,7250.58,5.93,
1:30:00,1,6,2012,0,0,270,0,8029.01,6.08,
2:00:00,1,6,2012,0,0,230,0,8038.98,6.28,
2:30:00,1,6,2012,0,0,235,0,8041.91,7.13,
3:00:00,1,6,2012,0,0,190,0,7179.36,6.51,
3:30:00,1,6,2012,0,0,205,0,8042.79,7.06,
4:00:00,1,6,2012,0,0,170,0,7520.22,6.21,
4:30:00,1,6,2012,0,0,105,0,6786.04,5.68,
5:00:00,1,6,2012,0,0,245,0,8032.53,5,
5:30:00,1,6,2012,0,0,270,0,8024.03,4.73,
6:00:00,1,6,2012,0,0,240,0,8027.54,4.91,
6:30:00,1,6,2012,13.14,0,235,0,8025.49,4.7,
7:00:00,1,6,2012,78.62,0,260,0,8027.84,5.68,
7:30:00,1,6,2012,124.39,0,45,0,4594.07,7.69,
8:00:00,1,6,2012,259.52,0,5,0,4578.83,8.68,
8:30:00,1,6,2012,419.4,0,50,0,4324.73,11.25,
9:00:00,1,6,2012,443.49,0,35,0,5017.58,11.97,
9:30:00,1,6,2012,215.06,0,40,0,3990.03,10.13,
10:00:00,1,6,2012,179.15,0,40,0,4413.24,8.7,
10:30:00,1,6,2012,333.55,0,40,0,4970.39,8.92,
11:00:00,1,6,2012,329.61,0,70,0,5833.52,9.83,
11:30:00,1,6,2012,773.98,0,75,0,4941.09,11.1,
12:00:00,1,6,2012,537.66,0,40,0,3931.41,11.6,
12:30:00,1,6,2012,808.14,0,35,0,3950.46,11.19,
13:00:00,1,6,2012,558.47,0,35,0,4097.88,11.37,
13:30:00,1,6,2012,369.68,0,55,0,4803.92,10.35,
14:00:00,1,6,2012,274.63,0,50,0,5066.23,9.65,
14:30:00,1,6,2012,254.48,0,45,0,4922.62,9.25,
15:00:00,1,6,2012,139.5,0,45,0,4581.47,8.45,
15:30:00,1,6,2012,82.56,0,45,0,5596.42,7.95,
16:00:00,1,6,2012,47.74,0,65,0,5125.73,7.63,
16:30:00,1,6,2012,39.64,0,70,0,5283.7,7.49,
