Time ,Day,Month,Year,Light,Windspeed,Windvane,Rainfall,Temp,RH,
21:00:00,1,6,2013,NA,0.46,0,0,NA,NA,
21:30:00,1,6,2013,NA,0,0,0,NA,NA,
22:00:00,1,6,2013,NA,0,0,0,NA,NA,
22:30:00,1,6,2013,NA,0,0,0,NA,NA,
23:00:00,1,6,2013,NA,0,0,0,NA,NA,
23:30:00,1,6,2013,NA,0,0,0,NA,NA,
0:00:00,2,6,2013,NA,0,0,0,NA,NA,
0:30:00,2,6,2013,NA,0,0,0,NA,NA,
1:00:00,2,6,2013,NA,0,0,0,NA,NA,
1:30:00,2,6,2013,NA,0,0,0,NA,NA,
2:00:00,2,6,2013,NA,0,0,0,NA,NA,
2:30:00,2,6,2013,NA,0,0,0,NA,NA,
3:00:00,2,6,2013,NA,0,0,0,NA,NA,
3:30:00,2,6,2013,NA,0,0,0,NA,NA,
4:00:00,2,6,2013,NA,0,0,0,NA,NA,
4:30:00,2,6,2013,NA,0,0,0,NA,NA,
5:00:00,2,6,2013,NA,0,0,0,NA,NA,
5:30:00,2,6,2013,NA,0,0,0,NA,NA,
6:00:00,2,6,2013,NA,0,0,0,NA,NA,
6:30:00,2,6,2013,NA,0,0,0,NA,NA,
7:00:00,2,6,2013,NA,0,0,0,NA,NA,
7:30:00,2,6,2013,NA,0,0,0,NA,NA,
8:00:00,2,6,2013,NA,0,0,0,NA,NA,
8:30:00,2,6,2013,NA,0,0,0,NA,NA,
9:00:00,2,6,2013,NA,0,0,0,NA,NA,
9:30:00,2,6,2013,NA,0,0,0,NA,NA,
10:00:00,2,6,2013,NA,0,0,0,NA,NA,
10:30:00,2,6,2013,NA,0,0,0,NA,NA,
11:00:00,2,6,2013,NA,0,0,0,NA,NA,
11:30:00,2,6,2013,NA,0,0,0,NA,NA,
12:00:00,2,6,2013,NA,1.925,310,0,NA,NA,
12:30:00,2,6,2013,NA,0,310,0,NA,NA,
13:00:00,2,6,2013,NA,0,330,0,NA,NA,
13:30:00,2,6,2013,NA,0,320,0,NA,NA,
14:00:00,2,6,2013,NA,0,320,0,NA,NA,
14:30:00,2,6,2013,NA,0,75,0,NA,NA,
15:00:00,2,6,2013,NA,0,215,0,NA,NA,
15:30:00,2,6,2013,NA,0,215,0,NA,NA,
16:00:00,2,6,2013,NA,0,305,0,NA,NA,
16:30:00,2,6,2013,NA,0,335,0,NA,NA,
17:00:00,2,6,2013,NA,0,325,0,NA,NA,
17:30:00,2,6,2013,NA,0,330,0,NA,NA,
18:00:00,2,6,2013,NA,0,0,0,NA,NA,
18:30:00,2,6,2013,NA,0,5,0,NA,NA,
19:00:00,2,6,2013,NA,0,315,0,NA,NA,
19:30:00,2,6,2013,NA,0,310,0,NA,NA,
20:00:00,2,6,2013,NA,0,305,0,NA,NA,
20:30:00,2,6,2013,NA,5.525,275,0,NA,NA,
21:00:00,2,6,2013,NA,0,275,0,NA,NA,
21:30:00,2,6,2013,NA,0,20,0,NA,NA,
22:00:00,2,6,2013,NA,0,180,0,NA,NA,
22:30:00,2,6,2013,NA,0,180,0,NA,NA,
23:00:00,2,6,2013,NA,0,195,0,NA,NA,
23:30:00,2,6,2013,NA,0,190,0,NA,NA,
0:00:00,3,6,2013,0,15.529,195,0,20.38,99.389,
0:30:00,3,6,2013,0,0,195,0,20.33,99.378,
1:00:00,3,6,2013,-0.23,0,190,0,20.32,99.273,
1:30:00,3,6,2013,0,0,210,0,20.32,98.736,
2:00:00,3,6,2013,0,19.799,200,0,20.35,98.336,
2:30:00,3,6,2013,-0.23,0,205,0,20.38,98.2,
3:00:00,3,6,2013,0,0,210,0,20.33,98.094,
3:30:00,3,6,2013,0,0,210,0,20.33,98.484,
4:00:00,3,6,2013,0,0,75,0,20.37,98.936,
4:30:00,3,6,2013,0,0,75,0,20.32,99.157,
5:00:00,3,6,2013,0,15.864,250,0,20.33,99.336,
5:30:00,3,6,2013,0,0,250,0,20.18,99.2,
6:00:00,3,6,2013,0,0,170,0,20.14,98.905,
6:30:00,3,6,2013,3.27,0,170,0,20.02,99.084,
7:00:00,3,6,2013,14.97,0,125,0,20.11,99.2,
7:30:00,3,6,2013,33.69,0,130,0,20.53,99.357,
8:00:00,3,6,2013,53.57,0,130,0,20.95,99.378,
8:30:00,3,6,2013,127.28,0,130,0,21.09,98.8,
9:00:00,3,6,2013,112.54,0,210,0,21.79,98.294,
9:30:00,3,6,2013,115.81,0,175,0,22.6,98.147,
10:00:00,3,6,2013,139.91,0,165,0,23.03,96.894,
10:30:00,3,6,2013,102.24,0,200,0,22.78,96.252,
11:00:00,3,6,2013,230.22,0,210,0,23.06,97.094,
11:30:00,3,6,2013,518.71,0,220,0,25.41,93.526,
12:00:00,3,6,2013,454.14,0,295,0,27.51,84.442,
12:30:00,3,6,2013,702.62,2.302,335,0,27.77,83.673,
13:00:00,3,6,2013,446.88,0,95,0,27.77,81.821,
