Time,Day,Month,Year,Light,Windspeed,WindDir,Rainfall,Temperature,RH
12:00,2,7,2009,371.34,,,0,23.1,69.452
12:30,2,7,2009,362.51,,,0,21.85,75.357
13:00,2,7,2009,266.13,,,0.2,21.86,76.505
13:30,2,7,2009,258.96,,,0,21.55,76.957
14:00,2,7,2009,215.37,,,0,21.4,78.947
14:30,2,7,2009,162.03,,,0,20.87,84.568
15:00,2,7,2009,63.63,,,0,20.23,88.431
15:30,2,7,2009,48.55,,,0,19.65,91.21
16:00,2,7,2009,56.83,,,0,19.42,92.915
16:30,2,7,2009,45.42,,,0,19.4,92.41
17:00,2,7,2009,25.93,,,0,19.29,92.189
17:30,2,7,2009,2.94,,,0,18.89,93.431
18:00,2,7,2009,0,,,0,18.29,94.147
18:30,2,7,2009,0,,,0,17.68,96.042
19:00,2,7,2009,0,,,0,17.44,97.168
19:30,2,7,2009,0,,,0,17.32,97.442
20:00,2,7,2009,0,,,0,17.25,97.863
20:30,2,7,2009,0,,,0,17.22,98.063
21:00,2,7,2009,0,,,0,17.16,98.273
21:30,2,7,2009,0,,,0,17.11,98.294
22:00,2,7,2009,0,,,0,17.01,98.336
22:30,2,7,2009,0,,,0,16.9,98.421
23:00,2,7,2009,0,,,0,16.92,98.515
23:30,2,7,2009,0,,,0,16.86,98.61
0:00,3,7,2009,0,,,0,16.71,98.61
0:30,3,7,2009,0,,,0,16.53,98.61
1:00,3,7,2009,0,,,0,16.27,98.8
1:30,3,7,2009,0,,,0,15.78,98.894
2:00,3,7,2009,0,,,0,16,98.978
2:30,3,7,2009,0,,,0,16.17,98.978
3:00,3,7,2009,0,,,0,16.23,98.778
3:30,3,7,2009,0,,,0,16.19,98.778
4:00,3,7,2009,0,,,0,16.26,98.873
4:30,3,7,2009,0,,,0,16.27,98.778
5:00,3,7,2009,0,,,0,15.81,98.842
5:30,3,7,2009,0,,,0,15.27,98.989
6:00,3,7,2009,0,,,0,15.34,99.094
6:30,3,7,2009,8.46,,,0,15.32,99.252
7:00,3,7,2009,24.82,,,0,15.02,98.8
7:30,3,7,2009,181.71,,,0,15.54,97.515
8:00,3,7,2009,353.13,,,0,18.24,80.473
8:30,3,7,2009,477.1,,,0,19.98,77.147
9:00,3,7,2009,677.94,,,0,21.92,68.873
9:30,3,7,2009,383.48,,,0,21.94,76.01
10:00,3,7,2009,588,,,0,23.14,74.684
10:30,3,7,2009,247.01,,,0,20.91,83.231
11:00,3,7,2009,315.06,,,0,21.28,81.873
11:30,3,7,2009,315.61,,,0,21.46,82.326
12:00,3,7,2009,421.73,,,0,21.06,84
12:30,3,7,2009,322.97,,,0,22,78.957
13:00,3,7,2009,390.65,,,0,22.14,81.378
13:30,3,7,2009,268.53,,,0,21.62,81.347
14:00,3,7,2009,182.45,,,0,20.99,84.673
14:30,3,7,2009,178.03,,,0,20.34,88.389
15:00,3,7,2009,153.39,,,0,20.18,89.189
15:30,3,7,2009,38.62,,,0,19.55,90.715
16:00,3,7,2009,16,,,0,19.02,94.61
16:30,3,7,2009,5.51,,,0.6,18.62,95.294
17:00,3,7,2009,13.42,,,8.68,18,97.042
17:30,3,7,2009,4.04,,,20.4,17.68,98.063
18:00,3,7,2009,0,,,1.41,17.52,98.294
18:30,3,7,2009,0,,,0,17.44,98.494
19:00,3,7,2009,0,,,0,17.07,98.168
19:30,3,7,2009,0,,,0,16.31,97.863
20:00,3,7,2009,0,,,0,16,98.947
20:30,3,7,2009,0,,,0.2,16.14,98.778
21:00,3,7,2009,0,,,0,16.18,99
21:30,3,7,2009,0,,,0,16.24,99.031
22:00,3,7,2009,0,,,0,16.22,99.031
22:30,3,7,2009,0,,,0,15.77,99.021
23:00,3,7,2009,0,,,0,15.77,99.2
23:30,3,7,2009,0,,,0,15.96,99.252
0:00,4,7,2009,0,,,1.61,16,99.252
0:30,4,7,2009,0,,,0.2,15.89,99.157
1:00,4,7,2009,0,,,0.2,15.84,99.157
1:30,4,7,2009,0,,,0,15.93,99.336
2:00,4,7,2009,0,,,0,16.04,99.157
2:30,4,7,2009,0,,,0.6,15.96,99.326
3:00,4,7,2009,0,,,0.2,15.93,99.147
3:30,4,7,2009,0,,,0.2,15.86,99.326
4:00,4,7,2009,0,,,0,15.62,99.378
4:30,4,7,2009,0,,,0,15.32,99.452
5:00,4,7,2009,0,,,0,14.93,99.6
5:30,4,7,2009,0,,,0,14.48,99.568
6:00,4,7,2009,0,,,0,14.16,99.821
6:30,4,7,2009,12.87,,,0,13.82,99.884
7:00,4,7,2009,61.98,,,0,14.34,99.768
7:30,4,7,2009,73.56,,,0,15.2,99.6
8:00,4,7,2009,103.36,,,0,15.92,99.147
8:30,4,7,2009,157.8,,,0,16.89,98.768
9:00,4,7,2009,181.71,,,0,17.99,96.631
9:30,4,7,2009,169.39,,,0,18.72,94.042
10:00,4,7,2009,389,,,0,20.28,82.326
10:30,4,7,2009,293.54,,,0,22.36,78.842
11:00,4,7,2009,737.72,,,0,22.77,73.073
11:30,4,7,2009,197.53,,,0,21.51,80.715
12:00,4,7,2009,220.89,,,0,21.89,79.157
12:30,4,7,2009,161.85,,,0,20.44,90.305
13:00,4,7,2009,201.94,,,0,20.58,90.231
13:30,4,7,2009,117.52,,,0,20.59,85.957
14:00,4,7,2009,189.99,,,0,20.83,86.252
14:30,4,7,2009,190.91,,,0,21.3,84.915
15:00,4,7,2009,128.01,,,0,20.63,87.61
15:30,4,7,2009,69.33,,,0,19.45,92.515
16:00,4,7,2009,62.9,,,0,19.17,93.442
16:30,4,7,2009,36.6,,,0,18.68,94.442
17:00,4,7,2009,8.46,,,0,18.28,95.4
17:30,4,7,2009,0,,,0,18.03,96.221
18:00,4,7,2009,0,,,0,17.8,97.2
18:30,4,7,2009,0,,,0.4,17.62,97.789
19:00,4,7,2009,0,,,0.4,17.52,98.2
19:30,4,7,2009,0,,,1.21,17.48,98.368
20:00,4,7,2009,0,,,1.61,17.38,98.589
20:30,4,7,2009,0,,,0,17.32,98.789
21:00,4,7,2009,0,,,0.2,17.29,98.81
21:30,4,7,2009,0,,,0.2,17.25,98.936
22:00,4,7,2009,0,,,0.4,17.2,98.989
22:30,4,7,2009,0.18,,,0.2,17.15,98.757
23:00,4,7,2009,0,,,0,17.08,98.789
23:30,4,7,2009,0,,,0,17.12,99.115
0:00,5,7,2009,0,,,0,17,98.936
0:30,5,7,2009,0,,,0,16.95,99.157
1:00,5,7,2009,0,,,0,17,99.336
1:30,5,7,2009,0,,,0,16.96,99.336
2:00,5,7,2009,0,,,0,16.81,99.031
2:30,5,7,2009,0,,,0,16.75,99.231
3:00,5,7,2009,0,,,0,16.75,99.084
3:30,5,7,2009,0,,,0,16.47,99.252
4:00,5,7,2009,0,,,0,16.36,99.231
4:30,5,7,2009,0,,,0,15.98,99.178
5:00,5,7,2009,0,,,0,15.85,99.168
5:30,5,7,2009,0,,,0,15.89,99.231
6:00,5,7,2009,0,,,0,15.69,99.147
6:30,5,7,2009,17.65,,,0,15.34,99.347
7:00,5,7,2009,82.95,,,0,15.34,99.452
7:30,5,7,2009,217.95,,,0,16.5,98.347
8:00,5,7,2009,301.82,,,0,18.22,90.557
8:30,5,7,2009,424.49,,,0,19.64,86.484
9:00,5,7,2009,132.42,,,0,19.8,86.873
9:30,5,7,2009,230.82,,,0,19.86,87.705
10:00,5,7,2009,201.94,,,0,20.98,84.915
10:30,5,7,2009,221.44,,,0,20.16,90.347
11:00,5,7,2009,841.45,,,0,21.62,84.642
11:30,5,7,2009,510.94,,,0,22.72,71.294
12:00,5,7,2009,1026.66,,,0,23.95,72
12:30,5,7,2009,1014.16,,,0,22.24,78.842
13:00,5,7,2009,422.29,,,0,22.22,81.126
13:30,5,7,2009,210.04,,,0,21.65,83.242
