Day,Month,Year,Light,WindSpeed,WindDir,Rainfall,Tensiometer,RH,Temperature
1,6,2007,-3.72,0,0,0,-14.09,98.357,16.85
1,6,2007,-3.72,0,0,0,-14.09,97.726,16.86
1,6,2007,-3.53,0,0,0,-14.09,98.368,17.02
1,6,2007,-3.72,0,0,0,-14.53,98.284,17.04
1,6,2007,-3.72,0,0,0,-21.58,97.621,19.1
1,6,2007,-3.72,0,0,0,-20.7,97.621,19.12
1,6,2007,-3.53,0,0,0,-21.14,97.757,19.12
1,6,2007,-3.53,0,0,0,-22.02,97.263,19.2
1,6,2007,-3.63,0,0,0,-22.46,96.41,19.3
2,6,2007,-3.72,0,0,0,-19.59,98.357,18.67
2,6,2007,-3.53,0,0,0,-19.37,98.473,18.72
2,6,2007,-3.33,0,0,0,-19.81,97.747,18.74
2,6,2007,-3.53,0,0,0,-18.93,98.336,18.8
2,6,2007,-3.72,0,0,0,-18.49,98.315,18.82
2,6,2007,-3.53,0,0,0,-17.83,98.463,18.84
2,6,2007,-3.72,0,0,0.19,-17.39,98.463,18.87
2,6,2007,-3.53,0,0,0,-16.95,98.452,18.89
2,6,2007,0.19,0,0,0,-16.29,98.473,18.9
2,6,2007,22.17,0,0,0,-15.85,98.473,18.91
2,6,2007,-3.53,0,0,0,-20.03,97.8,18.96
2,6,2007,41.8,0,0,0,-15.41,98.473,19.04
2,6,2007,-3.72,0,0,0,-20.03,97.968,19.06
2,6,2007,-3.72,0,0,0,-20.25,97.957,19.1
2,6,2007,-3.53,0,0,0,-20.48,97.715,19.11
2,6,2007,65.16,0,0,0,-15.41,98.284,19.31
2,6,2007,103.82,0,0,0,-15.41,97.357,19.66
2,6,2007,187.04,0,0,0,-15.63,94.789,20.11
2,6,2007,-3.14,0,0,0,-22.68,97.589,20.34
2,6,2007,-3.14,0,0,0,-22.9,97.505,20.36
2,6,2007,-3.14,0,0,0,-23.34,97.463,20.38
2,6,2007,-3.14,0,0,0,-23.78,97.305,20.44
2,6,2007,-3.14,0,0,0,-24.22,97.042,20.55
2,6,2007,-3.33,0,0,0,-25.1,96.484,20.73
2,6,2007,256.91,0,0,0,-16.73,91.6,20.86
2,6,2007,-3.33,0,0,0,-25.76,95.905,20.88
2,6,2007,-3.14,0,0,0,-26.2,95.8,20.99
2,6,2007,-3.14,0,0,0,-26.86,94.81,21.24
2,6,2007,-3.14,0,0,0,-27.52,93.105,21.6
2,6,2007,331.5,0,0,0,-17.61,88.547,21.7
2,6,2007,-2.94,0,0,0,-28.18,91.873,21.93
2,6,2007,1.57,0,0,0,-29.5,90.231,22.46
2,6,2007,450.04,0,0,0,-18.71,83.947,22.81
2,6,2007,26.1,0,0,0,-31.49,85.989,23.2
2,6,2007,565.06,0,0,0,-20.03,79.347,23.83
2,6,2007,65.94,0,0,0,-31.49,82.642,24.01
2,6,2007,590.97,0,0,0,-21.58,73.6,24.66
2,6,2007,111.08,0,0,0,-31.49,79.631,24.91
2,6,2007,580.17,0,0,0,-23.12,70.252,25.25
2,6,2007,498.13,0,0,0,-24,69.863,25.49
2,6,2007,284,0,0,0,-31.49,74.494,25.73
2,6,2007,183.51,0,0,0,-31.49,75.294,25.76
2,6,2007,586.84,0,0,0,-24.88,68.863,25.82
2,6,2007,595.87,0,0,0,-26.86,64.578,26.62
2,6,2007,836.7,0,0,0,-29.28,64.263,26.93
2,6,2007,200.39,0,0,0,-31.49,67.631,27.1
2,6,2007,786.06,0,0,0,-31.49,62.747,27.69
2,6,2007,626.49,0,0,0,-31.49,63.031,27.85
3,6,2007,1.96,0,0,0,-18.93,98.147,19.23
3,6,2007,29.63,0,0,0,-18.49,98.178,19.25
3,6,2007,-3.14,0,0,0,-19.37,98.136,19.28
3,6,2007,-3.14,0,0,0,-20.03,98.042,19.34
3,6,2007,-3.14,0,0,0.19,-20.48,97.936,19.4
3,6,2007,-3.33,0,0,0.39,-34.57,98.21,19.42
3,6,2007,-3.14,0,0,0.19,-34.13,98.115,19.45
3,6,2007,-3.14,0,0,0.19,-20.7,97.61,19.46
3,6,2007,-3.33,0,0,0,-34.57,98.178,19.46
3,6,2007,-3.14,0,0,0,-27.08,97.947,19.49
3,6,2007,62.02,0,0,0,-18.27,98.273,19.49
3,6,2007,-3.14,0,0,0.19,-33.69,97.936,19.5
3,6,2007,-3.33,0,0,0.19,-33.47,98.052,19.5
3,6,2007,-3.14,0,0,0,-21.14,97.431,19.52
3,6,2007,-2.94,0,0,0,-22.02,97.915,19.53
3,6,2007,-3.14,0,0,0.19,-34.13,98.21,19.56
3,6,2007,-3.14,0,0,0.79,-34.13,98.136,19.57
3,6,2007,-3.33,0,0,0,-21.36,97.263,19.59
3,6,2007,-2.94,0,0,0,-22.9,97.768,19.6
3,6,2007,-3.33,0,0,0,-21.36,97.157,19.7
3,6,2007,-2.94,0,0,0,-24.44,97.684,19.73
3,6,2007,-3.14,0,0,0,-21.58,96.81,19.84
3,6,2007,0.78,0,0,0,-25.98,97.463,19.88
3,6,2007,131.5,0,0,0,-18.27,97.21,20.03
3,6,2007,-3.14,0,0,0,-22.02,96.178,20.05
3,6,2007,18.44,0,0,0,-27.52,96.642,20.05
3,6,2007,-3.33,0,0,0,-22.24,97.505,20.2
3,6,2007,-3.14,0,0,0,-22.24,97.747,20.27
3,6,2007,-3.33,0,0,0,-22.46,97.642,20.3
3,6,2007,28.26,0,0,0.59,-31.05,96.084,20.5
3,6,2007,87.14,0,0,0,-41.18,94.915,20.69
3,6,2007,56.91,0,0,0.19,-35.01,96.115,20.77
3,6,2007,79.88,0,0,0.39,-40.73,96.073,20.81
3,6,2007,216.68,0,0,0,-18.93,94.547,20.86
3,6,2007,69.87,0,0,1.58,-40.51,95.789,21.09
3,6,2007,223.94,0,0,0,-33.25,90.61,21.76
3,6,2007,207.85,0,0,0,-40.73,88.747,22.34
3,6,2007,62.21,0,0,7.12,-37.87,90.484,22.56
3,6,2007,264.37,0,0,0,-41.62,85.747,22.75
3,6,2007,319.92,0,0,0,-42.06,81.684,23.48
3,6,2007,181.55,0,0,0,-39.63,82.347,23.78
3,6,2007,242.39,0,0,0,-41.4,76.936,24.46
3,6,2007,536.21,0,0,0,-46.68,74.663,24.62
3,6,2007,531.1,0,0,0,-52.63,69.084,25.8
3,6,2007,501.27,0,0,0,-51.97,67.905,26.02
3,6,2007,301.86,0,0,0,-50.42,71.326,26.08
3,6,2007,541.11,0,0,0,-53.95,67.526,26.1
3,6,2007,542.49,0,0,0,-59.89,66.136,26.65
4,6,2007,0,0,0,0,-31.93,98.263,15.48
4,6,2007,0,0,0,0,-34.13,98.252,15.75
4,6,2007,62.61,0,0,0,-34.79,97.484,16.04
4,6,2007,28.65,0,0,0,-34.35,97.884,16.07
4,6,2007,19.03,0,0,0.19,-34.57,98.136,16.1
4,6,2007,2.35,0,0,0,-34.57,98.273,16.13
4,6,2007,0,0,0,0.19,-34.57,98.157,16.14
4,6,2007,-0.19,0,0,0,-32.59,97.315,16.22
4,6,2007,-1.17,0,0,0,-34.79,97.926,16.22
4,6,2007,-0.19,0,0,0.19,-34.79,98.021,16.32
4,6,2007,-1.96,0,0,0.19,-34.57,97.831,16.43
4,6,2007,135.03,0,0,0,-35.01,96.831,16.5
4,6,2007,-2.55,0,0,0.39,-34.79,98.063,16.51
4,6,2007,-2.55,0,0,0.59,-34.57,97.81,16.61
4,6,2007,-2.35,0,0,0.39,-34.35,97.442,16.84
4,6,2007,0,0,0,0,-31.93,96.894,16.97
4,6,2007,-2.55,0,0,0.79,-34.57,97.778,17.1
4,6,2007,-2.55,0,0,1.18,-34.35,97.61,17.32
4,6,2007,0,0,0,0,-31.49,97.568,17.54
4,6,2007,0,0,0,0,-33.69,97.789,17.68
4,6,2007,0,0,0,0,-34.13,97.631,17.7
4,6,2007,0,0,0,0,-34.35,97.431,17.75
4,6,2007,-2.55,0,0,0.79,-32.81,97.136,17.76
4,6,2007,283.61,0,0,0,-35.01,91.642,17.77
4,6,2007,0,0,0,0,-33.91,97.147,17.91
4,6,2007,0,0,0,0,-34.13,96.747,18.1
4,6,2007,128.94,0,0,0,-31.71,87.684,18.37
4,6,2007,0,0,0,0,-33.91,95.673,18.46
4,6,2007,-2.94,0,0,1.38,-31.49,96.557,18.57
4,6,2007,388.42,0,0,0,-35.23,87.347,18.96
4,6,2007,4.31,0,0,0,-31.49,94.021,19.11
4,6,2007,-3.14,0,0,2.77,-32.15,97.61,19.3
4,6,2007,22.17,0,0,0,-31.49,92.578,19.8
4,6,2007,44.35,0,0,0,-31.49,92.042,20.28
4,6,2007,573.3,0,0,0,-33.25,78.947,20.57
4,6,2007,68.49,0,0,0,-31.49,89.715,20.63
4,6,2007,88.71,0,0,0,-31.71,85.81,21.01
4,6,2007,103.63,0,0,0,-31.49,83.526,21.25
4,6,2007,135.62,0,0,0,-31.49,79.736,21.68
4,6,2007,201.76,0,0,0,-31.49,77.442,21.69
4,6,2007,206.08,0,0,0,-31.49,78.726,21.73
4,6,2007,323.06,0,0,0,-31.49,74.642,21.76
4,6,2007,457.7,0,0,0,-36.33,75.305,21.76
4,6,2007,355.64,0,0,0,-33.03,73.452,21.99
4,6,2007,339.94,0,0,0,-31.49,72.989,22.34
4,6,2007,224.14,0,0,0,-31.49,76.621,22.54
4,6,2007,311.67,0,0,0,-31.49,73.084,22.55
4,6,2007,353.09,0,0,0,-32.37,70.936,22.69
5,6,2007,24.33,0,0,0,-34.57,99.4,14.11
5,6,2007,4.12,0,0,0,-34.35,99.326,14.12
5,6,2007,0,0,0,0,-34.57,99.21,14.15
5,6,2007,63,0,0,0,-34.57,99.347,14.16
5,6,2007,0,0,0,0,-34.35,99.178,14.26
5,6,2007,0,0,0,0,-33.69,99.021,14.46
5,6,2007,104.41,0,0,0,-34.57,99.378,14.51
5,6,2007,0,0,0,0,-33.03,98.915,14.76
5,6,2007,0,0,0,0,-35.23,99.073,15
5,6,2007,0,0,0,0,-34.35,98.442,15.02
5,6,2007,189.4,0,0,0,-35.01,99.094,15.1
5,6,2007,0,0,0,0,-33.69,99.063,15.11
5,6,2007,0,0,0,0,-34.57,98.894,15.13
5,6,2007,0,0,0,0,-34.79,98.978,15.15
5,6,2007,0,0,0,0,-34.57,99.189,15.17
5,6,2007,0,0,0,0,-33.47,98.894,15.21
5,6,2007,0,0,0,0,-34.57,99.168,15.27
5,6,2007,365.26,0,0,0,-35.01,97.347,16.19
5,6,2007,542.88,0,0,0,-36.77,89.273,18.13
5,6,2007,0,0,0,0,51.75,97.621,19.37
5,6,2007,0,0,0,0,51.09,97.347,19.43
5,6,2007,691.26,0,0,0,-30.38,84.557,19.5
5,6,2007,0,0,0,0,50.64,97.094,19.6
5,6,2007,0,0,0,0,49.98,96.989,19.69
5,6,2007,0,0,0,0,49.1,96.631,19.76
5,6,2007,0,0,0,0,47.34,96.41,19.85
5,6,2007,0,0,0,0,45.14,96.189,19.9
5,6,2007,0,0,0,0,43.6,96.473,19.91
5,6,2007,0,0,0,0,41.18,96.652,19.91
5,6,2007,0,0,0,0,37.65,96.284,19.93
5,6,2007,0,0,0,0,33.03,95.863,19.94
5,6,2007,4.31,0,0,0,26.64,94.61,20.22
5,6,2007,793.13,0,0,0,-31.49,79.873,20.5
5,6,2007,876.34,0,0,0,-40.07,76.347,21.48
5,6,2007,21.78,0,0,0,18.05,88.294,21.76
5,6,2007,940.33,0,0,0,-36.33,72.452,22.89
5,6,2007,985.27,0,0,0,-34.57,65.315,24.27
5,6,2007,54.36,0,0,0,-3.08,77.252,24.39
5,6,2007,1003.72,0,0,0,-40.73,60.347,25.08
5,6,2007,996.66,0,0,0,-45.14,57.052,25.94
5,6,2007,126.98,0,0,0,-32.81,65.105,26.05
5,6,2007,961.92,0,0,0,-51.97,56.505,26.46
5,6,2007,337.97,0,0,0,-28.62,57.378,26.79
5,6,2007,484.2,0,0,0,-37.65,57.842,26.89
5,6,2007,905.78,0,0,0,-58.35,55.936,26.95
5,6,2007,825.12,0,0,0,-60.33,54.621,27.1
5,6,2007,611.77,0,0,0,-55.71,55.863,27.21
5,6,2007,727.18,0,0,0,-62.76,55.8,27.25
6,6,2007,0,0,0,0,67.6,97.905,16.8
6,6,2007,0,0,0,0,67.38,97.652,17.2
6,6,2007,0,0,0,0,67.38,97.368,17.65
6,6,2007,27.67,0,0,0,55.05,98.452,17.86
6,6,2007,4.51,0,0,0,55.05,98.378,17.9
6,6,2007,0,0,0,0,54.83,98.294,17.99
6,6,2007,65.75,0,0,0,55.27,98.4,18
6,6,2007,0,0,0,0,66.94,97.536,18.07
6,6,2007,0,0,0,0,54.61,98.336,18.08
6,6,2007,0,0,0,0,54.39,98.115,18.13
6,6,2007,0,0,0,0,54.17,97.936,18.31
6,6,2007,0,0,0,0,66.72,97.147,18.45
6,6,2007,124.23,0,0,0,55.49,97.705,18.5
6,6,2007,0,0,0,0,53.95,97.947,18.5
6,6,2007,0,0,0,0,53.73,97.589,18.71
6,6,2007,0,0,0,0,53.51,97.631,18.94
6,6,2007,0,0,0,0,66.94,95.8,19.1
6,6,2007,0,0,0,0,53.07,97.757,19.11
6,6,2007,0,0,0,0,52.85,97.747,19.23
6,6,2007,0,0,0,0,52.63,97.589,19.29
6,6,2007,0,0,0,0,52.41,97.578,19.3
6,6,2007,0,0,0,0,51.97,97.736,19.34
6,6,2007,183.12,0,0,0,56.15,94.915,19.36
6,6,2007,0,0,0,0,67.6,95.536,19.91
6,6,2007,225.31,0,0,0,56.81,93.715,20.22
6,6,2007,-0.19,0,0,0,67.16,94.757,20.71
6,6,2007,325.41,0,0,0,57.25,90.61,20.88
6,6,2007,0,0,0,0,66.94,94.463,20.97
6,6,2007,0,0,0,0,66.94,94.147,21.12
6,6,2007,0,0,0,0,67.16,94.326,21.26
6,6,2007,4.31,0,0,0,66.94,93.505,21.89
6,6,2007,418.44,0,0,0,58.13,82.01,22.06
6,6,2007,25.71,0,0,0,66.94,89.357,23.03
6,6,2007,712.26,0,0,0,59.01,78.357,23.4
6,6,2007,62.21,0,0,0,67.38,77.157,25.01
6,6,2007,794.89,0,0,0,58.79,71.115,25.18
6,6,2007,879.09,0,0,0,60.11,66.263,26.22
6,6,2007,140.33,0,0,0,65.84,63.463,26.31
6,6,2007,329.14,0,0,0,68.04,60.042,27.02
6,6,2007,965.06,0,0,0,61.21,59.8,27.31
6,6,2007,682.63,0,0,0,64.08,57.442,27.66
6,6,2007,895.58,0,0,0,63.2,54.589,27.7
6,6,2007,461.82,0,0,0,68.7,58.252,27.82
6,6,2007,857.11,0,0,0,63.64,52.2,28.09
6,6,2007,813.73,0,0,0,64.3,51.326,28.47
6,6,2007,571.14,0,0,0,67.6,52.494,28.51
6,6,2007,666.14,0,0,0,65.84,50.557,28.71
6,6,2007,755.25,0,0,0,64.74,50.484,28.73
7,6,2007,25.12,0,0,0,67.82,98.905,15.1
7,6,2007,39.05,0,0,0,67.82,99.136,15.15
7,6,2007,5.49,0,0,0,67.6,98.778,15.34
7,6,2007,0,0,0,0,68.04,98.768,15.68
7,6,2007,0,0,0,0,67.38,98.989,15.7
7,6,2007,-0.19,0,0,0,67.6,98.557,15.81
7,6,2007,70.65,0,0,0,67.82,99.189,16.02
7,6,2007,0,0,0,0,67.38,99.147,16.03
7,6,2007,0,0,0,0,66.72,98.736,16.07
7,6,2007,0,0,0,0,68.04,98.842,16.08
7,6,2007,0,0,0,0,67.16,98.915,16.15
7,6,2007,0,0,0,0,67.38,98.305,16.22
7,6,2007,0,0,0,0,67.6,99.2,16.28
7,6,2007,0,0,0,0,67.82,99.042,16.35
7,6,2007,-0.19,0,0,0,67.82,99.115,16.39
7,6,2007,0,0,0,0,67.6,98.231,16.53
7,6,2007,319.52,0,0,0,68.26,98.6,17.65
7,6,2007,0,0,0,0,77.29,97.989,18.91
7,6,2007,0,0,0,0,77.51,97.115,19
7,6,2007,0,0,0,0,77.51,98.2,19.16
7,6,2007,0,0,0,0,77.73,97.326,19.25
7,6,2007,0,0,0,0,77.73,96.463,19.4
7,6,2007,0,0,0,0,77.51,97.494,19.4
7,6,2007,449.26,0,0,0,67.82,92.6,19.64
7,6,2007,0,0,0,0,77.51,95.821,19.81
7,6,2007,0,0,0,0,77.29,96.273,19.95
7,6,2007,0,0,0,0,77.51,96.336,20
7,6,2007,-0.19,0,0,0,77.73,95.978,20.32
7,6,2007,0,0,0,0,77.51,95.221,20.81
7,6,2007,4.9,0,0,0,77.95,94,21.6
7,6,2007,568.4,0,0,0,67.16,82.642,21.83
7,6,2007,21.19,0,0,0,79.05,89.568,23.12
7,6,2007,657.11,0,0,0,71.57,74.336,23.99
7,6,2007,734.44,0,0,0,75.09,69.757,24.94
7,6,2007,797.64,0,0,0,71.79,66.663,25.91
7,6,2007,51.81,0,0,0,79.71,76.494,26.11
7,6,2007,840.82,0,0,0,72.67,61.663,27.05
7,6,2007,867.32,0,0,0,73.11,60.147,27.56
7,6,2007,336.6,0,0,0,80.37,60.61,27.81
7,6,2007,134.64,0,0,0,77.51,63.884,27.84
7,6,2007,878.5,0,0,0,74.21,56.989,28.1
7,6,2007,284.39,0,0,0,82.14,57.652,28.29
7,6,2007,871.63,0,0,0,75.31,52.526,28.69
7,6,2007,842.98,0,0,0,75.97,48.831,29.07
7,6,2007,568.59,0,0,0,79.05,53.378,29.2
7,6,2007,571.54,0,0,0,78.39,51.736,29.31
7,6,2007,740.13,0,0,0,76.63,49.368,29.4
7,6,2007,748.77,0,0,0,76.85,47.831,29.47
8,6,2007,25.71,0,0,0,76.63,99.263,13.89
8,6,2007,5.88,0,0,0,77.29,98.978,14.04
8,6,2007,43.17,0,0,0,76.63,99.547,14.33
8,6,2007,0,0,0,0,77.29,98.873,14.37
8,6,2007,0,0,0,0,77.51,98.915,14.66
8,6,2007,0,0,0,0,77.51,98.778,14.94
8,6,2007,0,0,0,0,77.51,98.673,15.19
8,6,2007,79.48,0,0,0,76.41,99.389,15.37
8,6,2007,0,0,0,0,77.73,98.294,15.49
8,6,2007,0,0,0,0,77.95,98.031,16
8,6,2007,0,0,0,0,77.73,98.263,16.43
8,6,2007,0,0,0,0,77.95,98.021,16.73
8,6,2007,304.41,0,0,0,76.85,98.694,17.13
8,6,2007,0,0,0,0,78.17,97.431,17.24
8,6,2007,0,0,0,0,78.17,97.294,17.82
8,6,2007,0,0,0,0,86.54,97.126,18.41
8,6,2007,0,0,0,0,78.17,97.063,18.44
8,6,2007,0,0,0,0,77.95,97.263,18.87
8,6,2007,0,0,0,0,86.54,96.505,19.05
8,6,2007,418.64,0,0,0,77.29,92.884,19.45
8,6,2007,0,0,0,0,86.1,97.189,19.55
8,6,2007,0,0,0,0,85.66,97.536,19.69
8,6,2007,0,0,0,0,85.66,97.652,19.74
8,6,2007,0,0,0,0,85.88,97.294,19.85
8,6,2007,-0.19,0,0,0,86.1,96.515,20.15
8,6,2007,0,0,0,0,85.66,96.768,20.27
8,6,2007,0,0,0,0,85.88,96.421,20.41
8,6,2007,0,0,0,0,85.66,96.105,20.64
8,6,2007,0,0,0,0,85.88,95.778,20.96
8,6,2007,560.94,0,0,0,75.09,79.694,21.61
8,6,2007,5.1,0,0,0,86.98,94.273,21.74
8,6,2007,701.47,0,0,0,79.49,73.61,23.4
8,6,2007,16.87,0,0,0,88.08,88.484,23.72
8,6,2007,781.15,0,0,0,84.56,68.536,24.58
8,6,2007,823.55,0,0,0,80.15,63.61,25.8
8,6,2007,50.63,0,0,0,88.3,76.652,26.2
8,6,2007,841.8,0,0,0,80.37,56.821,26.85
8,6,2007,138.56,0,0,0,85.66,65.052,27.58
8,6,2007,868.3,0,0,0,81.7,55.736,27.87
8,6,2007,877.33,0,0,0,82.8,59.894,28.18
8,6,2007,338.56,0,0,0,90.94,59.757,28.43
8,6,2007,845.92,0,0,0,83.9,58.315,28.9
8,6,2007,461.62,0,0,0,92.27,55.936,29.05
8,6,2007,850.63,0,0,0,84.56,56.273,29.06
8,6,2007,776.64,0,0,0,85.22,55.6,29.36
8,6,2007,725.8,0,0,0,85.66,55.315,29.43
8,6,2007,562.7,0,0,0,88.96,55.231,29.45
8,6,2007,657.89,0,0,0,86.54,53.221,29.55
9,6,2007,0,0,0,0,84.56,99.178,14.81
9,6,2007,0,0,0,0,84.78,98.978,14.84
9,6,2007,6.28,0,0,0,84.34,99.2,14.85
9,6,2007,0,0,0,0,85,98.757,15.06
9,6,2007,35.72,0,0,0,84.56,99.463,15.2
9,6,2007,0,0,0,0,85.22,98.8,15.37
9,6,2007,0,0,0,0,85,98.947,15.62
9,6,2007,54.17,0,0,0,85,99.347,15.69
9,6,2007,0,0,0,0,85.22,98.652,15.72
9,6,2007,0,0,0,0,85.66,98.463,16.01
9,6,2007,130.52,0,0,0,85,99.168,16.18
9,6,2007,0,0,0,0,85.88,98.2,16.33
9,6,2007,0,0,0,0,85.88,97.978,16.7
9,6,2007,0,0,0,0,86.32,97.905,17.14
9,6,2007,0,0,0,0,86.32,97.852,17.53
9,6,2007,240.23,0,0,0,84.78,98.273,17.84
9,6,2007,0,0,0,0,86.1,97.505,17.93
