Time ,Day,Month,Year,Light,WindSpeed,WindDir,Rainfall,Pressure,Temperature,RH
16:00:00,26,8,2013,53.41825,0,200,0,741.9163,28.97895,12.86765
16:30:00,26,8,2013,50.81249,0,200,0,740.1428,27.46316,12.57353
17:00:00,26,8,2013,31.92067,0,200,0,741.0296,27.2,12.05882
17:30:00,26,8,2013,10.20593,0,200,0,740.4384,27.43158,11.13869
18:00:00,26,8,2013,0,0,200,0,740.4384,24.57895,10.40714
18:30:00,26,8,2013,-0.21715,0,200,0,740.734,24.63158,9.93617
19:00:00,26,8,2013,0,0,200,0,741.0296,24.28421,9.79433
19:30:00,26,8,2013,0,0,200,0,741.3252,24.1579,9.46809
20:00:00,26,8,2013,0,0,200,0,741.6208,24.23158,9.12057
20:30:00,26,8,2013,0,0,200,0,741.9163,24.8,9.15603
21:00:00,26,8,2013,0,0,200,0,741.9163,24.89474,9.21986
21:30:00,26,8,2013,0,0,200,0,741.9163,24.41053,9.09929
22:00:00,26,8,2013,-0.21715,0,200,0,741.9163,24.63158,8.6831
22:30:00,26,8,2013,-0.65144,0,200,0,742.2119,24.51579,8.78169
23:00:00,26,8,2013,0,0,200,0,741.9163,23.96842,8.95775
23:30:00,26,8,2013,0,0,200,0,741.6208,24.56842,9
00:00:00,27,8,2013,0,0,200,0,741.6208,24.08421,8.76056
00:30:00,27,8,2013,-0.21715,0,200,0,741.6208,24.10526,8.85211
01:00:00,27,8,2013,-0.21715,0,200,0,741.3252,24.25263,8.72535
01:30:00,27,8,2013,0,0,240,0,741.3252,24.26316,8.69014
02:00:00,27,8,2013,0,0,240,0,741.3252,24.68421,8.5
02:30:00,27,8,2013,0,0,240,0,741.0296,25.06316,8.23944
03:00:00,27,8,2013,-0.21715,0,245,0,741.0296,25.30526,7.96528
03:30:00,27,8,2013,0,0,235,0,741.0296,25.49474,7.77083
04:00:00,27,8,2013,0,0,235,0,741.0296,25.77895,7.49306
04:30:00,27,8,2013,0,0,235,0,741.0296,25.6,7.40972
05:00:00,27,8,2013,0,0,235,0,740.734,25.90526,7.45139
05:30:00,27,8,2013,-0.21715,0,240,0,741.0296,26.04211,7.42361
06:00:00,27,8,2013,0.21715,0,240,0,741.9163,25.84211,7.36111
06:30:00,27,8,2013,17.15464,0,175,0,742.2119,26.56842,7.40278
07:00:00,27,8,2013,39.73797,0,135,0,741.9163,26.87369,7.64583
07:30:00,27,8,2013,53.85255,0,135,0,742.2119,27.43158,8.14789
08:00:00,27,8,2013,75.35014,0,55,0,742.2119,27.66316,8.89437
08:30:00,27,8,2013,158.0833,0,280,0,742.5075,30.88421,9.15603
09:00:00,27,8,2013,286.2003,0,120,0,742.8031,34.2,9.79433
09:30:00,27,8,2013,263.6169,0.02667,100,0,743.0987,31.46316,9.93617
10:00:00,27,8,2013,208.0272,0,335,0,742.8031,30.14737,10.35
10:30:00,27,8,2013,137.02,0,100,0,742.8031,27.69474,10.86429
11:00:00,27,8,2013,244.2908,0,125,0,743.0987,30.17895,10.81429
11:30:00,27,8,2013,371.7563,0.02667,140,0,741.9163,31.83158,11.65693
12:00:00,27,8,2013,393.0367,0.13333,150,0,741.6208,31.96842,12.22059
12:30:00,27,8,2013,274.2571,0,265,0,741.3252,29.56842,12.88971
13:00:00,27,8,2013,383.048,0.21333,275,0,741.9163,34.21053,13.14179
13:30:00,27,8,2013,237.5592,0,285,0,740.4384,26.49474,13.59702
14:00:00,27,8,2013,295.3204,0,105,0,740.4384,30.29474,12.625
14:30:00,27,8,2013,205.4214,0,165,0,740.1428,27.78947,12.63971
15:00:00,27,8,2013,93.37337,0,65,0,740.4384,26.24211,11.75912
15:30:00,27,8,2013,79.69308,0,135,0,740.734,25.06316,11.27007
16:00:00,27,8,2013,38.43509,0,0,0,740.734,24.32632,10.75714
16:30:00,27,8,2013,22.36618,0,50,0,741.3252,24.31579,10.15714
17:00:00,27,8,2013,11.94311,0,0,0,741.6208,25.14737,9.79433
17:30:00,27,8,2013,3.90865,0,90,0,741.6208,25.05263,9.74468
18:00:00,27,8,2013,0,0,110,0,741.9163,24.85263,9.4539
18:30:00,27,8,2013,-0.21715,0,110,0,742.8031,25.52632,9.34043
19:00:00,27,8,2013,0,0,110,0,742.5075,25.08421,9.30496
19:30:00,27,8,2013,0,0,110,0,743.0987,25.18947,9.28369
20:00:00,27,8,2013,0,0,110,0,743.3943,25.63158,9.29078
20:30:00,27,8,2013,0,0,225,0,743.3943,25.41053,9.30496
21:00:00,27,8,2013,0,0,235,0,743.6899,25.45263,9.31915
21:30:00,27,8,2013,-0.21715,0,235,0,743.6899,25.45263,9.24823
22:00:00,27,8,2013,-0.21715,0,235,0,744.281,25.35789,9.23404
22:30:00,27,8,2013,0,0,235,0,743.9854,25.43158,9.24823
23:00:00,27,8,2013,0,0,235,0,743.9854,25.27369,9.21277
23:30:00,27,8,2013,0,0,235,0,743.9854,25.02105,9.08511
00:00:00,28,8,2013,0,0,235,0,743.6899,25.03158,9.08511
00:30:00,28,8,2013,0,0,235,0,743.3943,25.03158,9.09929
01:00:00,28,8,2013,0,0,235,0,743.0987,24.67369,9.1844
01:30:00,28,8,2013,-0.21715,0,235,0,743.0987,25.18947,8.99296
02:00:00,28,8,2013,0,0,235,0,742.8031,24.81053,8.83099
02:30:00,28,8,2013,0,0,235,0,742.5075,24.76842,8.70423
03:00:00,28,8,2013,-0.21715,0,235,0,742.5075,25,8.66901
03:30:00,28,8,2013,0,0,295,0,742.5075,25.06316,8.70423
04:00:00,28,8,2013,-0.21715,0,295,0,742.8031,25.02105,8.73239
04:30:00,28,8,2013,0,0,140,0,742.8031,25.01053,8.66901
05:00:00,28,8,2013,0,0,85,0,743.0987,25.11579,8.57042
05:30:00,28,8,2013,0,0,260,0,743.0987,25.62105,8.33099
06:00:00,28,8,2013,0,0,265,0,743.3943,26.24211,8.20423
06:30:00,28,8,2013,0,0,265,0,743.9854,26.56842,8.23944
07:00:00,28,8,2013,0.43429,0,265,0.597,744.281,26.34737,8.29577
07:30:00,28,8,2013,9.77163,0,265,0.398,744.5766,26.94737,8.3662
08:00:00,28,8,2013,19.32612,0,265,0.398,745.1678,25.98948,8.61268
08:30:00,28,8,2013,16.06891,0,305,1.393,745.4634,25.70527,8.79577
09:00:00,28,8,2013,25.84054,0,310,1.592,746.0545,25.97895,8.78169
09:30:00,28,8,2013,68.83572,0,315,0.995,746.6457,26.34737,9.06383
10:00:00,28,8,2013,95.97914,0,85,0.398,746.0545,27.1579,9.62411
10:30:00,28,8,2013,83.16745,0,85,0.398,746.0545,26.92632,9.87943
11:00:00,28,8,2013,107.0537,0,100,0.398,745.4634,28.70527,9.99291
11:30:00,28,8,2013,146.1402,0,135,0.199,744.8722,29.16842,10.07143
12:00:00,28,8,2013,150.7003,0,115,0,744.5766,29.01053,10.21429
12:30:00,28,8,2013,128.7684,0,100,0,743.9854,28.5579,10.48571
