Time ,Day,Month,Year,Light,WindSpeed,WindDir,Rainfall,Pressure,Temperature,RH
16:00,26,8,2013,53.41825,0,200,0,741.9163,12.86765,28.97895
16:30,26,8,2013,50.81249,0,200,0,740.1428,12.57353,27.46316
17:00,26,8,2013,31.92067,0,200,0,741.0296,12.05882,27.2
17:30,26,8,2013,10.20593,0,200,0,740.4384,11.13869,27.43158
18:00,26,8,2013,0,0,200,0,740.4384,10.40714,24.57895
18:30,26,8,2013,-0.21715,0,200,0,740.734,9.93617,24.63158
19:00,26,8,2013,0,0,200,0,741.0296,9.79433,24.28421
19:30,26,8,2013,0,0,200,0,741.3252,9.46809,24.1579
20:00,26,8,2013,0,0,200,0,741.6208,9.12057,24.23158
20:30,26,8,2013,0,0,200,0,741.9163,9.15603,24.8
21:00,26,8,2013,0,0,200,0,741.9163,9.21986,24.89474
21:30,26,8,2013,0,0,200,0,741.9163,9.09929,24.41053
22:00,26,8,2013,-0.21715,0,200,0,741.9163,8.6831,24.63158
22:30,26,8,2013,-0.65144,0,200,0,742.2119,8.78169,24.51579
23:00,26,8,2013,0,0,200,0,741.9163,8.95775,23.96842
23:30,26,8,2013,0,0,200,0,741.6208,9,24.56842
0:00,27,8,2013,0,0,200,0,741.6208,8.76056,24.08421
0:30,27,8,2013,-0.21715,0,200,0,741.6208,8.85211,24.10526
1:00,27,8,2013,-0.21715,0,200,0,741.3252,8.72535,24.25263
1:30,27,8,2013,0,0,240,0,741.3252,8.69014,24.26316
2:00,27,8,2013,0,0,240,0,741.3252,8.5,24.68421
2:30,27,8,2013,0,0,240,0,741.0296,8.23944,25.06316
3:00,27,8,2013,-0.21715,0,245,0,741.0296,7.96528,25.30526
3:30,27,8,2013,0,0,235,0,741.0296,7.77083,25.49474
4:00,27,8,2013,0,0,235,0,741.0296,7.49306,25.77895
4:30,27,8,2013,0,0,235,0,741.0296,7.40972,25.6
5:00,27,8,2013,0,0,235,0,740.734,7.45139,25.90526
5:30,27,8,2013,-0.21715,0,240,0,741.0296,7.42361,26.04211
6:00,27,8,2013,0.21715,0,240,0,741.9163,7.36111,25.84211
6:30,27,8,2013,17.15464,0,175,0,742.2119,7.40278,26.56842
7:00,27,8,2013,39.73797,0,135,0,741.9163,7.64583,26.87369
7:30,27,8,2013,53.85255,0,135,0,742.2119,8.14789,27.43158
8:00,27,8,2013,75.35014,0,55,0,742.2119,8.89437,27.66316
8:30,27,8,2013,158.0833,0,280,0,742.5075,9.15603,30.88421
