plot_code,sub_plot,tree_tag,year,month,day,pom_height,dbh_first_year_cm,dendrometer_reading_mm,comments,dendrometer_pom,dbh_first_mm,totaldbh,status_code_aintact_bmoved_cbroken,mortality_aalive_ddead
ESP-01,1,7,2009,8,19,,10.9,0,,1.4,109,109,,
ESP-01,1,8,2009,8,19,,14,-1.7,,1.4,140,138.3,,
ESP-01,1,10,2009,8,19,,11.7,0,,diferente,117,117,,
ESP-01,1,12,2009,8,19,,13.9,4,,1.4,139,143,,
ESP-01,1,20,2009,8,19,,30.5,4.9,,1.4,305,309.9,,
ESP-01,1,21,2009,8,19,,10.3,0,,1.4,103,103,,
ESP-01,1,26,2009,8,19,,20,0,,diferente,200,200,,
ESP-01,1,27,2009,8,19,,21.3,0,,1.4,213,213,,
ESP-01,1,28,2009,8,19,,25.5,0,,diferente,255,255,,
ESP-01,2,38,2009,8,19,,15.6,0,,1.4,156,156,,
ESP-01,2,40,2009,8,19,,36.7,2.5,,1.4,367,369.5,,
ESP-01,2,41,2009,8,19,,12,0,,1.4,120,120,,
ESP-01,2,42,2009,8,19,,12.9,0,,1.4,129,129,,
ESP-01,2,43,2009,8,19,,16.1,-0.5,,1.4,161,160.5,,
ESP-01,2,44,2009,8,19,,17.9,0,,,179,179,,
ESP-01,2,46,2009,8,19,,15.9,2.8,,diferente,159,161.8,,
ESP-01,2,47,2009,8,19,,13.6,0,,1.4,136,136,,
ESP-01,3,56,2009,8,19,,20.7,1,,1.4,207,208,,
ESP-01,3,57,2009,8,19,,12,2,,1.4,120,122,,
ESP-01,3,59,2009,8,19,,25.8,0,,1.4,258,258,,
ESP-01,3,63,2009,8,19,,23.3,-1,,diferente,233,232,,
ESP-01,3,63.1,2009,8,19,,33.3,-1.5,,,333,331.5,,
ESP-01,3,64,2009,8,19,,13.9,0,,1.4,139,139,,
ESP-01,3,67,2009,8,19,,14.9,0,,1.4,149,149,,
ESP-01,3,68,2009,8,19,,13.9,0,,,139,139,,
ESP-01,4,71,2009,8,19,,15.1,0,,1.4,151,151,,
ESP-01,4,72,2009,8,19,,23.9,0,,diferente,239,239,,
ESP-01,4,73,2009,8,19,,22.1,5,,1.4,221,226,,
ESP-01,4,74,2009,8,19,,13.2,0,,1.4,132,132,,
