"","plot_code","sub_plot","tree_tag","year","month","day","pom_height","dbh_first_year","dbh_first_year_cm","dendrometer_reading_mm","comments","forma_tronco","igual_DAP","apertura","X","X_1","X_2","X_3","X_4","density","height_m","dbh","cenyear","cenmonth","cenday"
"1","ESP-01",1,7,2009,8,19,NA,NA,10.9,"0",NA,"e","igual","0.7",NA,NA,NA,NA,NA,0.61785,8,10.5,2006,7,4
"2","ESP-01",1,7,2009,11,25,NA,NA,10.9,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.61785,8,10.5,2006,7,4
"3","ESP-01",1,7,2010,1,26,NA,NA,10.9,"1.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.61785,8,10.5,2006,7,4
"4","ESP-01",1,7,2010,5,1,NA,NA,10.9,"1.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.61785,8,10.5,2006,7,4
"5","ESP-01",1,7,2010,7,21,NA,NA,10.9,"1.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.61785,8,10.5,2006,7,4
"6","ESP-01",1,7,2010,7,21,NA,NA,10.9,"1.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.61785,8,10.5,2006,7,4
"7","ESP-01",1,7,2010,10,13,NA,NA,10.9,"2.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.61785,8,10.5,2006,7,4
"8","ESP-01",1,7,2011,1,31,NA,NA,10.9,"2.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.61785,8,10.5,2006,7,4
"9","ESP-01",1,7,2011,4,29,NA,NA,10.9,"2.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.61785,8,10.5,2006,7,4
"10","ESP-01",1,7,2011,7,11,NA,NA,10.9,"2.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.61785,8,10.5,2006,7,4
"11","ESP-01",1,7,2011,10,25,NA,NA,10.9,"2.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.61785,8,10.5,2006,7,4
"12","ESP-01",1,7,2012,5,2,NA,NA,10.9,"2.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.61785,8,10.5,2006,7,4
"13","ESP-01",1,8,2009,8,19,NA,NA,14,"-1.7",NA,"t","igual",NA,NA,NA,NA,NA,NA,0.74977,10,14,2006,7,4
"14","ESP-01",1,8,2009,11,25,NA,NA,14,"-1.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.74977,10,14,2006,7,4
"15","ESP-01",1,8,2010,1,26,NA,NA,14,"-1.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.74977,10,14,2006,7,4
"16","ESP-01",1,8,2010,5,1,NA,NA,14,"-1",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.74977,10,14,2006,7,4
"17","ESP-01",1,8,2010,7,21,NA,NA,14,"-1.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.74977,10,14,2006,7,4
"18","ESP-01",1,8,2010,7,21,NA,NA,14,"-1.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.74977,10,14,2006,7,4
"19","ESP-01",1,8,2010,10,13,NA,NA,14,"-1.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.74977,10,14,2006,7,4
"20","ESP-01",1,8,2011,1,31,NA,NA,14,"-1.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.74977,10,14,2006,7,4
"21","ESP-01",1,8,2011,4,29,NA,NA,14,"-1.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.74977,10,14,2006,7,4
"22","ESP-01",1,8,2011,7,11,NA,NA,14,"-2.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.74977,10,14,2006,7,4
"23","ESP-01",1,8,2011,10,25,NA,NA,14,"-2.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.74977,10,14,2006,7,4
"24","ESP-01",1,8,2012,5,2,NA,NA,14,"-2.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.74977,10,14,2006,7,4
"25","ESP-01",1,10,2009,8,19,NA,NA,11.7,"0",NA,"o","diferente","0.5 corte diagon",NA,NA,NA,NA,NA,0.65,8.5,14,2006,7,4
"26","ESP-01",1,10,2009,11,25,NA,NA,11.7,"2.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.65,8.5,14,2006,7,4
"27","ESP-01",1,10,2010,1,26,NA,NA,11.7,"1.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.65,8.5,14,2006,7,4
"28","ESP-01",1,10,2010,5,1,NA,NA,11.7,"1.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.65,8.5,14,2006,7,4
"29","ESP-01",1,10,2010,7,21,NA,NA,11.7,"1.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.65,8.5,14,2006,7,4
"30","ESP-01",1,10,2010,7,21,NA,NA,11.7,"1.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.65,8.5,14,2006,7,4
"31","ESP-01",1,10,2010,10,13,NA,NA,11.7,"1.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.65,8.5,14,2006,7,4
"32","ESP-01",1,10,2011,1,31,NA,NA,11.7,"1.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.65,8.5,14,2006,7,4
"33","ESP-01",1,10,2011,4,29,NA,NA,11.7,"1.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.65,8.5,14,2006,7,4
"34","ESP-01",1,10,2011,7,11,NA,NA,11.7,"1.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.65,8.5,14,2006,7,4
"35","ESP-01",1,10,2011,10,25,NA,NA,11.7,"1.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.65,8.5,14,2006,7,4
"36","ESP-01",1,10,2012,5,2,NA,NA,11.7,"1.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.65,8.5,14,2006,7,4
"37","ESP-01",1,12,2009,8,19,NA,NA,13.9,"4",NA,"e","igual","0.7",NA,NA,NA,NA,NA,0.52,12,13.3,2006,7,4
"38","ESP-01",1,12,2009,11,25,NA,NA,13.9,"5.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.52,12,13.3,2006,7,4
