Plot,TypeMeas,Subplot,Meas,DD,MM,YY,Id,Subplot,Meas,;Plot,RecNo,Day,Month,Hour,Min,CO2 Ref,mb Ref,mbR Temp,Input A,Input B,Input C,Input D,Input E,Input F,Input G,Input H,ATMP,Probe Type,a
SPI,TOT,1,1,30,10,11,SPI_TOT_1_1_301011,1,1,1,1,30,10,14,16,435,0,0,0,0,0,0,0,0,0,0,856,8,
SPI,TOT,1,1,30,10,11,SPI_TOT_1_1_301011,1,1,1,2,30,10,14,16,439,0,0,0,0,0,0,4,0,0,0,856,8,
SPI,TOT,1,1,30,10,11,SPI_TOT_1_1_301011,1,1,1,3,30,10,14,16,441,0,0,0,0,0,0,9,0,0,0,856,8,
SPI,TOT,1,1,30,10,11,SPI_TOT_1_1_301011,1,1,1,4,30,10,14,16,443,0,0,0,0,0,7,14,0.4,0,0,856,8,
SPI,TOT,1,1,30,10,11,SPI_TOT_1_1_301011,1,1,1,5,30,10,14,16,444,0,0,0,0,0,8,19,0.35,0,0,856,8,
SPI,TOT,1,1,30,10,11,SPI_TOT_1_1_301011,1,1,1,6,30,10,14,16,446,0,0,0,0,0,9,24,0.33,0,0,856,8,
SPI,TOT,1,1,30,10,11,SPI_TOT_1_1_301011,1,1,1,7,30,10,14,16,447,0,0,0,0,0,10,28,0.3,0,0,856,8,
SPI,TOT,1,1,30,10,11,SPI_TOT_1_1_301011,1,1,1,8,30,10,14,16,448,0,0,0,0,0,11,33,0.28,0,0,856,8,
SPI,TOT,1,1,30,10,11,SPI_TOT_1_1_301011,1,1,1,9,30,10,14,16,450,0,0,0,0,0,12,38,0.27,0,0,856,8,
SPI,TOT,1,1,30,10,11,SPI_TOT_1_1_301011,1,1,1,10,30,10,14,17,451,0,0,0,0,0,14,43,0.26,0,0,856,8,
SPI,TOT,1,1,30,10,11,SPI_TOT_1_1_301011,1,1,1,11,30,10,14,17,453,0,0,0,0,0,15,48,0.26,0,0,856,8,
SPI,TOT,1,1,30,10,11,SPI_TOT_1_1_301011,1,1,1,12,30,10,14,17,454,0,0,0,0,0,16,52,0.26,0,0,856,8,
SPI,TOT,1,1,30,10,11,SPI_TOT_1_1_301011,1,1,1,13,30,10,14,17,456,0,0,0,0,0,18,57,0.26,0,0,856,8,
SPI,TOT,1,1,30,10,11,SPI_TOT_1_1_301011,1,1,1,14,30,10,14,17,457,0,0,0,0,0,19,62,0.25,0,0,856,8,
SPI,TOT,1,1,30,10,11,SPI_TOT_1_1_301011,1,1,1,15,30,10,14,17,459,0,0,0,0,0,21,67,0.26,0,0,856,8,
SPI,TOT,1,1,30,10,11,SPI_TOT_1_1_301011,1,1,1,16,30,10,14,17,460,0,0,0,0,0,22,72,0.25,0,0,856,8,
SPI,TOT,1,1,30,10,11,SPI_TOT_1_1_301011,1,1,1,17,30,10,14,17,461,0,0,0,0,0,24,76,0.25,0,0,856,8,
SPI,TOT,1,1,30,10,11,SPI_TOT_1_1_301011,1,1,1,18,30,10,14,17,463,0,0,0,0,0,25,81,0.25,0,0,856,8,
SPI,TOT,1,1,30,10,11,SPI_TOT_1_1_301011,1,1,1,19,30,10,14,17,465,0,0,0,0,0,27,86,0.25,0,0,856,8,
SPI,TOT,1,1,30,10,11,SPI_TOT_1_1_301011,1,1,1,20,30,10,14,17,467,0,0,0,0,0,28,91,0.25,0,0,856,8,
SPI,TOT,1,1,30,10,11,SPI_TOT_1_1_301011,1,1,1,21,30,10,14,17,468,0,0,0,0,0,30,96,0.25,0,0,856,8,
SPI,TOT,1,1,30,10,11,SPI_TOT_1_1_301011,1,1,1,22,30,10,14,17,471,0,0,0,0,0,32,100,0.26,0,0,854,8,
SPI,TOT,1,1,30,10,11,SPI_TOT_1_1_301011,1,1,1,23,30,10,14,18,471,0,0,0,0,0,33,105,0.26,0,0,856,8,
SPI,TOT,1,1,30,10,11,SPI_TOT_1_1_301011,1,1,1,24,30,10,14,18,472,0,0,0,0,0,35,110,0.26,0,0,856,8,
SPI,TOT,1,1,30,10,11,SPI_TOT_1_1_301011,1,1,1,25,30,10,14,18,473,0,0,0,0,0,36,115,0.25,0,0,856,8,
SPI,TOT,1,1,30,10,11,SPI_TOT_1_1_301011,1,1,1,26,30,10,14,18,475,0,0,0,0,0,38,120,0.25,0,0,856,8,
SPI,TOT,1,1,30,10,11,SPI_TOT_1_1_301011,1,1,1,27,30,10,14,18,476,0,0,0,0,0,39,124,0.25,0,0,856,8,a
SPI,TOT,1,2,30,10,11,SPI_TOT_1_2_301011,1,2,2,1,30,10,14,19,438,0,0,0,0,0,0,0,0,0,0,856,8,
SPI,TOT,1,2,30,10,11,SPI_TOT_1_2_301011,1,2,2,2,30,10,14,19,442,0,0,0,0,0,0,4,0,0,0,856,8,
SPI,TOT,1,2,30,10,11,SPI_TOT_1_2_301011,1,2,2,3,30,10,14,19,444,0,0,0,0,0,0,9,0,0,0,856,8,
SPI,TOT,1,2,30,10,11,SPI_TOT_1_2_301011,1,2,2,4,30,10,14,19,446,0,0,0,0,0,7,14,0.44,0,0,856,8,
SPI,TOT,1,2,30,10,11,SPI_TOT_1_2_301011,1,2,2,5,30,10,14,19,448,0,0,0,0,0,9,19,0.4,0,0,856,8,
SPI,TOT,1,2,30,10,11,SPI_TOT_1_2_301011,1,2,2,6,30,10,14,19,449,0,0,0,0,0,10,24,0.37,0,0,856,8,
