plot_code,measurement_code,disturbance_code,subplot,collar_number,replica,year,egm_measurement,recno,day,month,hour,min,co2ref,inputD,time,inputF,atmp,probe_type
ACJ,CTRL,UD,13,1,1,2013,71,1,24,7,3,27,466,0,0,0,675,8
ACJ,CTRL,UD,13,1,1,2013,71,2,24,7,3,27,467,0,4,0,675,8
ACJ,CTRL,UD,13,1,1,2013,71,3,24,7,3,27,469,0,9,0,675,8
ACJ,CTRL,UD,13,1,1,2013,71,4,24,7,3,27,470,4,14,0.2,675,8
ACJ,CTRL,UD,13,1,1,2013,71,5,24,7,3,27,472,6,19,0.2,675,8
ACJ,CTRL,UD,13,1,1,2013,71,6,24,7,3,27,473,7,24,0.2,675,8
ACJ,CTRL,UD,13,1,1,2013,71,7,24,7,3,27,475,9,28,0.2,675,8
ACJ,CTRL,UD,13,1,1,2013,71,8,24,7,3,27,476,10,33,0.2,675,8
ACJ,CTRL,UD,13,1,1,2013,71,9,24,7,3,27,478,12,38,0.2,675,8
ACJ,CTRL,UD,13,1,1,2013,71,10,24,7,3,27,480,13,43,0.2,675,8
ACJ,CTRL,UD,13,1,1,2013,71,11,24,7,3,27,481,15,48,0.2,675,8
ACJ,CTRL,UD,13,1,1,2013,71,12,24,7,3,27,483,17,52,0.2,675,8
ACJ,CTRL,UD,13,1,1,2013,71,13,24,7,3,27,485,18,57,0.21,675,8
ACJ,CTRL,UD,13,1,1,2013,71,14,24,7,3,28,486,20,62,0.21,675,8
ACJ,CTRL,UD,13,1,1,2013,71,15,24,7,3,28,487,21,67,0.2,675,8
ACJ,CTRL,UD,13,1,1,2013,71,16,24,7,3,28,488,23,72,0.2,675,8
ACJ,CTRL,UD,13,1,1,2013,71,17,24,7,3,28,490,24,76,0.2,675,8
ACJ,CTRL,UD,13,1,1,2013,71,18,24,7,3,28,491,26,81,0.2,675,8
ACJ,CTRL,UD,13,1,1,2013,71,19,24,7,3,28,493,27,86,0.2,675,8
ACJ,CTRL,UD,13,1,1,2013,71,20,24,7,3,28,495,28,91,0.2,675,8
ACJ,CTRL,UD,13,1,1,2013,71,21,24,7,3,28,496,30,96,0.2,675,8
ACJ,CTRL,UD,13,1,1,2013,71,22,24,7,3,28,498,31,100,0.2,675,8
ACJ,CTRL,UD,13,1,1,2013,71,23,24,7,3,28,499,33,105,0.2,675,8
ACJ,CTRL,UD,13,1,1,2013,71,24,24,7,3,28,501,34,110,0.2,675,8
ACJ,CTRL,UD,13,1,1,2013,71,25,24,7,3,28,502,36,115,0.2,675,8
ACJ,CTRL,UD,13,1,1,2013,71,26,24,7,3,29,503,37,120,0.2,675,8
