plot_code,measurement_code,disturbance_code,subplot,collar_number,replica,day,month,year,vwc,soil_temp,air_temp,collar_depth
ACJ,CTRL,UD,13,1,1,24,7,2013,43.3,7.4,7.7,8.2
ACJ,CTRL,UD,13,2,1,24,7,2013,32.5,7.3,7.5,10
ACJ,CTRL,UD,13,3,1,24,7,2013,38.9,7.4,7.5,8.3
ACJ,CTRL,UD,13,4,1,24,7,2013,41.2,7.4,7.2,9.5
ACJ,CTRL,UD,13,5,1,24,7,2013,28.5,7.5,6.9,8.4
ACJ,CTRL,D,13,6,1,24,7,2013,29.2,7.3,6.9,9.6
ACJ,CTRL,D,13,7,1,24,7,2013,32.2,7.4,7,11.1
ACJ,CTRL,D,13,8,1,24,7,2013,38.5,7.4,7,9.9
ACJ,CTRL,D,13,9,1,24,7,2013,35.4,7.3,7.1,8.2
ACJ,CTRL,D,13,10,1,24,7,2013,12.8,7.4,6.9,7.1
ESP,CTRL,UD,13,1,1,24,7,2013,46.4,10.2,10.9,11.4
ESP,CTRL,UD,13,2,1,24,7,2013,51.9,10.2,10.6,10.2
ESP,CTRL,UD,13,3,1,24,7,2013,51.4,10.5,10.8,21.2
ESP,CTRL,UD,13,4,1,24,7,2013,47.9,10.7,10.9,19.6
ESP,CTRL,UD,13,5,1,25,7,2013,46.9,10.7,10.8,21.5
ESP,CTRL,D,13,6,1,25,7,2013,46.3,10.1,10.8,11.5
ESP,CTRL,D,13,7,1,25,7,2013,45.7,10.3,10.9,10
ESP,CTRL,D,13,8,1,25,7,2013,49.6,10.3,11.1,17
ESP,CTRL,D,13,9,1,25,7,2013,46.5,10.3,12.1,16.3
ESP,CTRL,D,13,10,1,25,7,2013,44.1,10.6,12.1,13.4
TU4,CTRL,UD,13,1,1,23,7,2013,33.8,11.6,11.9,4.3
TU4,CTRL,UD,13,2,1,23,7,2013,28.9,11.8,12.1,6.4
TU4,CTRL,UD,13,3,1,23,7,2013,36.3,11.7,12.1,7.7
TU4,CTRL,UD,13,4,1,23,7,2013,44.7,11.7,12.2,4.9
TU4,CTRL,UD,13,5,1,23,7,2013,38.5,12.2,12.1,7.7
TU4,CTRL,D,13,6,1,23,7,2013,42,12.3,11.8,6.8
TU4,CTRL,D,13,7,1,23,7,2013,48.4,12.2,11.9,7.2
TU4,CTRL,D,13,8,1,23,7,2013,41.9,12.2,12.2,4.6
TU4,CTRL,D,13,9,1,23,7,2013,49.5,12.2,12.3,5.7
TU4,CTRL,D,13,10,1,23,7,2013,45.9,12.2,12.1,6.3
WAY,CTRL,UD,13,1,1,25,7,2013,5.1,10.8,12,6.3
WAY,CTRL,UD,13,2,1,25,7,2013,6.8,10.5,12,11.7
WAY,CTRL,UD,13,3,1,25,7,2013,10.5,10.3,12,8.4
WAY,CTRL,UD,13,4,1,25,7,2013,6.8,10,12.9,6.6
WAY,CTRL,UD,13,5,1,25,7,2013,7.9,10.6,13.7,15.5
WAY,CTRL,D,13,6,1,25,7,2013,7.6,10.1,13,15.3
WAY,CTRL,D,13,7,1,25,7,2013,9.7,10.3,14.3,13.4
WAY,CTRL,D,13,8,1,25,7,2013,15.7,10.2,13.3,13.8
WAY,CTRL,D,13,9,1,26,7,2013,17.7,10.3,14.4,13.6
WAY,CTRL,D,13,10,1,26,7,2013,14.4,10.2,14.3,17.1
