plot_code,measurement_code,subplot,Meas,day,month,year,egm_measurement,vwc,soil_temp,air_temp,collar_depth
ACJ,TOT,1,1,23,7,2013,51,21.5,7.2,7.5,7.1
ACJ,TOT,1,2,23,7,2013,52,21.5,7.2,7.5,7.1
ACJ,TOT,2,1,23,7,2013,53,40.2,7.4,7.6,7.4
ACJ,TOT,2,2,23,7,2013,54,40.2,7.4,7.6,7.4
ACJ,TOT,3,1,24,7,2013,55,22.3,7.4,7.5,4.3
ACJ,TOT,3,2,24,7,2013,56,22.3,7.4,7.5,4.3
ACJ,TOT,4,1,24,7,2013,57,17.4,7.4,7.5,3.9
ACJ,TOT,4,2,24,7,2013,58,17.4,7.4,7.5,3.9
ACJ,TOT,5,1,24,7,2013,59,11.3,7.4,7.7,3.7
ACJ,TOT,5,2,24,7,2013,60,11.3,7.4,7.7,3.7
ACJ,TOT,6,1,24,7,2013,61,25.3,7.4,7.6,4.3
ACJ,TOT,6,2,24,7,2013,62,25.3,7.4,7.6,4.3
ACJ,TOT,7,1,24,7,2013,63,32.5,7.4,7.5,4.1
ACJ,TOT,7,2,24,7,2013,64,32.5,7.4,7.5,4.1
ACJ,TOT,8,1,23,7,2013,65,38.9,7.4,7.8,3.7
ACJ,TOT,8,2,23,7,2013,66,38.9,7.4,7.8,3.7
ACJ,TOT,9,1,23,7,2013,67,46.2,7.3,8.7,3.5
ACJ,TOT,9,2,23,7,2013,68,46.2,7.3,8.7,3.5
ACJ,TOT,10,1,23,7,2013,69,27.5,7.3,7.5,4.2
ACJ,TOT,10,2,23,7,2013,70,27.5,7.3,7.5,4.2
ACJ,TOT,11,1,23,7,2013,71,18.5,7.8,7.6,3.9
ACJ,TOT,11,2,23,7,2013,72,18.5,7.8,7.6,3.9
ACJ,TOT,12,1,23,7,2013,73,19.2,7.2,10,5.1
ACJ,TOT,12,2,23,7,2013,74,19.2,7.2,10,5.1
ACJ,TOT,13,1,24,7,2013,75,35.9,7.5,10.1,4.3
