"","codew","flux","plot_code","sub_plot","plot_corner_code","collar_number","measurement_code","treatment_code_partitioning","disturbance_code_control","litter_code","replica","year","egm_measurement","recno","day","month","hour","min","co2ref_ppm_sec","InputD","time","InputF","atmp_mb","probe_type","quality_code","comments","collar_num","vwc_percent_in","vwc_percent_out","soil_temp_c_in","soil_temp_c_out","air_temp_c","collar_height_cm","codew","collar_diam"
"1","1.1.11.6.2011","0.173725906134053","SPD-02",1,NA,NA,"TOTAL",NA,NA,NA,1,2011,1,61,11,6,10,11,441,24,124,0.16,860,8,"good","check numbers of sub_plot",1,NA,NA,NA,NA,10.586231884058,NA,"1.1.11.6.2011",12
"2","1.1.17.11.2011","0.207986270878629","SPD-02",1,NA,NA,"TOTAL",NA,NA,NA,1,2011,1,27,17,11,8,58,462,37,124,0.24,858,8,"good","check numbers of sub_plot",1,NA,NA,NA,NA,10.586231884058,NA,"1.1.17.11.2011",12
"3","1.1.17.12.2013","0.504126143050088","SPD-02",1,NA,NA,"TOTAL",NA,NA,NA,1,2013,1,11,17,12,13,33,461,50,48,0.85,849,8,"good","check numbers of sub_plot",1,NA,35.7166666666667,NA,19.2833333333333,19.2833333333333,5.71666666666667,"1.1.17.12.2013",12
"4","1.1.17.9.2011","0.207986270878629","SPD-02",1,NA,NA,"TOTAL",NA,NA,NA,1,2011,11,27,17,9,17,4,502,32,124,0.2,858,8,"good","check numbers of sub_plot",1,NA,NA,NA,NA,10.586231884058,NA,"1.1.17.9.2011",12
"5","1.1.18.5.2011","0.155626090797296","SPD-02",1,NA,NA,"TOTAL",NA,NA,NA,1,2011,1,27,18,5,18,46,444,25,124,0.16,856,8,"good","check numbers of sub_plot",1,NA,NA,NA,NA,10.586231884058,NA,"1.1.18.5.2011",12
"6","1.1.18.8.2011","0.225055851190638","SPD-02",1,NA,NA,"TOTAL",NA,NA,NA,1,2011,1,27,18,8,10,45,471,36,124,0.23,857,8,"good","check numbers of sub_plot",1,NA,NA,NA,NA,10.586231884058,NA,"1.1.18.8.2011",12
"7","1.1.19.12.2011","0.190654081638743","SPD-02",1,NA,NA,"TOTAL",NA,NA,NA,1,2011,21,32,19,12,11,55,486,41,124,0.27,858,8,"good","check numbers of sub_plot",1,NA,NA,NA,NA,10.586231884058,NA,"1.1.19.12.2011",12
"8","1.1.19.2.2011","0.396018911163242","SPD-02",1,NA,NA,"TOTAL",NA,NA,NA,1,2011,11,20,19,2,10,41,438,50,91,0.45,853,8,"good","check numbers of sub_plot",1,NA,36.1666666666667,NA,NA,10.8,7.11666666666667,"1.1.19.2.2011",12
"9","1.1.20.1.2010","0.251498550159181","SPD-02",1,NA,NA,"TOTAL",NA,NA,NA,1,2010,NA,36,20,1,16,6,558,33,124,0.21,830,8,"good","check numbers of sub_plot",1,NA,38,NA,NA,10.586231884058,6.47,"1.1.20.1.2010",12
"10","1.1.21.3.2011","0.206279403617034","SPD-02",1,NA,NA,"TOTAL",NA,NA,NA,1,2011,11,27,21,3,20,23,457,33,124,0.21,851,8,"good","check numbers of sub_plot",1,NA,40,NA,NA,10.6,9.86666666666667,"1.1.21.3.2011",12
