"","codew","flux_umolm2sec","plot_code","sub_plot","plot_corner_code","collar_number","measurement_code","treatment_code_partitioning","disturbance_code_control","litter_code","replica","year","egm_measurement","recno","day","month","hour","min","co2ref_ppm_sec","InputD","time","InputF","atmp_mb","probe_type","quality_code","comments","collar_num","vwc_percent_in","vwc_percent_out","soil_temp_c_in","soil_temp_c_out","air_temp_c","ch_new","ch_fill","collar_diam","codew"
"1","1.1.1.3.2009","4.59214123657199","TAM-05",1,NA,NA,"TOTAL",NA,NA,NA,1,2009,NA,14,1,3,15,19,432,50,62,0.76,985,8,NA,NA,1,NA,35.25,NA,NA,25.4508076923077,5.07,5.07,12,"1.1.1.3.2009"
"2","1.1.1.8.2007","2.038599297969","TAM-05",1,NA,NA,"TOTAL",NA,NA,NA,1,2007,NA,27,1,8,8,58,615,25,124,0.19,994,8,NA,NA,1,NA,NA,NA,NA,25.4508076923077,NA,5.31071428571429,12,"1.1.1.8.2007"
"3","1.1.10.4.2015","3.33978237531001","TAM-05",13,NA,1,"TOTAL",NA,"N",NA,1,2015,21,19,10,4,3,0,534,50,86,0.54,995,8,"good",NA,1,NA,27.2142857142857,NA,24.7,26.2714285714286,4.97142857142857,4.97142857142857,12,"1.1.10.4.2015"
"4","1.1.12.12.2011","9.9569845276789","TAM-05",1,NA,NA,"TOTAL",NA,NA,NA,1,2011,NA,10,12,12,9,32,500,54,43,1.19,987,8,NA,NA,1,NA,NA,NA,26.1,26.1,7.8,7.8,12,"1.1.12.12.2011"
"5","1.1.12.4.2015","6.48645327215467","TAM-05",1,"NaN",1,"TOTAL","NaN","NaN","normal",1,2015,50,15,12,4,9,3,518,52,67,0.74,992,8,"good","NaN",1,NA,27.2142857142857,NA,24.7,26.2714285714286,4.97142857142857,4.97142857142857,12,"1.1.12.4.2015"
"6","1.1.13.12.2005","2.77148821641834","TAM-05",1,NA,NA,"TOTAL",NA,NA,NA,1,2005,NA,27,13,12,10,9,479,45,124,0.34,987,8,NA,NA,1,NA,NA,NA,NA,25.4508076923077,NA,4.69875,12,"1.1.13.12.2005"
"7","1.1.13.3.2011","3.56658714279227","TAM-05",1,NA,NA,"TOTAL",NA,NA,NA,1,2011,NA,23,13,3,13,13,659,51,105,0.45,985,8,NA,NA,1,NA,36.5,NA,24.6,10.6,6.75,6.75,12,"1.1.13.3.2011"
"8","1.1.13.6.2011","4.29446194319081","TAM-05",1,NA,NA,"TOTAL",NA,NA,NA,1,2011,NA,21,13,6,13,44,481,52,96,0.51,993,8,NA,NA,1,NA,24,NA,23.3,23.3,7.2,7.2,12,"1.1.13.6.2011"
"9","1.1.15.1.2015","21.411637720087","TAM-05",25,NA,1,"TOTAL","con_nor_lit",NA,"normal",1,2015,41,14,15,1,1,24,510,53,62,0.81,995,8,"good",NA,1,NA,21.5714285714286,NA,25.1,25.4714285714286,4.85714285714286,4.85714285714286,12,"1.1.15.1.2015"
"10","1.1.15.10.2012","7.51246591003066","TAM-05",1,NA,NA,"TOTAL",NA,NA,NA,1,2012,NA,43,15,10,9,32,486,50,48,0.98,988,8,NA,NA,1,NA,NA,NA,NA,25.4508076923077,NA,5.94285714285714,12,"1.1.15.10.2012"
"11","1.1.16.7.2014","1.16438588067481","TAM-05",1,NA,NA,"TOTAL",NA,NA,NA,1,2014,NA,27,16,7,23,29,463,27,124,0.21,1002,8,NA,NA,1,NA,NA,NA,NA,25.4508076923077,NA,6.17857142857143,12,"1.1.16.7.2014"
"12","1.1.17.12.2007","4.25163041245653","TAM-05",1,NA,NA,"TOTAL",NA,NA,NA,1,2007,NA,19,17,12,11,22,483,51,86,0.56,990,8,NA,NA,1,NA,NA,NA,NA,25.4508076923077,NA,4.69875,12,"1.1.17.12.2007"
"13","1.1.17.12.2009","3.77449448532496","TAM-05",1,NA,NA,"TOTAL",NA,NA,NA,1,2009,NA,20,17,12,8,28,521,51,91,0.52,988,8,NA,NA,1,NA,24,NA,NA,25.4508076923077,4.98083333333333,4.98083333333333,12,"1.1.17.12.2009"
"14","1.1.17.12.2012","4.48745520716222","TAM-05",1,NA,NA,"TOTAL",NA,NA,NA,1,2012,NA,19,17,12,8,7,509,51,86,0.56,987,8,NA,NA,1,NA,NA,NA,NA,25.4508076923077,NA,5.73333333333333,12,"1.1.17.12.2012"
"15","1.1.17.6.2014","3.14163072404644","TAM-05",1,NA,NA,"TOTAL",NA,NA,NA,1,2014,NA,24,17,6,23,7,590,51,110,0.44,999,8,NA,NA,1,NA,NA,NA,NA,25.4508076923077,NA,5.93333333333333,12,"1.1.17.6.2014"
"16","1.1.18.12.2006","3.27048493265887","TAM-05",1,NA,NA,"TOTAL",NA,NA,NA,1,2006,NA,27,18,12,7,4,521,45,124,0.34,990,8,NA,NA,1,NA,NA,NA,NA,25.4508076923077,NA,4.69875,12,"1.1.18.12.2006"
"17","1.1.18.5.2015","1.7308833129287","TAM-05",25,"4,4",1,"TOTAL","con_nor_lit",NA,"normal",1,2015,41,12,18,5,12,0,486,50,52,0.9,992,8,"good",NA,1,NA,26.1166666666667,NA,24.2333333333333,25.5333333333333,5.01666666666667,5.01666666666667,12,"1.1.18.5.2015"
"18","1.1.18.7.2011","6.14953191228439","TAM-05",1,NA,NA,"TOTAL",NA,NA,NA,1,2011,NA,13,18,7,9,1,663,51,57,0.85,994,8,NA,NA,1,NA,33,NA,23.6,23.6,6.4,6.4,12,"1.1.18.7.2011"
"19","1.1.19.10.2013","5.64575499817587","TAM-05",1,NA,NA,"TOTAL",NA,NA,NA,1,2013,NA,16,19,10,7,41,539,52,72,0.68,990,8,NA,NA,1,NA,NA,NA,NA,25.4508076923077,NA,5.94285714285714,12,"1.1.19.10.2013"
"20","1.1.19.12.2008","3.98712356172748","TAM-05",1,NA,NA,"TOTAL",NA,NA,NA,1,2008,NA,26,19,12,8,28,615,53,120,0.41,988,8,NA,NA,1,NA,NA,NA,NA,25.4508076923077,NA,4.69875,12,"1.1.19.12.2008"
"21","1.1.19.12.2013","3.79323039333501","TAM-05",1,NA,NA,"TOTAL",NA,NA,NA,1,2013,NA,24,19,12,11,14,626,51,110,0.43,986,8,NA,NA,1,NA,NA,NA,NA,25.4508076923077,NA,5.73333333333333,12,"1.1.19.12.2013"
"22","1.1.19.9.2012","5.12336594914915","TAM-05",1,NA,NA,"TOTAL",NA,NA,NA,1,2012,NA,54,19,9,10,38,517,32,124,0.24,988,8,NA,NA,1,NA,12.5,NA,25.25,25.25,7.65,7.65,12,"1.1.19.9.2012"
